,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2190000000.0,713000000.0,1477000000.0,916000000.0,386000000.0,304000000.0,0.8,424000000.0,386000000.0,379700000.0,4487000000.0,1408000000.0,1323000000.0,8421000000.0,5668000000.0,14089000000.0,34000000.0,1808000000.0,2738000000.0,3825000000.0,5633000000.0,8456000000.0,38000000.0,236000000.0,-49000000.0,-360000000.0,-101000000.0,651000000.0,65.24
2013-06-30,2212000000.0,730000000.0,1482000000.0,1015000000.0,290000000.0,213000000.0,0.56,401000000.0,290000000.0,378000000.0,4652000000.0,1413000000.0,1345000000.0,8689000000.0,5693000000.0,14382000000.0,29000000.0,1971000000.0,2742000000.0,3808000000.0,5779000000.0,8603000000.0,111000000.0,356000000.0,-47000000.0,-1198000000.0,-100000000.0,-93000000.0,64.68
2013-09-30,2151000000.0,682000000.0,1469000000.0,1136000000.0,150000000.0,103000000.0,0.27,226000000.0,150000000.0,378300000.0,5138000000.0,1370000000.0,1404000000.0,9187000000.0,5696000000.0,14883000000.0,31000000.0,2324000000.0,2743000000.0,3822000000.0,6146000000.0,8737000000.0,76000000.0,622000000.0,-43000000.0,-368000000.0,-100000000.0,-105000000.0,67.59
2013-12-31,2468000000.0,877000000.0,1591000000.0,400000000.0,430000000.0,386000000.0,1.02,512000000.0,430000000.0,378600000.0,3980000000.0,1518000000.0,1422000000.0,8335000000.0,7408000000.0,15743000000.0,25000000.0,2657000000.0,2739000000.0,4039000000.0,6696000000.0,9047000000.0,82000000.0,672000000.0,-56000000.0,-291000000.0,-100000000.0,-153000000.0,75.14
2014-03-31,2305000000.0,776000000.0,1529000000.0,859000000.0,131000000.0,70000000.0,0.19,222000000.0,131000000.0,378200000.0,4047000000.0,1430000000.0,1498000000.0,8446000000.0,7713000000.0,16159000000.0,820000000.0,3558000000.0,2244000000.0,3538000000.0,7096000000.0,9063000000.0,91000000.0,209000000.0,-70000000.0,-351000000.0,-115000000.0,183000000.0,81.47
2014-06-30,2363000000.0,815000000.0,1548000000.0,870000000.0,197000000.0,128000000.0,0.56,291000000.0,197000000.0,378800000.0,4745000000.0,1503000000.0,1587000000.0,9381000000.0,7848000000.0,17229000000.0,630000000.0,3713000000.0,3237000000.0,4514000000.0,8227000000.0,9002000000.0,94000000.0,370000000.0,-54000000.0,-1015000000.0,-116000000.0,584000000.0,84.32
2014-09-30,2389000000.0,829000000.0,1560000000.0,878000000.0,450000000.0,57000000.0,0.16,547000000.0,450000000.0,378400000.0,4677000000.0,1529000000.0,1666000000.0,9326000000.0,8189000000.0,17515000000.0,731000000.0,4211000000.0,3231000000.0,4680000000.0,8891000000.0,8624000000.0,97000000.0,524000000.0,-48000000.0,-424000000.0,-115000000.0,-56000000.0,80.75
2014-12-31,2618000000.0,899000000.0,1719000000.0,940000000.0,468000000.0,260000000.0,0.68,564000000.0,468000000.0,378500000.0,5000000000.0,1572000000.0,1588000000.0,8684000000.0,8595000000.0,17279000000.0,727000000.0,4461000000.0,3246000000.0,4223000000.0,8684000000.0,8595000000.0,96000000.0,679000000.0,-61000000.0,-88000000.0,-116000000.0,-82000000.0,94.33
2015-03-31,2379000000.0,826000000.0,1553000000.0,892000000.0,406000000.0,224000000.0,0.59,500000000.0,406000000.0,378900000.0,4263000000.0,1521000000.0,1582000000.0,8727000000.0,7853000000.0,16580000000.0,225000000.0,3695000000.0,3257000000.0,4564000000.0,8259000000.0,8321000000.0,94000000.0,380000000.0,-46000000.0,326000000.0,-131000000.0,-734000000.0,92.25
2015-06-30,2432000000.0,827000000.0,1605000000.0,861000000.0,429000000.0,392000000.0,1.04,523000000.0,429000000.0,377000000.0,4277000000.0,1500000000.0,1619000000.0,8936000000.0,7883000000.0,16819000000.0,227000000.0,3723000000.0,3242000000.0,4591000000.0,8314000000.0,8505000000.0,94000000.0,357000000.0,-68000000.0,1900000000.0,-130000000.0,-317000000.0,95.57
2015-09-30,2420000000.0,796000000.0,1624000000.0,887000000.0,378000000.0,301000000.0,0.8,479000000.0,378000000.0,376300000.0,3372000000.0,1496000000.0,1665000000.0,8033000000.0,7884000000.0,15917000000.0,971000000.0,3553000000.0,2511000000.0,3880000000.0,7433000000.0,8484000000.0,101000000.0,-509000000.0,-77000000.0,315000000.0,-130000000.0,-251000000.0,94.1
2015-12-31,2715000000.0,895000000.0,1820000000.0,970000000.0,648000000.0,522000000.0,1.3900000000000001,756000000.0,648000000.0,376600000.0,4079000000.0,1662000000.0,1639000000.0,7943000000.0,8280000000.0,16223000000.0,768000000.0,3502000000.0,3230000000.0,4210000000.0,7712000000.0,8511000000.0,108000000.0,753000000.0,-79000000.0,-585000000.0,-130000000.0,79000000.0,92.94
