,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,10926370000.0,8983889000.0,1942482000.0,0.0,337202100.0,201417000.0,0.34,467607100.0,337202100.0,589150000.0,331520000.0,3396850000.0,2413190000.0,6375582000.0,6281628000.0,12657210000.0,208792000.0,3656904000.0,2557314000.0,3847945000.0,7504849000.0,5152361000.0,130405000.0,372623000.0,-102586000.0,-118408000.0,-166126000.0,-242832000.0,35.17
2013-06-30,11601060000.0,9528836000.0,2072221000.0,0.0,459842800.0,283043000.0,0.48,592392800.0,459845700.0,589398000.0,412285000.0,3183114000.0,2396188000.0,6221688000.0,6456521000.0,12678210000.0,207301000.0,3662624000.0,2639986000.0,3823774000.0,7486400000.0,5191810000.0,132550000.0,752186000.0,-135402000.0,-322871000.0,-166223000.0,-343948000.0,34.16
2013-09-30,11714270000.0,9648780000.0,2065486000.0,0.0,478197300.0,285590000.0,0.49,611941300.0,478197300.0,587622000.0,359532000.0,3423152000.0,2540643000.0,6548523000.0,6491133000.0,13039660000.0,206158000.0,3797417000.0,2878391000.0,4043097000.0,7840514000.0,5199142000.0,133744000.0,169229000.0,-125176000.0,-139026000.0,-164138000.0,-85483000.0,31.83
2013-12-31,11237970000.0,9273018000.0,1964951000.0,0.0,351777300.0,210835000.0,0.36,489180400.0,351777300.0,584254000.0,449863000.0,3289930000.0,2506581000.0,6539243000.0,6492169000.0,13031410000.0,0.0,3636744000.0,2944083000.0,4090878000.0,7727622000.0,5303790000.0,137403000.0,288935000.0,-121776000.0,-142900000.0,-164141000.0,-53908000.0,36.1
2014-03-31,11277480000.0,9282743000.0,1994741000.0,0.0,332625000.0,180937000.0,0.31,470550000.0,332625000.0,585885000.0,341090000.0,3510518000.0,2527900000.0,6657862000.0,6498789000.0,13156650000.0,4454000.0,3829022000.0,2986163000.0,4096254000.0,7925276000.0,5231375000.0,137925000.0,389900000.0,-116804000.0,-134834000.0,-169493000.0,-362739000.0,36.13
2014-06-30,12286990000.0,10131140000.0,2155855000.0,0.0,424521500.0,254171000.0,0.43,571511500.0,424521500.0,585988000.0,413046000.0,3398713000.0,2602018000.0,6681972000.0,6459141000.0,13141110000.0,304777000.0,4367630000.0,2357330000.0,3506788000.0,7874418000.0,5266695000.0,146990000.0,644751000.0,-133660000.0,-160078000.0,-169445000.0,-413728000.0,37.45
2014-09-30,12445080000.0,10256360000.0,2188717000.0,0.0,465612300.0,278813000.0,0.47000000000000003,603411300.0,465612300.0,588277000.0,384898000.0,3646817000.0,2845641000.0,7108403000.0,6485630000.0,13594030000.0,306931000.0,4536489000.0,2626610000.0,3736128000.0,8272617000.0,5321416000.0,137799000.0,62618000.0,-117695000.0,-169794000.0,-170049000.0,84534000.0,37.95
2014-12-31,12087070000.0,10001940000.0,2085138000.0,0.0,315446300.0,157979000.0,0.27,472446300.0,315446300.0,590723000.0,4907677000.0,3529997000.0,2791813000.0,11456900000.0,6472905000.0,17929810000.0,310891000.0,4285953000.0,7208252000.0,8300896000.0,12586850000.0,5342960000.0,157000000.0,389820000.0,-178243000.0,-175374000.0,-170605000.0,4342232000.0,39.69
2015-03-31,11746660000.0,9689161000.0,2057498000.0,0.0,327307600.0,176955000.0,0.30000000000000004,468407600.0,327307600.0,594030000.0,5084704000.0,3496254000.0,2649752000.0,11521310000.0,6422838000.0,17944140000.0,313919000.0,4339856000.0,7235941000.0,8291406000.0,12631260000.0,5312883000.0,141100000.0,408061000.0,-125944000.0,-126687000.0,-175886000.0,-66303000.0,37.73
2015-06-30,12401940000.0,10181770000.0,2220166000.0,0.0,121001000.0,73026000.0,0.12,266065900.0,121001000.0,592072000.0,5130044000.0,3353381000.0,2691823000.0,11494300000.0,6494977000.0,17989280000.0,4979301000.0,9399615000.0,2271825000.0,3329442000.0,12729060000.0,5260224000.0,145065000.0,694985000.0,-96476000.0,-182491000.0,-178734000.0,-462901000.0,36.1
2015-09-30,12562610000.0,10324620000.0,2237995000.0,0.0,493474600.0,244420000.0,0.41000000000000003,635596600.0,493474600.0,596699000.0,388256000.0,3531105000.0,2841361000.0,7027960000.0,6343591000.0,13371550000.0,31810000.0,3970816000.0,3004618000.0,4095050000.0,8065866000.0,5305685000.0,142122000.0,-261482000.0,-119737000.0,-35061000.0,-179037000.0,-4437404000.0,38.97
2015-12-31,12153630000.0,9996812000.0,2156814000.0,0.0,432583000.0,272399000.0,0.48,585498000.0,432583000.0,566882000.0,595602000.0,3353453000.0,2736382000.0,6779026000.0,6310442000.0,13089470000.0,7076000.0,3872214000.0,4265857000.0,5275827000.0,9148043000.0,3941427000.0,152915000.0,730363000.0,-117669000.0,-132225000.0,-169399000.0,-357931000.0,41.0
2016-03-31,12002790000.0,9859966000.0,2142825000.0,0.0,377618200.0,217136000.0,0.38,579333200.0,377618200.0,566488000.0,610838000.0,3509438000.0,2703635000.0,6960033000.0,6391061000.0,13351090000.0,7175000.0,4112072000.0,4274884000.0,5269591000.0,9381663000.0,3969431000.0,201715000.0,520100000.0,-110854000.0,-215049000.0,-175229000.0,-304408000.0,46.73
2016-06-30,13647890000.0,11145050000.0,2502837000.0,0.0,546822300.0,215667000.0,0.38,757917300.0,546824200.0,573057000.0,3919300000.0,3380971000.0,2639174000.0,10053900000.0,6667904000.0,16721800000.0,8909000.0,4434456000.0,7336930000.0,8807740000.0,13242200000.0,3479608000.0,211095000.0,999366000.0,-155575000.0,-386767000.0,-175204000.0,2639807000.0,50.74
2016-09-30,13968650000.0,11276740000.0,2691919000.0,0.0,566833000.0,323887000.0,0.58,785078000.0,566833000.0,555438000.0,759898000.0,4191460000.0,3025811000.0,8135470000.0,9889340000.0,18024810000.0,9218000.0,5366550000.0,7843517000.0,9637474000.0,15004020000.0,3020786000.0,218245000.0,253942000.0,-137994000.0,-3048455000.0,-173292000.0,-394927000.0,49.01
2016-12-31,13457270000.0,10885410000.0,2571862000.0,0.0,492416000.0,275167000.0,0.5,736273100.0,492416000.0,545133000.0,847292000.0,3990047000.0,3031548000.0,8011206000.0,9618860000.0,17630070000.0,8937000.0,5052286000.0,8313651000.0,10101740000.0,15154030000.0,2476039000.0,243857000.0,385459000.0,-136059000.0,-136059000.0,-170093000.0,-121355000.0,55.37
2017-03-31,13524170000.0,10990040000.0,2534135000.0,0.0,435961900.0,238278000.0,0.44,666290900.0,435961900.0,539291600.0,855133000.0,4386803000.0,2944327000.0,8325561000.0,9595338000.0,17920900000.0,526691000.0,5729810000.0,8026617000.0,9860563000.0,15590370000.0,2330528000.0,230329000.0,443023000.0,-120632000.0,-120632000.0,-178421000.0,-248330000.0,51.92
2017-06-30,14421050000.0,11661450000.0,2759595000.0,0.0,559407200.0,305171100.0,0.5700000000000001,800820200.0,559406300.0,543497000.0,869502000.0,4029153000.0,2995598000.0,8033438000.0,9723216000.0,17756650000.0,530075000.0,6095886000.0,7660877000.0,9279253000.0,15375140000.0,2381516000.0,241413000.0,1150143000.0,-267978000.0,-272528000.0,-176841000.0,-917975000.0,50.33
2017-09-30,14650420000.0,11856760000.0,2793668000.0,0.0,619365200.0,367640000.0,0.7000000000000001,806219200.0,619365200.0,527290000.0,909203000.0,4333704000.0,3180631000.0,8597002000.0,9821587000.0,18418590000.0,533641000.0,6140282000.0,8426359000.0,10043050000.0,16183340000.0,2235254000.0,186854000.0,82775000.0,-134539000.0,-134539000.0,-174864000.0,72895000.0,53.95
2017-12-31,14411490000.0,11712100000.0,2699387000.0,0.0,528552700.0,284113000.0,0.55,726409700.0,528552700.0,521284000.0,961067000.0,3953643000.0,3174012000.0,8272168000.0,9947202000.0,18219370000.0,534716000.0,5982970000.0,8312489000.0,9967799000.0,15950770000.0,2268602000.0,197857000.0,850429000.0,-120160000.0,-267804000.0,-172056000.0,-382823000.0,60.73
2018-03-31,14349500000.0,11673880000.0,2675628000.0,0.0,482203100.0,330085000.0,0.63,682319100.0,482203100.0,521833000.0,901551000.0,4323485000.0,3259771000.0,8715871000.0,9913271000.0,18629140000.0,288055000.0,6046199000.0,8835156000.0,10231730000.0,16277930000.0,2351213000.0,200116000.0,187731000.0,-101003000.0,-153715000.0,-187821000.0,-102071000.0,59.96
2018-06-30,15315910000.0,12399200000.0,2916707000.0,0.0,683933600.0,448928000.0,0.86,893078600.0,683933600.0,522927000.0,552325000.0,4137835000.0,3125413000.0,8003453000.0,10066950000.0,18070400000.0,782329000.0,6588746000.0,7540765000.0,8974701000.0,15563450000.0,2506957000.0,209145000.0,1034445000.0,-309858000.0,-354355000.0,-187417000.0,-998470000.0,68.29
2018-09-30,15215280000.0,12311490000.0,2903785000.0,0.0,628140600.0,431042000.0,0.8300000000000001,821937600.0,628140600.0,520857000.0,790304000.0,4281780000.0,3354458000.0,8642256000.0,9899825000.0,18542080000.0,783001000.0,6640952000.0,7914344000.0,9262557000.0,15903510000.0,2638574000.0,193797000.0,271145000.0,-100483000.0,-99571000.0,-187229000.0,68388000.0,73.25
2018-12-31,14765710000.0,11994000000.0,2771712000.0,0.0,451894500.0,267380000.0,0.52,661324500.0,451894500.0,517871000.0,744808000.0,4170374000.0,3310312000.0,8437783000.0,9756394000.0,18194180000.0,786037000.0,6750170000.0,8019846000.0,9276371000.0,16026540000.0,2167636000.0,209430000.0,646645000.0,-116441000.0,-117441000.0,-191987000.0,-579120000.0,62.66
2019-03-31,14658070000.0,11903780000.0,2754298000.0,0.0,529585000.0,440083000.0,0.86,719198000.0,529585000.0,514185000.0,521621000.0,4378090000.0,3344683000.0,8455549000.0,9745250000.0,18200800000.0,537238000.0,6500158000.0,8134461000.0,9338743000.0,15838900000.0,2361897000.0,189613000.0,447435000.0,-149598000.0,-362847000.0,-195843000.0,-429083000.0,66.76
2019-06-30,15474860000.0,12495670000.0,2979195000.0,0.0,720531300.0,535766000.0,1.04,913008200.0,720532200.0,516891000.0,513460000.0,4201429000.0,3216034000.0,8141505000.0,9825018000.0,17966520000.0,37322000.0,6103183000.0,8122058000.0,9360736000.0,15463920000.0,2502603000.0,192477000.0,1045982000.0,-304928000.0,-162996000.0,-200371000.0,-897459000.0,70.72
2019-09-30,15303000000.0,12359630000.0,2943370000.0,0.0,668318400.0,453781000.0,0.88,887568400.0,668318400.0,513496000.0,455482000.0,4406860000.0,3386808000.0,8484164000.0,10472410000.0,18956570000.0,54361000.0,6101471000.0,8637706000.0,10400360000.0,16501830000.0,2454748000.0,219250000.0,171579000.0,-170826000.0,-246624000.0,-200037000.0,62705000.0,79.4
