,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,828500000.0,547100000.0,281400000.0,293900000.0,103400000.0,28500000.0,0.2,308300000.0,220800000.0,181700000.0,511500000.0,710200000.0,257600000.0,1689700000.0,14253000000.0,15942700000.0,1260400000.0,2614800000.0,3390800000.0,5531000000.0,8145800000.0,7796900000.0,87500000.0,118400000.0,-64600000.0,-173900000.0,-58200000.0,-35200000.0,48.93
2013-06-30,1178000000.0,684100000.0,493900000.0,319500000.0,345700000.0,267300000.0,1.52,605900000.0,518300000.0,182900000.0,801600000.0,803200000.0,265400000.0,2071300000.0,14045600000.0,16116900000.0,1272400000.0,2919900000.0,3295700000.0,5186200000.0,8106100000.0,8010800000.0,87600000.0,472600000.0,-80200000.0,-71000000.0,-59800000.0,-108900000.0,47.86
2013-09-30,1171200000.0,670000000.0,501200000.0,290800000.0,195700000.0,134300000.0,0.66,425600000.0,343999900.0,183500000.0,406900000.0,762800000.0,238400000.0,1596100000.0,14176700000.0,15772800000.0,638300000.0,2287900000.0,3253500000.0,5166200000.0,7454100000.0,8318700000.0,81600000.0,439000000.0,-65900000.0,-65700000.0,-58900000.0,-780700000.0,50.13
2013-12-31,1028400000.0,644400100.0,384000000.0,289600100.0,160900000.0,137200000.0,0.72,345700000.0,261599900.0,183000000.0,442300000.0,728000000.0,205300000.0,1537700000.0,14042400000.0,15580100000.0,586900000.0,2161400000.0,3213000000.0,4788600000.0,6950000000.0,8630100000.0,84100000.0,138200000.0,-29600000.0,33600000.0,-57700000.0,-134400000.0,56.15
2014-03-31,816000000.0,523200000.0,292800000.0,263900000.0,204200000.0,163400000.0,0.89,409799900.0,326999900.0,184300000.0,337600000.0,713400000.0,263200000.0,1484300000.0,13881500000.0,15365800000.0,630400000.0,2071800000.0,3162300000.0,4669300000.0,6741100000.0,8624700000.0,82800000.0,149700000.0,-63600000.0,-173500000.0,-68200000.0,-80200000.0,58.86
2014-06-30,1188500000.0,683300000.0,505200000.0,327800000.0,364800000.0,290900000.0,1.57,634700000.0,554900000.0,184800000.0,506000000.0,872400000.0,277300000.0,1800300000.0,14072700000.0,15873000000.0,451600000.0,2111700000.0,3208600000.0,4776200000.0,6887900000.0,8985100000.0,79800000.0,426300000.0,-58700000.0,-20600000.0,-68500000.0,-242900000.0,74.16
2014-09-30,1168000000.0,666600000.0,501400000.0,289600000.0,3100000.0,-34400000.0,-0.19,238000000.0,162000000.0,185100000.0,722100000.0,694000000.0,261200000.0,1811900000.0,13021500000.0,14833400000.0,1108700000.0,2619800000.0,2345800000.0,3791200000.0,6411000000.0,8422400000.0,76000000.0,482400000.0,-67500000.0,-43800000.0,-68400000.0,-190100000.0,74.44
2014-12-31,973799800.0,620200100.0,353599700.0,282600100.0,154399900.0,94100000.0,0.5,325799900.0,244400100.0,184900000.0,624600000.0,621700000.0,202200000.0,1577100000.0,12403000000.0,13980100000.0,849000000.0,2324900000.0,2321300000.0,3769100000.0,6094000000.0,7886100000.0,81400000.0,229500000.0,-60900000.0,-1500000.0,-68500000.0,-304100000.0,74.52
2015-03-31,700000000.0,454800000.0,245200000.0,240600000.0,125300000.0,81100000.0,0.44,333500100.0,254600100.0,185800000.0,317600000.0,590300000.0,229200000.0,1278100000.0,11673600000.0,12951700000.0,941200000.0,2254100000.0,2310100000.0,3412500000.0,5666600000.0,7285100000.0,78900000.0,-202600000.0,-70700000.0,-193200000.0,-76200000.0,123300000.0,74.45
2015-06-30,1005700000.0,579900000.0,425800000.0,283300000.0,314300000.0,229000000.0,1.23,602400000.0,519800000.0,185700000.0,413800000.0,685600000.0,244300000.0,1476200000.0,11921000000.0,13397200000.0,832400000.0,2349500000.0,2305200000.0,3416300000.0,5765800000.0,7631400000.0,82600000.0,400700000.0,-61600000.0,-64900000.0,-76100000.0,-248000000.0,69.81
