,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,465609000.0,206299000.0,259310000.0,55463000.0,194112000.0,67937000.0,1.25,213603000.0,194112000.0,54453000.0,680024000.0,243072000.0,340175000.0,1327658000.0,4366434000.0,5694092000.0,22000000.0,259261000.0,4322500000.0,4749462000.0,5008723000.0,685369000.0,19491000.0,99174000.0,-7639000.0,-10640000.0,0.0,37223000.0,152.92
2013-06-30,488636000.0,219650000.0,268986000.0,82773000.0,176724000.0,38679000.0,0.71,194677000.0,176724000.0,54506000.0,269172000.0,287895000.0,413950000.0,1040878000.0,4771782000.0,5812660000.0,22000000.0,257450000.0,4317000000.0,4753484000.0,5010934000.0,801726000.0,17953000.0,69746000.0,-7317000.0,-480658000.0,0.0,-19000.0,156.77
2013-09-30,539737100.0,257018000.0,282719100.0,61071000.0,205773100.0,-11110000.0,-0.21,232529100.0,205773100.0,55080000.0,564740000.0,290449000.0,413581000.0,1320495000.0,4828384000.0,6148879000.0,31045000.0,322500000.0,5700193000.0,6162760000.0,6485260000.0,-336381000.0,26756000.0,203170000.0,-11902000.0,-7601000.0,-1288944000.0,99795000.0,138.7
2013-12-31,529322000.0,245186000.0,284136000.0,57127000.0,210626000.0,81984000.0,1.44,237550000.0,210626000.0,56991000.0,410924000.0,322439000.0,443051000.0,1221093000.0,5071394000.0,6292487000.0,31045000.0,338649000.0,5700193000.0,6188020000.0,6526669000.0,-234182000.0,26924000.0,115707000.0,-8097000.0,-271989000.0,-4139000.0,2312000.0,161.02
2014-03-31,590761000.0,283179000.0,307582000.0,71488000.0,218494000.0,84869000.0,1.49,247720000.0,218494000.0,57068000.0,475691000.0,342379000.0,458463000.0,1328017000.0,5071321000.0,6399338000.0,31045000.0,352478000.0,5692432000.0,6172489000.0,6524967000.0,-125629000.0,29226000.0,104781000.0,6768000.0,-40356000.0,-5486000.0,344000.0,185.2
2014-06-30,610582000.0,283054000.0,327528000.0,71146000.0,239980000.0,-94726000.0,-1.6600000000000001,268269000.0,239980000.0,57170000.0,729134000.0,353318000.0,461629000.0,1624771000.0,5086220000.0,6710991000.0,39295000.0,551721000.0,7251421000.0,7750777000.0,8302498000.0,-1591507000.0,28289000.0,129041000.0,-7741000.0,-8597000.0,-1435668000.0,133075000.0,167.26
2014-09-30,642241000.0,293613100.0,348627900.0,76685000.0,258719800.0,108157000.0,1.9100000000000001,284600800.0,258719900.0,56993000.0,819548000.0,351307000.0,459074000.0,1689576000.0,5067272000.0,6756848000.0,39295000.0,585907000.0,7233836000.0,7727040000.0,8312947000.0,-1556099000.0,25881000.0,191693000.0,-25076000.0,-8696000.0,-6098000.0,-91758000.0,184.33
2014-12-31,586898000.0,265725000.0,321173000.0,67479000.0,240668000.0,92168000.0,1.63,266449000.0,240668000.0,56591000.0,1011629000.0,333510000.0,470847000.0,1876351000.0,5037221000.0,6913572000.0,39295000.0,645052000.0,7233836000.0,7733253000.0,8378305000.0,-1464733000.0,25781000.0,188959000.0,-8138000.0,-8138000.0,-3365000.0,12249000.0,196.35
2015-03-31,619030000.0,277413000.0,341617000.0,74026000.0,256561000.0,110894000.0,1.96,279573000.0,256561000.0,56604000.0,392519000.0,419636000.0,553057000.0,1467322000.0,5758890000.0,7226212000.0,39295000.0,613516000.0,7299262000.0,7938904000.0,8552420000.0,-1326208000.0,23012000.0,-6043000.0,-14861000.0,-738061000.0,0.0,126922000.0,218.72
2015-06-30,691395000.0,331940000.0,359455000.0,81849000.0,263696000.0,99112000.0,1.75,294659000.0,263696000.0,56608000.0,915350000.0,419955000.0,574186000.0,2029486000.0,6320896000.0,8350382000.0,44195000.0,679689000.0,8204862000.0,8839718000.0,9519407000.0,-1169025000.0,30963000.0,190511000.0,-17300000.0,-587598000.0,0.0,919078000.0,224.67
2015-09-30,809791900.0,382192000.0,427599900.0,98270000.0,313076900.0,141673000.0,2.5,342780900.0,313076900.0,56606000.0,714033000.0,444072000.0,591401000.0,1786587000.0,6517348000.0,8303935000.0,43427000.0,657594000.0,8106383000.0,8684646000.0,9342241000.0,-1038306000.0,29704000.0,147511000.0,-14572000.0,-345352000.0,0.0,-3302000.0,212.41
2015-12-31,701695000.0,327128000.0,374567000.0,82203000.0,276041000.0,126441000.0,1.97,306074000.0,276041000.0,56805000.0,805291000.0,427265000.0,599311000.0,1860775000.0,6469203000.0,8329978000.0,43445000.0,656442000.0,8099159000.0,8637807000.0,9294248000.0,-964270000.0,30033000.0,178669000.0,-10172000.0,-10172000.0,-3000000.0,-75930000.0,228.45
