,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,80992000.0,19845000.0,61147000.0,9982000.0,43946000.0,33118000.0,0.225,46947000.0,43946000.0,147368000.0,312875000.0,39874000.0,35675000.0,390157000.0,370133000.0,760290000.0,0.0,32481000.0,0.0,8300000.0,40781000.0,719509000.0,3001000.0,33025000.0,-6373000.0,-11525000.0,-11053000.0,-11048000.0,16.96
2013-06-30,79475000.0,20358000.0,59117000.0,12118000.0,39816000.0,28411000.0,0.1925,42858000.0,39816000.0,147344000.0,332937000.0,40175000.0,34877000.0,409516000.0,368582000.0,778098000.0,0.0,32084000.0,0.0,8473000.0,40557000.0,737541000.0,3042000.0,29987000.0,-5346000.0,-4759000.0,-11050000.0,-12584000.0,17.27
2013-09-30,85668000.0,24554000.0,61114000.0,14021000.0,39391000.0,27428000.0,0.185,43481000.0,39391000.0,147368000.0,184699000.0,44168000.0,39957000.0,280636000.0,498654000.0,779290000.0,0.0,20276000.0,0.0,32251000.0,52527000.0,726763000.0,4090000.0,32585000.0,-3811000.0,-105133000.0,-11051000.0,-9902000.0,20.01
2013-12-31,84017000.0,25424000.0,58593000.0,14926000.0,35744000.0,25055000.0,0.17,40600000.0,35744000.0,147528000.0,186856000.0,40435000.0,39992000.0,279141000.0,523024000.0,802165000.0,0.0,22109000.0,0.0,31528000.0,53637000.0,748528000.0,4856000.0,31322000.0,-3647000.0,-8783000.0,-11434000.0,-8983000.0,23.67
2014-03-31,95555000.0,27444000.0,68111000.0,14666000.0,45769000.0,31641000.0,0.215,50687000.0,45769000.0,147644000.0,220131000.0,50458000.0,38386000.0,319531000.0,511035000.0,830566000.0,0.0,24364000.0,0.0,29161000.0,53525000.0,777041000.0,4918000.0,34934000.0,-4261000.0,-81000.0,-11440000.0,-9912000.0,21.34
2014-06-30,92523000.0,28930000.0,63593000.0,17103000.0,38846000.0,26824000.0,0.1825,44157000.0,38846000.0,147560000.0,363354000.0,55001000.0,38847000.0,469413000.0,393078000.0,862491000.0,0.0,26391000.0,0.0,40835000.0,67226000.0,795265000.0,5311000.0,37921000.0,-2102000.0,163685000.0,-11469000.0,-8009000.0,23.14
2014-09-30,108477000.0,35411000.0,73066000.0,28701000.0,35216000.0,23907000.0,0.1625,43775000.0,35216000.0,148028000.0,130812000.0,61537000.0,52195000.0,268111000.0,750149000.0,1018260000.0,0.0,40618000.0,118997000.0,184229000.0,224847000.0,793413000.0,8559000.0,35718000.0,-4905000.0,-354754000.0,-11472000.0,102470000.0,23.39
2014-12-31,111948000.0,36205000.0,75743000.0,31137000.0,34580000.0,33209000.0,0.225,44475000.0,34580000.0,148340000.0,139938000.0,62569000.0,52815000.0,273530000.0,845468000.0,1118998000.0,0.0,44280000.0,151037000.0,254036000.0,298316000.0,820682000.0,9895000.0,35726000.0,-3142000.0,-63069000.0,-11863000.0,25483000.0,23.1
2015-03-31,114158000.0,34778000.0,79380000.0,29089000.0,39426000.0,24290000.0,0.1625,48699000.0,39426000.0,148552000.0,159950000.0,66827000.0,51045000.0,294738000.0,809567000.0,1104305000.0,0.0,38513000.0,152011000.0,245726000.0,284239000.0,820066000.0,9273000.0,30776000.0,-4924000.0,-3148000.0,-11883000.0,-11000000.0,25.07
2015-06-30,117663000.0,38575000.0,79088000.0,30474000.0,37801000.0,26329000.0,0.17750000000000002,47300000.0,37801000.0,148384000.0,110921000.0,70034000.0,49577000.0,248283000.0,815077000.0,1063360000.0,0.0,39768000.0,73000000.0,176657000.0,216425000.0,846935000.0,9499000.0,37139000.0,-6934000.0,-5521000.0,-11889000.0,-85678000.0,24.62
2015-09-30,112381000.0,36990000.0,75391000.0,33040000.0,31029000.0,22707000.0,0.1525,41714000.0,31029000.0,148676000.0,87265000.0,71887000.0,58967000.0,240997000.0,887322000.0,1128320000.0,0.0,45040000.0,164368000.0,245333000.0,290373000.0,837947000.0,10685000.0,31833000.0,-6121000.0,-85161000.0,-11894000.0,41865000.0,23.11
2015-12-31,120907000.0,39320000.0,81587000.0,34585000.0,36025000.0,25851000.0,0.17500000000000002,46615000.0,36025000.0,148756000.0,113923000.0,67330000.0,58675000.0,258383000.0,875070000.0,1133453000.0,0.0,35829000.0,162789000.0,241281000.0,277110000.0,856343000.0,10590000.0,38539000.0,-4887000.0,-4805000.0,-11902000.0,-13366000.0,22.5
2016-03-31,130973000.0,40984000.0,89989000.0,35217000.0,43527000.0,30291000.0,0.2025,54355000.0,43527000.0,148784000.0,84587000.0,88221000.0,57066000.0,236739000.0,885184000.0,1121924000.0,0.0,46616000.0,157808000.0,222345000.0,268962000.0,852962000.0,10828000.0,37137000.0,-2836000.0,-13986000.0,-11902000.0,-19535000.0,23.63
2016-06-30,134762000.0,45070000.0,89692000.0,38037000.0,40012000.0,25627000.0,0.17250000000000001,50673000.0,40012000.0,148776000.0,95835000.0,93393000.0,57102000.0,253891000.0,875690000.0,1129581000.0,0.0,54147000.0,91500000.0,196154000.0,250301000.0,879280000.0,10661000.0,36648000.0,-3054000.0,-3618000.0,-11909000.0,-32334000.0,28.19
2016-09-30,130581000.0,43236000.0,87345000.0,45424000.0,29156000.0,18843000.0,0.11,42800000.0,29156000.0,149124000.0,121970000.0,109813000.0,70519000.0,310151000.0,1207326000.0,1517478000.0,0.0,107016000.0,343500000.0,515066000.0,622082000.0,895369000.0,13644000.0,26223000.0,-2442000.0,-262471000.0,-11932000.0,242163000.0,27.38
2016-12-31,131807000.0,43664000.0,88143000.0,56981000.0,17881000.0,7467000.0,0.0425,33487000.0,17881000.0,149232000.0,115495000.0,104368000.0,66089000.0,294106000.0,1225919000.0,1520025000.0,0.0,120326000.0,343659000.0,509126000.0,629452000.0,890573000.0,15606000.0,41630000.0,-2853000.0,-38786000.0,-11939000.0,-11885000.0,25.71
2017-03-31,144037000.0,47355000.0,96682000.0,49409000.0,33502000.0,22167000.0,0.14250000000000002,49540000.0,33502000.0,149280000.0,113620000.0,118335000.0,63767000.0,306042000.0,1227389000.0,1533431000.0,0.0,142200000.0,343637000.0,483306000.0,625506000.0,907925000.0,16038000.0,25020000.0,-4016000.0,4000.0,-11943000.0,-24520000.0,25.41
2017-06-30,156578000.0,54207000.0,102371000.0,48629000.0,40045000.0,27609000.0,0.1925,54793000.0,40045000.0,149252000.0,157714000.0,116830000.0,60151000.0,348025000.0,1210194000.0,1558219000.0,0.0,135522000.0,343771000.0,473070000.0,608592000.0,949627000.0,14748000.0,50848000.0,-5868000.0,-4701000.0,-11511000.0,-16645000.0,29.38
2017-09-30,144613000.0,46745000.0,97868000.0,58289000.0,26031000.0,15863000.0,0.105,41454000.0,26031000.0,149504000.0,122725000.0,107325000.0,66532000.0,307158000.0,1220222000.0,1527380000.0,0.0,107031000.0,337500000.0,460539000.0,567570000.0,959810000.0,15423000.0,44696000.0,-5273000.0,-12405000.0,-11958000.0,-50954000.0,30.22
2017-12-31,154153000.0,52319000.0,101834000.0,63775000.0,24148000.0,48847000.0,0.325,39763000.0,24148000.0,149796000.0,162385000.0,98498000.0,68280000.0,346086000.0,1209336000.0,1555422000.0,0.0,111679000.0,362500000.0,445924000.0,557603000.0,997819000.0,15615000.0,39182000.0,-6335000.0,-6345000.0,-11988000.0,15550000.0,32.39
2018-03-31,163973000.0,53712000.0,110261000.0,53285000.0,43084000.0,19738000.0,0.1325,59357000.0,43084000.0,150012000.0,176434000.0,109759000.0,88586000.0,393504000.0,1224304000.0,1617808000.0,0.0,70889000.0,392500000.0,488627000.0,559516000.0,1058292000.0,16273000.0,21650000.0,-3508000.0,-57930000.0,-11995000.0,-952000.0,37.76
