,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3265000000.0,2213000000.0,1052000000.0,438000000.0,359000000.0,277000000.0,0.66,517000000.0,359000000.0,420000000.0,1073000000.0,2214000000.0,1803000000.0,5864000000.0,12276000000.0,18140000000.0,715000000.0,3901000000.0,2315000000.0,6506000000.0,10407000000.0,7733000000.0,158000000.0,445000000.0,-125000000.0,-127000000.0,-88000000.0,-215000000.0,41.93
2013-06-30,3449000000.0,2317000000.0,1132000000.0,456000000.0,439000000.0,335000000.0,0.81,586000000.0,439000000.0,415000000.0,1262000000.0,2257000000.0,1762000000.0,6018000000.0,12072000000.0,18090000000.0,711000000.0,4003000000.0,2307000000.0,6199000000.0,10202000000.0,7888000000.0,147000000.0,616000000.0,-144000000.0,-125000000.0,-104000000.0,-291000000.0,45.54
2013-09-30,3432000000.0,2276000000.0,1156000000.0,451000000.0,465000000.0,387000000.0,0.9400000000000001,544000000.0,465000000.0,413000000.0,1403000000.0,2323000000.0,1762000000.0,6309000000.0,12152000000.0,18461000000.0,711000000.0,3924000000.0,2303000000.0,6151000000.0,10075000000.0,8386000000.0,79000000.0,593000000.0,-166000000.0,-188000000.0,-103000000.0,-267000000.0,51.78
2013-12-31,3326000000.0,2209000000.0,1117000000.0,467000000.0,479000000.0,353000000.0,0.86,628000000.0,479000000.0,411000000.0,1397000000.0,2284000000.0,1836000000.0,6358000000.0,12085000000.0,18443000000.0,383000000.0,3409000000.0,2615000000.0,6412000000.0,9821000000.0,8622000000.0,149000000.0,385000000.0,-121000000.0,-123000000.0,-103000000.0,-262000000.0,55.11
2014-03-31,2964000000.0,1969000000.0,995000000.0,379000000.0,471000000.0,362000000.0,0.88,592000000.0,471000000.0,410000000.0,1429000000.0,2402000000.0,1850000000.0,6566000000.0,12062000000.0,18628000000.0,625000000.0,4087000000.0,2370000000.0,6142000000.0,10229000000.0,8399000000.0,121000000.0,449000000.0,-139000000.0,-175000000.0,-102000000.0,-238000000.0,60.21
2014-06-30,3075000000.0,2057000000.0,1018000000.0,396000000.0,464000000.0,403000000.0,0.99,602000000.0,464000000.0,409000000.0,1613000000.0,2503000000.0,1810000000.0,6873000000.0,11998000000.0,18871000000.0,625000000.0,3860000000.0,2375000000.0,6163000000.0,10023000000.0,8848000000.0,138000000.0,500000000.0,-160000000.0,-173000000.0,-119000000.0,-150000000.0,61.84
2014-09-30,2608000000.0,1766000000.0,842000000.0,292000000.0,391000000.0,663000000.0,1.62,534000000.0,391000000.0,410000000.0,2457000000.0,2057000000.0,1509000000.0,8879000000.0,11273000000.0,20152000000.0,577000000.0,3993000000.0,3281000000.0,7146000000.0,11139000000.0,9013000000.0,143000000.0,749000000.0,-86000000.0,-604000000.0,-119000000.0,715000000.0,55.29
2014-12-31,3049000000.0,2029000000.0,1020000000.0,386000000.0,425000000.0,472000000.0,1.16,585000000.0,425000000.0,407000000.0,868000000.0,2349000000.0,1942000000.0,6045000000.0,14108000000.0,20153000000.0,937000000.0,3876000000.0,3286000000.0,7107000000.0,10983000000.0,9170000000.0,160000000.0,295000000.0,-130000000.0,-1651000000.0,-118000000.0,-209000000.0,63.25
2015-03-31,3082000000.0,2031000000.0,1051000000.0,391000000.0,448000000.0,599000000.0,1.47,595000000.0,448000000.0,407000000.0,697000000.0,2094000000.0,1684000000.0,7612000000.0,12631000000.0,20243000000.0,736000000.0,4141000000.0,3390000000.0,7107000000.0,11248000000.0,8995000000.0,147000000.0,398000000.0,-155000000.0,-379000000.0,-118000000.0,-174000000.0,71.62
2015-06-30,3118000000.0,2070000000.0,1048000000.0,393000000.0,469000000.0,309000000.0,0.76,617000000.0,469000000.0,406000000.0,701000000.0,2185000000.0,1717000000.0,7736000000.0,12705000000.0,20441000000.0,631000000.0,4041000000.0,3395000000.0,7265000000.0,11306000000.0,9135000000.0,148000000.0,596000000.0,-130000000.0,-135000000.0,-134000000.0,-456000000.0,64.3
2015-09-30,2984000000.0,2016000000.0,968000000.0,334000000.0,407000000.0,1040000000.0,2.6,568000000.0,407000000.0,405000000.0,3329000000.0,2120000000.0,1615000000.0,7885000000.0,12704000000.0,20589000000.0,498000000.0,3575000000.0,3386000000.0,7429000000.0,11004000000.0,9585000000.0,161000000.0,641000000.0,-168000000.0,2801000000.0,-132000000.0,-515000000.0,59.89
2015-12-31,2833000000.0,1888000000.0,945000000.0,340000000.0,398000000.0,353000000.0,0.92,544000000.0,398000000.0,385000000.0,2223000000.0,1878000000.0,1700000000.0,6505000000.0,12718000000.0,19223000000.0,500000000.0,3266000000.0,3370000000.0,7380000000.0,10646000000.0,8577000000.0,146000000.0,390000000.0,-138000000.0,-121000000.0,-127000000.0,-1370000000.0,64.61
2016-03-31,2952000000.0,1990000000.0,962000000.0,367000000.0,535000000.0,380000000.0,1.04,679000000.0,535000000.0,364000000.0,1150000000.0,2095000000.0,1635000000.0,5414000000.0,12427000000.0,17841000000.0,152000000.0,3097000000.0,3732000000.0,7338000000.0,10435000000.0,7406000000.0,144000000.0,155000000.0,-131000000.0,136000000.0,-118000000.0,-1367000000.0,61.92
2016-06-30,3121000000.0,2099000000.0,1022000000.0,367000000.0,452000000.0,839000000.0,2.35,600000000.0,452000000.0,357000000.0,694000000.0,2158000000.0,1610000000.0,4929000000.0,12571000000.0,17500000000.0,302000000.0,3311000000.0,3734000000.0,5924000000.0,9235000000.0,8265000000.0,148000000.0,718000000.0,-148000000.0,-1072000000.0,-132000000.0,-100000000.0,57.11
