,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,280367000.0,126950000.0,153417000.0,67890000.0,4408000.0,6589000.0,0.03,41525000.0,4408000.0,189686000.0,710000000.0,166614000.0,149058000.0,1207450000.0,1182088000.0,2389538000.0,176835000.0,417445000.0,0.0,180828000.0,598273000.0,1791265000.0,37117000.0,-36494000.0,-22547000.0,-5815000.0,0.0,8608000.0,16.22
2013-06-30,428889000.0,187656000.0,241233000.0,69230000.0,85908000.0,66556000.0,0.35000000000000003,122395000.0,85908000.0,190569000.0,728749000.0,228208000.0,128204000.0,1282203000.0,1223967000.0,2506170000.0,179565000.0,465070000.0,0.0,174607000.0,639677000.0,1866493000.0,36487000.0,105471000.0,-28251000.0,-184252000.0,0.0,1163000.0,17.57
2013-09-30,433376000.0,179082000.0,254294000.0,72917000.0,93506000.0,69459000.0,0.36,131270000.0,93506000.0,191307000.0,957202000.0,209386000.0,123032000.0,1494380000.0,1117268000.0,2611648000.0,183573000.0,487723000.0,0.0,172424000.0,660147000.0,1951501000.0,37764000.0,155457000.0,-32127000.0,183447000.0,0.0,6363000.0,16.52
2013-12-31,285301000.0,125444000.0,159856900.0,69523000.0,6836900.0,22343000.0,0.12,46156000.0,6836900.0,190772000.0,928520000.0,157642000.0,137939000.0,1440277000.0,1189547000.0,2629824000.0,186663000.0,475632000.0,0.0,169098000.0,644730000.0,1985094000.0,39319000.0,44276000.0,-23806000.0,-276721000.0,0.0,1215000.0,17.62
2014-03-31,321010000.0,153963000.0,167047000.0,78003000.0,3688000.0,929000.0,0.0,42872000.0,3688000.0,193311000.0,694776000.0,216524000.0,137434000.0,1261247000.0,1172202000.0,2433449000.0,0.0,273053000.0,0.0,170566000.0,443619000.0,1989830000.0,39184000.0,-25821000.0,-31197000.0,97619000.0,0.0,-180810000.0,19.89
2014-06-30,525567000.0,235154000.0,290413000.0,77489000.0,120667000.0,101205000.0,0.52,158258000.0,120667000.0,194408000.0,743064000.0,300767000.0,126874000.0,1354627000.0,1276036000.0,2630663000.0,0.0,361232000.0,0.0,167958000.0,529190000.0,2101473000.0,37591000.0,209175000.0,-60192000.0,-177669000.0,-11656000.0,-9507000.0,19.6
2014-09-30,478010000.0,216889000.0,261121000.0,73064000.0,98238000.0,82949000.0,0.4,136417000.0,98238000.0,207381000.0,806505000.0,321312000.0,108377000.0,1401021000.0,1293986000.0,2695007000.0,0.0,329804000.0,0.0,175295000.0,505099000.0,2189908000.0,38179000.0,133751000.0,-54963000.0,-174342000.0,-12772000.0,-2330000.0,19.39
2014-12-31,323236900.0,163010000.0,160227000.0,91157000.0,-126170100.0,-103811000.0,-0.48,10316900.0,-126170100.0,202908000.0,828043000.0,151034000.0,105129000.0,1243846000.0,1294674000.0,2538520000.0,0.0,291551000.0,0.0,167989000.0,459540000.0,2078980000.0,136487000.0,174957000.0,-22630000.0,-78481000.0,-12997000.0,-13924000.0,19.79
2015-03-31,342401000.0,149978000.0,192423000.0,72041000.0,35124000.0,32787000.0,0.15,69608000.0,35124000.0,217187000.0,868164000.0,175783000.0,121051000.0,1321156000.0,1191026000.0,2512182000.0,0.0,293133000.0,0.0,161827000.0,454960000.0,2057222000.0,34484000.0,37532000.0,-21149000.0,-62043000.0,-13049000.0,-50800000.0,18.85
2015-06-30,512739000.0,214171000.0,298568000.0,77073000.0,130790000.0,102879000.0,0.48,163931000.0,130790000.0,213845000.0,752725000.0,296654000.0,121817000.0,1316386000.0,1376421000.0,2692807000.0,0.0,402079000.0,0.0,216506000.0,618585000.0,2074222000.0,33141000.0,155925000.0,-24961000.0,12671000.0,-12808000.0,-86856000.0,19.29
