,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2660000000.0,237000000.0,2423000000.0,1654000000.0,742000000.0,210000000.0,0.30000000000000004,700275000.0,3841000000.0,119862000000.0,60975000000.0,180837000000.0,0.0,141292000000.0,18316000000.0,18316000000.0,159608000000.0,21229000000.0,101000000.0,431000000.0,0.0,1563000000.0,-301000000.0,-2465000000.0,31.39
2013-06-30,2689000000.0,228000000.0,2461000000.0,1610000000.0,824000000.0,547000000.0,0.78,702082000.0,3501000000.0,119882000000.0,62853000000.0,182735000000.0,0.0,141377000000.0,19362000000.0,19362000000.0,160739000000.0,21996000000.0,106000000.0,1877000000.0,0.0,-3354000000.0,-154000000.0,1288000000.0,33.88
2013-09-30,2544000000.0,222000000.0,2322000000.0,1533000000.0,763000000.0,268000000.0,0.38,704134000.0,3506000000.0,120250000000.0,60800000000.0,181050000000.0,0.0,138554000000.0,20402000000.0,20402000000.0,158956000000.0,22094000000.0,106000000.0,-558000000.0,0.0,1774000000.0,-155000000.0,-1126000000.0,33.75
2013-12-31,2650000000.0,204000000.0,2446000000.0,1420000000.0,1000000000.0,538000000.0,0.76,703042000.0,2587000000.0,117994000000.0,65016000000.0,183010000000.0,0.0,138708000000.0,21493000000.0,21493000000.0,160201000000.0,22809000000.0,108000000.0,3558000000.0,0.0,-4192000000.0,-155000000.0,330000000.0,37.32
2014-03-31,2473000000.0,199000000.0,2274000000.0,1414000000.0,837000000.0,496000000.0,0.7000000000000001,712842000.0,3108000000.0,119098000000.0,65553000000.0,184651000000.0,0.0,137711000000.0,23384000000.0,23384000000.0,161095000000.0,23556000000.0,104000000.0,632000000.0,0.0,-1665000000.0,-156000000.0,1088000000.0,40.17
2014-06-30,2495000000.0,194000000.0,2301000000.0,1572000000.0,706000000.0,424000000.0,0.59,719080000.0,2740000000.0,122365000000.0,65647000000.0,188012000000.0,0.0,142120000000.0,21927000000.0,21927000000.0,164047000000.0,23965000000.0,103000000.0,245000000.0,0.0,-1877000000.0,-165000000.0,1860000000.0,39.43
2014-09-30,2490000000.0,192000000.0,2298000000.0,1543000000.0,732000000.0,512000000.0,0.72,720117000.0,2309000000.0,121495000000.0,65527000000.0,187022000000.0,0.0,140353000000.0,22355000000.0,22355000000.0,162708000000.0,24314000000.0,109000000.0,627000000.0,0.0,54000000.0,-172000000.0,-1112000000.0,37.21
2014-12-31,2540000000.0,183000000.0,2357000000.0,1437000000.0,898000000.0,551000000.0,0.77,718140000.0,2699000000.0,122532000000.0,64302000000.0,186834000000.0,0.0,139145000000.0,23312000000.0,23312000000.0,162457000000.0,24377000000.0,108000000.0,1706000000.0,0.0,-527000000.0,-173000000.0,-871000000.0,38.89
2015-03-31,2490000000.0,181000000.0,2309000000.0,1487000000.0,801000000.0,488000000.0,0.68,721639000.0,2512000000.0,123075000000.0,66153000000.0,189228000000.0,0.0,141053000000.0,23437000000.0,23437000000.0,164490000000.0,24738000000.0,107000000.0,-593000000.0,0.0,793000000.0,-173000000.0,-526000000.0,38.99
2015-06-30,2508000000.0,177000000.0,2331000000.0,1702000000.0,606000000.0,454000000.0,0.63,724880000.0,3000000000.0,126313000000.0,64704000000.0,191017000000.0,0.0,142614000000.0,23271000000.0,23271000000.0,165885000000.0,25132000000.0,110000000.0,615000000.0,0.0,38000000.0,-195000000.0,-31000000.0,40.31
2015-09-30,2638000000.0,186000000.0,2452000000.0,1591000000.0,832000000.0,492000000.0,0.64,764435000.0,3358000000.0,138867000000.0,69942000000.0,208809000000.0,0.0,156662000000.0,24883000000.0,24883000000.0,181545000000.0,27264000000.0,121000000.0,1880000000.0,0.0,-1293000000.0,-211000000.0,-428000000.0,35.6
2015-12-31,2710000000.0,191000000.0,2519000000.0,1644000000.0,843000000.0,502000000.0,0.64,748010000.0,4167000000.0,139693000000.0,70254000000.0,209947000000.0,0.0,158838000000.0,23769000000.0,23769000000.0,182607000000.0,27340000000.0,123000000.0,1229000000.0,0.0,-1387000000.0,-210000000.0,1089000000.0,37.81
