,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,411877000.0,211357000.0,200520000.0,126950000.0,49404000.0,27038000.0,0.66,75745000.0,49404000.0,41014000.0,306554000.0,307020000.0,332820000.0,1057501000.0,2636226000.0,3693727000.0,4700000.0,261468000.0,968035000.0,1657182000.0,1918650000.0,1775077000.0,26341000.0,5264000.0,-15635000.0,-14135000.0,-13964000.0,-15988000.0,84.51
2013-06-30,420059000.0,210569000.0,209490000.0,116253000.0,63751000.0,42441000.0,1.03,89370000.0,63751000.0,41115000.0,281418000.0,311881000.0,348608000.0,1056706000.0,2667431000.0,3724137000.0,4700000.0,263235000.0,970825000.0,1659375000.0,1922610000.0,1801527000.0,25619000.0,50979000.0,-21262000.0,-59766000.0,-13980000.0,-18287000.0,77.49
2013-09-30,413796000.0,209804000.0,203992000.0,115228000.0,66042000.0,46574000.0,1.13,93117000.0,66042000.0,41132000.0,326437000.0,313706000.0,346116000.0,1110448000.0,2677915000.0,3788363000.0,4700000.0,267825000.0,980688000.0,1658276000.0,1926101000.0,1862262000.0,27075000.0,79629000.0,-17743000.0,-21239000.0,-13971000.0,-19368000.0,82.28
2013-12-31,450539000.0,225596000.0,224943000.0,143756000.0,54064000.0,34828000.0,0.85,82964000.0,54064000.0,41105000.0,431984000.0,295290000.0,333621000.0,1200554000.0,3008453000.0,4209007000.0,356287000.0,635120000.0,930000000.0,1657871000.0,2292991000.0,1916016000.0,28900000.0,95427000.0,-8940000.0,-277498000.0,-14002000.0,284813000.0,93.86
2014-03-31,438546000.0,217387000.0,221159000.0,140297000.0,59020000.0,34958000.0,0.85,90433000.0,59020000.0,41262000.0,421649000.0,295514000.0,349745000.0,1220618000.0,3021516000.0,4242134000.0,359261000.0,631807000.0,930000000.0,1665100000.0,2296907000.0,1945227000.0,31413000.0,41918000.0,-12109000.0,-39491000.0,-14051000.0,-13818000.0,107.24
2014-06-30,468105000.0,224017000.0,244088000.0,146843000.0,74752000.0,47252000.0,1.1400000000000001,107154100.0,74752000.0,41380000.0,237382000.0,301720000.0,356467000.0,1041254000.0,3022579000.0,4063833000.0,362273000.0,652490000.0,700000000.0,1426964000.0,2079454000.0,1984379000.0,32402000.0,78243000.0,-14602000.0,-15815000.0,-14042000.0,-246253000.0,105.6
2014-09-30,457173000.0,221007000.0,236166000.0,138252000.0,81935000.0,54831000.0,1.32,114374000.0,81935000.0,41399000.0,286382000.0,287179000.0,353227000.0,1077203000.0,2980589000.0,4057792000.0,365356000.0,676316000.0,700000000.0,1397560000.0,2073876000.0,1983916000.0,32439000.0,88637000.0,-16258000.0,-16238000.0,-14081000.0,-13959000.0,105.04
2014-12-31,476008100.0,234993000.0,241015100.0,153265000.0,69155100.0,50638000.0,1.22,99931100.0,69155000.0,41366000.0,303236000.0,273704000.0,335593000.0,995908000.0,2926879000.0,3922787000.0,368401000.0,632769000.0,700000000.0,1376319000.0,2009088000.0,1913699000.0,30776000.0,81443000.0,-24602000.0,-36593000.0,-14084000.0,-13673000.0,114.82
2015-03-31,429430000.0,206793000.0,222637000.0,139697000.0,65608000.0,38352000.0,0.92,95458000.0,65608000.0,41469000.0,308759000.0,284827000.0,338736000.0,1070771000.0,2852824000.0,3923595000.0,401565000.0,664425000.0,700000000.0,1398568000.0,2062993000.0,1860602000.0,29850000.0,42358000.0,-14445000.0,-21820000.0,-14118000.0,11552000.0,120.83
2015-06-30,452045000.0,218808000.0,233237000.0,142228000.0,76986000.0,44563000.0,1.07,107768000.0,76986000.0,41560000.0,325010000.0,286371000.0,347095000.0,1102509000.0,2881653000.0,3984162000.0,415991000.0,661886000.0,696000000.0,1402269000.0,2064155000.0,1920007000.0,30782000.0,67230000.0,-16876000.0,-47060000.0,-14116000.0,-11391000.0,135.45
2015-09-30,443714000.0,215501000.0,228213000.0,138840000.0,76550000.0,60824000.0,1.46,107893000.0,76550000.0,41597000.0,276463000.0,272996000.0,345899000.0,1036147000.0,2871554000.0,3907701000.0,416685000.0,657471000.0,646000000.0,1309169000.0,1966640000.0,1941061000.0,31343000.0,67172000.0,-13837000.0,-39729000.0,-14148000.0,-71079000.0,124.21
2015-12-31,484500900.0,224185000.0,260315900.0,148217000.0,96746900.0,101124000.0,2.43,130105900.0,96747000.0,41558000.0,338366000.0,262416000.0,330275000.0,1003839000.0,2867935000.0,3871774000.0,417350000.0,664120000.0,641850000.0,1196561000.0,1860681000.0,2011093000.0,33359000.0,126686000.0,-16290000.0,-46239000.0,-14150000.0,-14665000.0,131.45
2016-03-31,424893000.0,199746000.0,225147000.0,136348000.0,67497000.0,50689000.0,1.22,99833000.0,67497000.0,41647000.0,392558000.0,274660000.0,338906000.0,1085009000.0,2858457000.0,3943466000.0,421198000.0,674675000.0,654850000.0,1207593000.0,1882268000.0,2061198000.0,32336000.0,66832000.0,-6571000.0,-6571000.0,-14179000.0,-11069000.0,157.01
