,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,22726000000.0,16294000000.0,6432000000.0,3959000000.0,2031000000.0,961000000.0,1.48,2472000000.0,2031000000.0,656700000.0,784000000.0,5841000000.0,7903000000.0,16388000000.0,31775000000.0,48163000000.0,2994000000.0,14031000000.0,14654000000.0,17574000000.0,31605000000.0,16558000000.0,441000000.0,1977000000.0,23000000.0,-830000000.0,-234000000.0,-1833000000.0,60.41
2013-04-30,16706000000.0,11563000000.0,5143000000.0,3590000000.0,1017000000.0,498000000.0,0.78,1553000000.0,1017000000.0,642100000.0,1819000000.0,0.0,8099000000.0,11857000000.0,32377000000.0,44234000000.0,523000000.0,11159000000.0,13691000000.0,16555000000.0,27714000000.0,16520000000.0,536000000.0,3230000000.0,-882000000.0,2253000000.0,-232000000.0,-4449000000.0,70.56
2013-07-31,17117000000.0,11745000000.0,5372000000.0,3698000000.0,1132000000.0,611000000.0,0.96,1675000000.0,1132000000.0,634800000.0,1018000000.0,0.0,8441000000.0,11403000000.0,32759000000.0,44162000000.0,1833000000.0,12616000000.0,12655000000.0,15526000000.0,28142000000.0,16020000000.0,543000000.0,879000000.0,-987000000.0,-984000000.0,-231000000.0,-699000000.0,71.25
2013-10-31,17258000000.0,12133000000.0,5125000000.0,3853000000.0,703000000.0,341000000.0,0.54,1272000000.0,703000000.0,631300000.0,706000000.0,0.0,10376000000.0,13153000000.0,33220000000.0,46373000000.0,2122000000.0,14551000000.0,12665000000.0,15666000000.0,30217000000.0,16156000000.0,569000000.0,644000000.0,-897000000.0,-958000000.0,-271000000.0,2000000.0,64.79
2014-01-31,20198000000.0,14598000000.0,5600000000.0,3324000000.0,2318000000.0,521000000.0,0.8200000000000001,2666000000.0,2318000000.0,635100000.0,670000000.0,0.0,8278000000.0,11573000000.0,32980000000.0,44553000000.0,1143000000.0,12777000000.0,11429000000.0,15545000000.0,28322000000.0,16231000000.0,348000000.0,1767000000.0,950000000.0,-582000000.0,-272000000.0,-1218000000.0,56.64
2014-04-30,16657000000.0,11748000000.0,4909000000.0,3376000000.0,1022000000.0,418000000.0,0.66,1533000000.0,1022000000.0,633300000.0,677000000.0,0.0,7905000000.0,11023000000.0,33019000000.0,44042000000.0,1466000000.0,12040000000.0,11391000000.0,15516000000.0,27556000000.0,16486000000.0,511000000.0,520000000.0,-466000000.0,-538000000.0,-272000000.0,29000000.0,61.75
2014-07-31,16957000000.0,11798000000.0,5159000000.0,3599000000.0,1023000000.0,234000000.0,0.37,1561000000.0,1023000000.0,633500000.0,766000000.0,0.0,7929000000.0,11554000000.0,32901000000.0,44455000000.0,294000000.0,11336000000.0,12625000000.0,16686000000.0,28022000000.0,16433000000.0,538000000.0,994000000.0,-371000000.0,-444000000.0,-273000000.0,-456000000.0,59.59
2014-10-31,17254000000.0,12171000000.0,5083000000.0,3644000000.0,904000000.0,352000000.0,0.55,1439000000.0,904000000.0,634000000.0,718000000.0,0.0,9957000000.0,13838000000.0,32623000000.0,46461000000.0,483000000.0,13525000000.0,12623000000.0,16563000000.0,30088000000.0,16373000000.0,535000000.0,536000000.0,-441000000.0,-434000000.0,-329000000.0,-123000000.0,61.82
2015-01-31,21750000000.0,15561000000.0,6189000000.0,4057000000.0,1586000000.0,-2640000000.0,-4.14,2131000000.0,1586000000.0,634700000.0,2210000000.0,0.0,8282000000.0,13624000000.0,27548000000.0,41172000000.0,91000000.0,11736000000.0,12634000000.0,15439000000.0,27175000000.0,13997000000.0,545000000.0,2415000000.0,-413000000.0,-510000000.0,-331000000.0,-474000000.0,73.61
2015-04-30,17119000000.0,11911000000.0,5208000000.0,3514000000.0,1154000000.0,635000000.0,0.99,1694000000.0,1154000000.0,640900000.0,2768000000.0,0.0,8108000000.0,13056000000.0,27212000000.0,40268000000.0,112000000.0,10649000000.0,12585000000.0,15445000000.0,26094000000.0,14174000000.0,540000000.0,1611000000.0,-346000000.0,-306000000.0,-333000000.0,-747000000.0,78.83
