,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,7723813000.0,5514526000.0,2209287000.0,1239524000.0,969764200.0,604843900.0,0.41000000000000003,1106326000.0,969764200.0,1467176000.0,2047810000.0,222788000.0,3014214000.0,5711543000.0,3800312000.0,9511855000.0,0.0,3760596000.0,774552000.0,2085322000.0,5845918000.0,3665937000.0,136562000.0,975757000.0,-202631000.0,-438804000.0,-83606000.0,-372912000.0,22.59
2013-04-30,6189609000.0,4433533000.0,1756076000.0,1018909000.0,737166500.0,452890000.0,0.31,867709500.0,737166500.0,1439056000.0,2227878000.0,257985000.0,3091473000.0,5976143000.0,3864221000.0,9840364000.0,0.0,3498617000.0,1274126000.0,2579082000.0,6077699000.0,3762665000.0,130543000.0,280749000.0,-238515000.0,-241567000.0,-83211000.0,159108000.0,24.39
2013-07-31,6442424000.0,4586739000.0,1855685000.0,1074320000.0,781365200.0,479559000.0,0.33,916792200.0,781365200.0,1431412000.0,2090011000.0,221164000.0,3188489000.0,5950244000.0,3975799000.0,9926043000.0,0.0,3442881000.0,1274156000.0,2633023000.0,6075904000.0,3850139000.0,135427000.0,530530000.0,-258499000.0,-259558000.0,-104053000.0,-381170000.0,26.02
2013-10-31,6981876000.0,4934465000.0,2047411000.0,1158668000.0,888743200.0,622655000.0,0.43,1030055000.0,888743200.0,1423190000.0,2262028000.0,250886000.0,3663171000.0,6623575000.0,4045664000.0,10669240000.0,0.0,4043741000.0,1274186000.0,2501727000.0,6545468000.0,4123771000.0,141312000.0,822093000.0,-262269000.0,-283672000.0,-103704000.0,-396258000.0,30.4
2014-01-31,7808788000.0,5650301000.0,2158487000.0,1215192000.0,943296400.0,582292000.0,0.405,1084837000.0,943295400.0,1426940000.0,2444448000.0,210094000.0,2966490000.0,6067998000.0,4133024000.0,10201020000.0,0.0,3517843000.0,1274216000.0,2453286000.0,5971129000.0,4229893000.0,141541000.0,967094000.0,-187395000.0,-260971000.0,-102787000.0,-525483000.0,28.68
2014-04-30,6491176000.0,4678000000.0,1813176000.0,1073050000.0,740126000.0,454317000.0,0.32,884281000.0,740126000.0,1402054000.0,2319183000.0,255775000.0,3208460000.0,6235550000.0,4194388000.0,10429940000.0,0.0,3705260000.0,1274245000.0,2441184000.0,6146444000.0,4283494000.0,144155000.0,482951000.0,-193361000.0,-164262000.0,-102181000.0,-428835000.0,29.09
2014-07-31,6917212000.0,4935856000.0,1981356000.0,1122758000.0,858597700.0,517624000.0,0.365,1006094000.0,858597700.0,1388434000.0,2468333000.0,242549000.0,3388182000.0,6593763000.0,4328234000.0,10922000000.0,0.0,3824929000.0,1623769000.0,2822416000.0,6647345000.0,4274652000.0,147496000.0,605424000.0,-231754000.0,-259099000.0,-122088000.0,-224727000.0,26.65
2014-10-31,7366066000.0,5203629000.0,2162437000.0,1193297000.0,969140100.0,594957000.0,0.425,1115651000.0,969140100.0,1380366000.0,2430850000.0,260940000.0,3958648000.0,7154622000.0,4437426000.0,11592050000.0,0.0,4389582000.0,1623817000.0,2828658000.0,7218240000.0,4373808000.0,146511000.0,737166000.0,-280784000.0,-283664000.0,-121429000.0,-437022000.0,31.66
2015-01-31,8303952000.0,5959037000.0,2344915000.0,1306279000.0,1038636000.0,648229900.0,0.465,1277463000.0,1038636000.0,1385382000.0,2776398000.0,226299000.0,3217923000.0,6577444000.0,4411306000.0,10988750000.0,0.0,3929634000.0,1623864000.0,2794886000.0,6724520000.0,4264230000.0,238827000.0,1182828000.0,-205623000.0,-247612000.0,-120204000.0,-468958000.0,32.97
2015-04-30,6865637000.0,4920241000.0,1945396000.0,1168657000.0,776738800.0,474601000.0,0.34500000000000003,925278700.0,776738800.0,1362738000.0,2588791000.0,277075000.0,3531600000.0,6724521000.0,4481322000.0,11205840000.0,0.0,4136536000.0,1613581000.0,2779017000.0,6915553000.0,4290290000.0,148540000.0,447539000.0,-201234000.0,-242471000.0,-120438000.0,-474599000.0,32.27
