,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3191500000.0,1855200000.0,1336300000.0,829500000.0,387100100.0,336200000.0,0.9400000000000001,638100100.0,387100100.0,358100000.0,1008300000.0,1904500000.0,1474600000.0,5136100000.0,22274600000.0,27410700000.0,0.0,2302800000.0,6724400000.0,9508400000.0,11811200000.0,15599500000.0,251000000.0,298300000.0,-63000000.0,-67200000.0,-54000000.0,-27800000.0,76.49
2013-06-30,3240100000.0,1876900000.0,1363200000.0,869600000.0,375400100.0,277400000.0,0.77,624600200.0,375400100.0,360000000.0,1413100000.0,1901500000.0,1487100000.0,5641500000.0,21988000000.0,27629500000.0,0.0,2362900000.0,6721100000.0,9463801000.0,11826700000.0,15802800000.0,249200000.0,478400000.0,-65000000.0,-65700000.0,-53900000.0,29900000.0,84.63
2013-09-30,3191800000.0,1843900000.0,1347900000.0,848500000.0,392100100.0,317600000.0,0.88,642500100.0,392100100.0,361200000.0,1849800000.0,1945100000.0,1546800000.0,6210400000.0,22062100000.0,28272500000.0,0.0,2453000000.0,6717900000.0,9382200000.0,11835200000.0,16437300000.0,250400000.0,505500000.0,-44000000.0,-60400000.0,-54100000.0,-15600000.0,92.15
2013-12-31,3466900000.0,1985200000.0,1481699000.0,898700100.0,455000000.0,342100000.0,0.9500000000000001,704300000.0,454999300.0,360300000.0,5830500000.0,1942300000.0,1494500000.0,9880700000.0,21982700000.0,31863400000.0,0.0,3126000000.0,9499600000.0,11881300000.0,15007300000.0,16856100000.0,249300000.0,728500000.0,-89700000.0,-70000000.0,-54200000.0,3323500000.0,111.35
2014-03-31,3903500000.0,2283500000.0,1620000000.0,1177000000.0,875500000.0,543100000.0,1.38,1241100000.0,875500000.0,393300000.0,1522700000.0,2695500000.0,2060500000.0,7306100000.0,38827600000.0,46133700000.0,0.0,5391500000.0,15196900000.0,20311600000.0,25703100000.0,20430600000.0,365600000.0,101200000.0,-101300000.0,-12067900000.0,-54900000.0,7635100000.0,120.24
2014-06-30,4321900000.0,2475400000.0,1846500000.0,1253800000.0,348100100.0,278500000.0,0.7000000000000001,782900100.0,348100100.0,399400000.0,605900000.0,2660100000.0,1933800000.0,5944400000.0,38369000000.0,44313400000.0,0.0,6235600000.0,12502000000.0,17419200000.0,23654800000.0,20658600000.0,434800000.0,888700000.0,-66200000.0,-6200000.0,-59800000.0,-1814200000.0,118.0
2014-09-30,4171400000.0,2237800000.0,1933600000.0,1228700000.0,640300000.0,471600000.0,1.18,1096000000.0,640300000.0,399900000.0,543600000.0,2507100000.0,1913700000.0,5719900000.0,36970900000.0,42690800000.0,0.0,6222100000.0,11388600000.0,15958100000.0,22180200000.0,20510600000.0,455700000.0,676000000.0,-83700000.0,417400000.0,-60100000.0,-1114100000.0,121.7
2014-12-31,4492799000.0,2400901000.0,2091898000.0,1236600000.0,639097700.0,601200100.0,1.5,1067798000.0,639098900.0,398200000.0,1343500000.0,2473600000.0,1859500000.0,6539800000.0,36312300000.0,42852100000.0,0.0,5349800000.0,12351600000.0,16954200000.0,22304000000.0,20548100000.0,428700000.0,953700000.0,-127100000.0,-126000000.0,-60000000.0,89300000.0,125.29
2015-03-31,3918800000.0,2096300000.0,1822500000.0,1137400000.0,487300000.0,385100000.0,0.97,903600000.0,487300000.0,397800000.0,873000000.0,2538000000.0,1898800000.0,6180500000.0,35676800000.0,41857300000.0,0.0,6861000000.0,10696200000.0,15081500000.0,21942500000.0,19914800000.0,416300000.0,80000000.0,-96600000.0,-394300000.0,-60800000.0,-100400000.0,134.34
2015-06-30,4270900000.0,2329100000.0,1941800000.0,1151000000.0,595799800.0,511600000.0,1.28,1015500000.0,595799800.0,398400000.0,770400000.0,2631000000.0,1962300000.0,6236600000.0,35537800000.0,41774400000.0,0.0,6100400000.0,10663700000.0,14994200000.0,21094600000.0,20679800000.0,419700000.0,764900000.0,-89700000.0,-75000000.0,-59700000.0,-828900000.0,129.76
2015-09-30,4123200000.0,2239900000.0,1883300000.0,1133300000.0,562900100.0,476100000.0,1.19,990600100.0,562900100.0,399000000.0,503400000.0,2543900000.0,1987200000.0,6025900000.0,35121200000.0,41147100000.0,0.0,5735100000.0,10277900000.0,14561800000.0,20296900000.0,20850200000.0,427700000.0,743900000.0,-99700000.0,-106700000.0,-60200000.0,-817800000.0,122.28
2015-12-31,4652101000.0,2543700000.0,2108401000.0,1190300000.0,690000500.0,602200100.0,1.51,1114301000.0,690000000.0,399000000.0,452100000.0,2763000000.0,1991700000.0,5741200000.0,35093100000.0,40834300000.0,0.0,4146300000.0,11420200000.0,15337800000.0,19484100000.0,21350200000.0,424300000.0,1353200000.0,-119000000.0,-517000000.0,-60300000.0,-869900000.0,141.85
