,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1187578000.0,307390000.0,880188000.0,531695000.0,348493000.0,238932000.0,0.85,388327000.0,348493000.0,280818000.0,928495000.0,177139000.0,515915000.0,1894191000.0,1377929000.0,3272120000.0,22122000.0,614513000.0,485000.0,413642000.0,1028155000.0,2243965000.0,39834000.0,209395000.0,-42832000.0,-106095000.0,-84271000.0,-80477000.0,49.99
2013-06-30,1222698000.0,335336100.0,887361800.0,569649100.0,317712700.0,221323000.0,0.79,365046700.0,317712800.0,282500000.0,1134891000.0,175477000.0,524706000.0,2070947000.0,1460950000.0,3531897000.0,500000.0,722510000.0,485000.0,400229000.0,1122739000.0,2409158000.0,47334000.0,374593000.0,-81469000.0,-195950000.0,24000.0,8352000.0,57.09
2013-09-30,1150800000.0,324200000.0,826600000.0,505000000.0,321600000.0,217900000.0,0.77,366600000.0,321600000.0,281400000.0,854745000.0,177975000.0,637214000.0,1872065000.0,1615325000.0,3487390000.0,500000.0,707428000.0,485000.0,401391000.0,1108819000.0,2378571000.0,45000000.0,164100000.0,-45900000.0,-231400000.0,-95000000.0,-281500000.0,54.53
2013-12-31,1419600000.0,436900000.0,982700000.0,546700000.0,436000000.0,297400000.0,1.07,483900000.0,436000000.0,279100000.0,798835000.0,228631000.0,553026000.0,1787676000.0,1756141000.0,3543817000.0,485000.0,702895000.0,0.0,410195000.0,1113090000.0,2430727000.0,47900000.0,400400000.0,-60800000.0,-291600000.0,-94800000.0,-254600000.0,56.13
2014-03-31,1099600000.0,318300000.0,781300000.0,518600000.0,262700000.0,190700000.0,0.6900000000000001,307900000.0,262700000.0,276100000.0,774904100.0,197744000.0,583743000.0,1790089000.0,1790533000.0,3580622000.0,210485000.0,787946000.0,0.0,403397000.0,1191343000.0,2389279000.0,45200000.0,104800000.0,-50900000.0,-150900000.0,-93900000.0,-57100000.0,49.66
2014-06-30,1136200000.0,429799900.0,706400100.0,606599900.0,99800100.0,75300000.0,0.27,151100000.0,99800300.0,277800000.0,868600000.0,198600000.0,526200000.0,1855200000.0,1807900000.0,3663100000.0,140500000.0,813100000.0,0.0,429400000.0,1242500000.0,2420600000.0,51300000.0,316100000.0,-62000000.0,-33800000.0,-92800000.0,-154900000.0,34.19
2014-09-30,1038800000.0,323400000.0,715400000.0,535600000.0,179800000.0,119100000.0,0.43,223100100.0,179800000.0,275000000.0,907500000.0,209000000.0,597400000.0,1938800000.0,1732200000.0,3671000000.0,170000000.0,817500000.0,0.0,413400000.0,1230900000.0,2440100000.0,43300000.0,138900000.0,-40400000.0,6000000.0,-92600000.0,-71500000.0,35.61
2014-12-31,1219400000.0,379400000.0,840000000.0,564600000.0,275400000.0,183500000.0,0.67,321900000.0,275400000.0,275600000.0,1064900000.0,228500000.0,447200000.0,1947400000.0,1669800000.0,3617200000.0,20000000.0,715400000.0,0.0,383800000.0,1099200000.0,2518000000.0,46500000.0,444700000.0,-39200000.0,-19100000.0,-93000000.0,-243200000.0,37.56
2015-03-31,929300000.0,263800000.0,665500000.0,541500000.0,124000000.0,88100000.0,0.32,171400000.0,124000000.0,275900000.0,2021200000.0,196900000.0,456900000.0,2898000000.0,1614700000.0,4512700000.0,7500000.0,691000000.0,889200000.0,1281400000.0,1972400000.0,2540300000.0,47400000.0,167200000.0,-44900000.0,-5100000.0,-93000000.0,784000000.0,41.43
2015-06-30,1004100000.0,316400100.0,687700000.0,648900100.0,38799900.0,11700000.0,0.04,93399900.0,38799900.0,275700000.0,1525800000.0,219500000.0,485100000.0,2506500000.0,2160400000.0,4666900000.0,11300000.0,834700000.0,879100000.0,1342300000.0,2177000000.0,2489900000.0,54600000.0,186600000.0,-74800000.0,-594700000.0,-93200000.0,-80000000.0,34.61
