,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,299487000.0,154320000.0,145167000.0,92116000.0,29062000.0,28281000.0,0.24,79010100.0,29062100.0,85581000.0,409991000.0,189596000.0,30218000.0,866152000.0,411687000.0,1277839000.0,0.0,336999000.0,335202000.0,352845000.0,689844000.0,587995000.0,49948000.0,-46029000.0,-4503000.0,-4503000.0,0.0,0.0,16.15
2013-06-30,142667000.0,93842000.0,48825000.0,74461000.0,-49564000.0,-61914000.0,-0.71,2713000.0,-49564000.0,86992000.0,646315000.0,35202000.0,27852000.0,1020177000.0,427928000.0,1448105000.0,127768000.0,416287000.0,408925000.0,424837000.0,841124000.0,606981000.0,52277000.0,7201000.0,-7994000.0,-7994000.0,0.0,244207000.0,14.97
2013-09-30,148824000.0,92463000.0,56361000.0,144365000.0,-117891000.0,-124120000.0,-1.4,-63175000.0,-117891000.0,88822000.0,661923000.0,1011391000.0,84033000.0,2251267000.0,450047000.0,2701314000.0,0.0,1738206000.0,443526000.0,464246000.0,2202452000.0,498862000.0,54716000.0,127920000.0,-7458000.0,-7458000.0,0.0,-101055000.0,18.17
2013-12-31,1863869000.0,1119734000.0,744135000.0,105194000.0,606295000.0,500569000.0,5.88,783760100.0,606295000.0,85060000.0,972170000.0,189519000.0,45035000.0,1545656000.0,439695000.0,1985351000.0,0.0,693480000.0,448737000.0,469872000.0,1163352000.0,821999000.0,177465000.0,595672000.0,-8003000.0,-9003000.0,0.0,-276836000.0,17.37
2014-03-31,195208100.0,108288000.0,86920100.0,78350000.0,-23584000.0,6005000.0,-0.4,-844000.0,-23584000.0,84519000.0,1129239000.0,53143000.0,29780000.0,1399440000.0,400190000.0,1799630000.0,0.0,474820000.0,454031000.0,523004000.0,997824000.0,801806000.0,22740000.0,-30531000.0,-6358000.0,-6358000.0,0.0,0.0,21.93
2014-06-30,125425000.0,54156000.0,71269000.0,76198000.0,-33209000.0,-35403000.0,-0.45,-15893000.0,-33209000.0,79369000.0,903285000.0,43165000.0,23147000.0,1234352000.0,373384000.0,1607736000.0,0.0,285269000.0,459408000.0,539430000.0,824699000.0,783037000.0,17316000.0,-87516000.0,-8392000.0,-27807000.0,0.0,0.0,22.24
2014-09-30,126277000.0,52016000.0,74261000.0,93111000.0,-48513000.0,-41369000.0,-0.51,-34463000.0,-48513000.0,80355000.0,881340000.0,25427000.0,55948000.0,1266777000.0,398435000.0,1665212000.0,0.0,379142000.0,464871000.0,531061000.0,910203000.0,755009000.0,14050000.0,-44306000.0,-14662000.0,-22862000.0,0.0,4843000.0,23.07
2014-12-31,531147000.0,278013000.0,253134000.0,150456000.0,65612000.0,36966000.0,0.46,157106000.0,65612000.0,80659000.0,1007893000.0,435709000.0,24617000.0,1806013000.0,447805000.0,2253818000.0,0.0,707105000.0,470420000.0,731324000.0,1438429000.0,815389000.0,91494000.0,192348000.0,-13525000.0,-48611000.0,0.0,5509000.0,28.03
2015-03-31,300089000.0,410682000.0,-110593000.0,90669000.0,-242352900.0,-239664000.0,-2.99,-186669900.0,-242353000.0,80367000.0,1267727000.0,217860000.0,20051000.0,1779859000.0,448214000.0,2228073000.0,0.0,966260000.0,473030000.0,698725000.0,1664985000.0,563088000.0,55683000.0,152288000.0,-12922000.0,-120861000.0,0.0,-9424000.0,25.46
2015-06-30,275297000.0,202615000.0,72682000.0,94602000.0,-62637000.0,-67023000.0,-0.81,-26315000.0,-62637000.0,82833000.0,1420790000.0,130915000.0,12453000.0,1907976000.0,444628000.0,2352604000.0,0.0,1106300000.0,481784000.0,719465000.0,1825765000.0,526839000.0,36322000.0,105482000.0,-18769000.0,-206258000.0,0.0,1525000.0,27.57
2015-09-30,346974000.0,143940000.0,203034000.0,104837000.0,66431000.0,54735000.0,0.63,97252000.0,66431000.0,83849000.0,1279900000.0,240859000.0,24020000.0,1964608000.0,451891000.0,2416499000.0,0.0,1213885000.0,487601000.0,638549000.0,1852434000.0,564065000.0,30821000.0,-85468000.0,-7024000.0,13077000.0,0.0,-28934000.0,28.73
2015-12-31,414221000.0,257861000.0,156360000.0,108907000.0,-59197000.0,-42413000.0,-0.51,-3027000.0,-59197000.0,83426000.0,1418770000.0,263690000.0,20207000.0,2106308000.0,478701000.0,2585009000.0,0.0,1454974000.0,491576000.0,603061000.0,2058035000.0,526974000.0,56170000.0,168809000.0,-2786000.0,-31716000.0,0.0,-12140000.0,34.84
2016-03-31,377206000.0,209457000.0,167749000.0,82415000.0,44575000.0,46399000.0,0.54,109718000.0,44575000.0,83681000.0,1530731000.0,168527000.0,15888000.0,2045276000.0,545001000.0,2590277000.0,0.0,1220411000.0,497935000.0,788481000.0,2008892000.0,581385000.0,65143000.0,72482000.0,-8701000.0,-99619000.0,0.0,-8498000.0,37.67
2016-06-30,311552000.0,191380000.0,120172000.0,117877000.0,-38983000.0,-38567000.0,-0.46,15908000.0,-38983000.0,84588000.0,1507321000.0,141150000.0,12734000.0,1977672000.0,561055000.0,2538727000.0,0.0,1261627000.0,504385000.0,743560000.0,2005187000.0,533540000.0,54891000.0,-47248000.0,-4230000.0,72885000.0,0.0,-24279000.0,37.92
