,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,95799000.0,51954000.0,43845000.0,22646000.0,14470000.0,8493000.0,0.27,17792000.0,14470000.0,31403000.0,4495000.0,76220000.0,97549000.0,217825000.0,315374000.0,0.0,149813000.0,0.0,5363000.0,155176000.0,160198000.0,3322000.0,17084000.0,-5089000.0,-4825000.0,0.0,-14170000.0,61.26
2013-06-30,103088000.0,56046000.0,47042000.0,24971000.0,15349000.0,9047000.0,0.29,18708000.0,15349000.0,31617000.0,3068000.0,121256000.0,146552000.0,222376000.0,368928000.0,0.0,183262000.0,0.0,5511000.0,188773000.0,180155000.0,3359000.0,-498000.0,-8750000.0,-8875000.0,0.0,7946000.0,68.55
2013-09-30,107021000.0,57472000.0,49549000.0,24581000.0,17857000.0,11049000.0,0.34,21269000.0,17857000.0,32037000.0,52121000.0,90503000.0,164765000.0,228650000.0,393415000.0,0.0,181646000.0,0.0,4141000.0,185787000.0,207628000.0,3412000.0,42115000.0,-6423000.0,-6422000.0,0.0,13360000.0,87.47
2013-12-31,110735000.0,57968000.0,52767000.0,26091000.0,19452000.0,10512000.0,0.32,23145000.0,19452000.0,31891000.0,78876000.0,116291000.0,217235000.0,227253000.0,444488000.0,0.0,192110000.0,0.0,6059000.0,198169000.0,246319000.0,3693000.0,7389000.0,-6596000.0,-5536000.0,0.0,24902000.0,102.13
2014-03-31,112626000.0,60096000.0,52530000.0,25367000.0,19862000.0,11883000.0,0.36,23518000.0,19862000.0,32916000.0,97145000.0,86624000.0,207619000.0,226622000.0,434241000.0,0.0,161382000.0,0.0,6155000.0,167537000.0,266704000.0,3656000.0,16560000.0,-3630000.0,-3322000.0,0.0,5031000.0,83.68
2014-06-30,124371000.0,65813000.0,58558000.0,27419000.0,23622000.0,14740000.0,0.45,27247000.0,23622000.0,32918000.0,88892000.0,147945000.0,261032000.0,225785000.0,486817000.0,0.0,215764000.0,0.0,4574000.0,220338000.0,266479000.0,3625000.0,12268000.0,-2847000.0,-2812000.0,0.0,-18509000.0,91.21
2014-09-30,128664000.0,66872000.0,61792000.0,27344000.0,26745000.0,17000000.0,0.52,30400000.0,26745000.0,32935000.0,157431000.0,111803000.0,293000000.0,229263000.0,522263000.0,0.0,221361000.0,0.0,4911000.0,226272000.0,295991000.0,3655000.0,66303000.0,-1560000.0,-4118000.0,0.0,7154000.0,88.4
2014-12-31,127440000.0,66949000.0,60491000.0,28130000.0,24593000.0,15317000.0,0.46,28262000.0,24593000.0,33011000.0,206167000.0,112679000.0,337036000.0,232776000.0,569812000.0,0.0,232839000.0,0.0,0.0,232839000.0,336973000.0,3669000.0,47708000.0,-1306000.0,-1303000.0,0.0,2331000.0,109.44
2015-03-31,134966000.0,71087000.0,63879000.0,28545000.0,27178000.0,17273000.0,0.51,30891000.0,27178000.0,33562000.0,194721000.0,105790000.0,327775000.0,240607000.0,568382000.0,0.0,197654000.0,0.0,4340000.0,201994000.0,366388000.0,3713000.0,-2095000.0,-1909000.0,-17234000.0,0.0,7883000.0,120.53
2015-06-30,146295000.0,78042000.0,68253000.0,30396000.0,29596000.0,18836000.0,0.56,33367000.0,29596000.0,33751000.0,204103000.0,152178000.0,395524000.0,250510000.0,646034000.0,0.0,240744000.0,0.0,4673000.0,245417000.0,400617000.0,3771000.0,16908000.0,-4217000.0,-16797000.0,0.0,9271000.0,129.38
