,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,184884000.0,64753000.0,120131000.0,9476000.0,29632000.0,-1199000.0,0.0,114220000.0,29632000.0,249917000.0,493146000.0,559339000.0,6331441000.0,6890781000.0,0.0,123596000.0,3499107000.0,3835057000.0,3958653000.0,2932128000.0,84588000.0,66660000.0,-112294000.0,-101017000.0,-57298000.0,29363000.0,24.19
2013-06-30,189502000.0,65992000.0,123510000.0,9866000.0,30683000.0,4261000.0,0.02,116952000.0,30683000.0,249985000.0,567213000.0,633913000.0,6109630000.0,6743543000.0,0.0,155240000.0,3394723000.0,3721008000.0,3876248000.0,2867295000.0,86269000.0,105729000.0,-146517000.0,65104000.0,-61405000.0,-168919000.0,25.49
2013-09-30,191124000.0,67709000.0,123415000.0,11364000.0,33597000.0,2257000.0,0.01,119039000.0,33597000.0,249985000.0,565883000.0,632590000.0,6123476000.0,6756066000.0,0.0,154361000.0,3463172000.0,3772800000.0,3927161000.0,2828905000.0,85442000.0,88908000.0,-89835000.0,-92587000.0,-61181000.0,5793000.0,23.7
2013-12-31,193416000.0,67294000.0,126122000.0,11532000.0,23008000.0,35769000.0,0.14,114940000.0,23008000.0,249969000.0,53045000.0,136078000.0,6671644000.0,6807722000.0,0.0,164808000.0,3523703000.0,3830410000.0,3995218000.0,2812504000.0,91932000.0,78605000.0,-93272000.0,5291000.0,-61286000.0,-64796000.0,23.35
2014-03-31,198039000.0,69422000.0,128617000.0,11994000.0,26510000.0,17430000.0,0.07,116123000.0,26510000.0,250177000.0,556949000.0,641517000.0,6192506000.0,6834023000.0,0.0,123927000.0,3628246000.0,3968227000.0,4092154000.0,2741869000.0,89613000.0,82521000.0,-87488000.0,-136709000.0,-61312000.0,39830000.0,25.83
2014-06-30,203706000.0,68245000.0,135461000.0,12530000.0,32862000.0,29076000.0,0.12,122931000.0,32862000.0,250255000.0,662838000.0,707086000.0,6225319000.0,6932405000.0,0.0,135269000.0,3747794000.0,4113741000.0,4249010000.0,2683395000.0,90069000.0,103692000.0,-88967000.0,-142865000.0,-67935000.0,50098000.0,28.63
2014-09-30,206752000.0,71390000.0,135362000.0,11554000.0,33084000.0,39618000.0,0.16,123807000.0,33084000.0,251655000.0,689015000.0,707332900.0,6190755000.0,6898088000.0,0.0,138767000.0,3628192000.0,3980203000.0,4118970000.0,2779118000.0,90723000.0,95765000.0,-70797000.0,-21338000.0,-67914000.0,-86638000.0,27.25
2014-12-31,209549000.0,69955000.0,139594000.0,11722000.0,34308000.0,64486000.0,0.25,127832000.0,34308000.0,251528000.0,755790000.0,770159100.0,6058569000.0,6828728000.0,0.0,141475000.0,3565299000.0,3951303000.0,4092778000.0,2735950000.0,93524000.0,115325000.0,-106417000.0,2309000.0,-68868000.0,-117015000.0,30.82
2015-03-31,219753000.0,70932000.0,148821000.0,12152000.0,45273000.0,72891000.0,0.28,135673000.0,45273000.0,256834000.0,793080000.0,808574000.0,6049937000.0,6858511000.0,0.0,109165000.0,3516669000.0,3938305000.0,4047470000.0,2811041000.0,90400000.0,96018000.0,-64431000.0,-49538000.0,-69201000.0,-55430000.0,34.03
2015-06-30,215862000.0,69952000.0,145910000.0,13721000.0,39302000.0,85924000.0,0.33,131346000.0,39302000.0,257849000.0,940717000.0,956211000.0,5983519000.0,6939730000.0,0.0,118052000.0,3564403000.0,3963176000.0,4081228000.0,2858502000.0,92044000.0,120985000.0,-50760000.0,-114238000.0,-74506000.0,-10031000.0,32.03
