,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,758835100.0,499191100.0,259644000.0,153963000.0,103766000.0,64532000.0,1.01,127167000.0,103766100.0,63250000.0,320475000.0,41515000.0,361125000.0,789324000.0,485925000.0,1275249000.0,0.0,221067000.0,0.0,267240000.0,488307000.0,786942000.0,23401000.0,161543000.0,-44548000.0,-44548000.0,0.0,11756000.0,97.82
2013-04-30,582712000.0,378763000.0,203949000.0,133048000.0,67695000.0,41826000.0,0.66,92474000.0,67695000.0,63842000.0,293214000.0,29925000.0,442085000.0,828615000.0,502962000.0,1331577000.0,0.0,248067000.0,0.0,279786000.0,527853000.0,803724000.0,24779000.0,42835000.0,-42004000.0,-42004000.0,0.0,-28092000.0,87.65
2013-07-31,600998000.0,388921000.0,212077000.0,134400000.0,72868000.0,44911000.0,0.7000000000000001,98836000.0,72868000.0,63834000.0,286210000.0,30998000.0,461156000.0,846787000.0,545205000.0,1391992000.0,0.0,232745000.0,0.0,298785000.0,531530000.0,860462000.0,25968000.0,41685000.0,-56025000.0,-56025000.0,0.0,7336000.0,100.9
2013-10-31,618781000.0,387120000.0,231661000.0,151306000.0,72887000.0,45430000.0,0.71,99712000.0,72887000.0,64061000.0,240916000.0,46911000.0,582303000.0,941302000.0,594045000.0,1535347000.0,0.0,287614000.0,0.0,319414000.0,607028000.0,928319000.0,26825000.0,15613000.0,-78937000.0,-78937000.0,0.0,18030000.0,128.85
2014-01-31,868082000.0,574520900.0,293561000.0,177636000.0,114138200.0,70682000.0,1.1,142849200.0,114138200.0,63992000.0,419476000.0,47049000.0,457933000.0,1002697000.0,600030000.0,1602727000.0,0.0,266811000.0,0.0,332822000.0,599633000.0,1003094000.0,28711000.0,227592000.0,-49058000.0,-49058000.0,0.0,26000.0,85.71
2014-04-30,713770000.0,467817000.0,245953000.0,162443000.0,80881000.0,49953000.0,0.78,111354000.0,80881000.0,64273000.0,456709000.0,26722000.0,531427000.0,1090490000.0,608735000.0,1699225000.0,0.0,302419000.0,0.0,337050000.0,639469000.0,1059756000.0,30473000.0,73693000.0,-39106000.0,-39106000.0,0.0,2646000.0,87.71
2014-07-31,734236000.0,474894000.0,259342000.0,157768000.0,97979100.0,60794000.0,0.9400000000000001,129878100.0,97979100.0,64349000.0,463204000.0,42110000.0,541508000.0,1127693000.0,652119000.0,1779812000.0,0.0,300141000.0,0.0,353630000.0,653771000.0,1126041000.0,31899000.0,59535000.0,-54991000.0,-155137000.0,0.0,1951000.0,92.33
2014-10-31,745722000.0,463967000.0,281755000.0,181093000.0,94088000.0,59124000.0,0.92,127771000.0,94088000.0,64419000.0,395060000.0,49399000.0,709667000.0,1230742000.0,692017000.0,1922759000.0,0.0,369711000.0,0.0,366715000.0,736426000.0,1186333000.0,33683000.0,12922000.0,-78401000.0,-78255000.0,0.0,-2665000.0,120.81
2015-01-31,1047641000.0,697903900.0,349736900.0,210702000.0,137467000.0,87264000.0,1.3599999999999999,173176100.0,137467000.0,64335000.0,539358000.0,52440000.0,581229000.0,1260355000.0,722815000.0,1983170000.0,0.0,359594000.0,0.0,376067000.0,735661000.0,1247509000.0,35709000.0,250442000.0,-76569000.0,-126778000.0,0.0,-29575000.0,131.94
2015-04-30,868122000.0,564938000.0,303184000.0,192485000.0,107582000.0,66946000.0,1.04,145549000.0,107582000.0,64180000.0,536216000.0,43558000.0,662936000.0,1325201000.0,752750000.0,2077951000.0,0.0,383664000.0,0.0,391302000.0,774966000.0,1302985000.0,37967000.0,68292000.0,-56622000.0,-56622000.0,0.0,-14812000.0,151.09
