,Revenue,COGS,Gross Profit,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price,Current Debt
2013-03-31,30340000000.0,23251000000.0,7089000000.0,2139000000.0,1192000000.0,1.16,2475000000.0,2139000000.0,1016000000.0,13057000000.0,5799000000.0,22717000000.0,60409000000.0,83126000000.0,27183000000.0,15659000000.0,24186000000.0,51369000000.0,31757000000.0,336000000.0,1053000000.0,-323000000.0,-904000000.0,-216000000.0,1503000000.0,57.21,0
2013-06-30,30408000000.0,22842000000.0,7566000000.0,2401000000.0,1436000000.0,1.4,2741000000.0,2401000000.0,1009000000.0,10097000000.0,6694000000.0,20618000000.0,59583000000.0,80201000000.0,26405000000.0,15543000000.0,22415000000.0,48820000000.0,31381000000.0,340000000.0,1474000000.0,-156000000.0,-114000000.0,-281000000.0,-3670000000.0,65.48,0
2013-09-30,30624000000.0,22775000000.0,7849000000.0,2631000000.0,1570000000.0,1.53,2980000000.0,2631000000.0,1004000000.0,10719000000.0,6625000000.0,21194000000.0,60669000000.0,81863000000.0,27867000000.0,14888000000.0,21980000000.0,49847000000.0,32016000000.0,349000000.0,3396000000.0,-361000000.0,-1255000000.0,-280000000.0,-1516000000.0,71.61,0
2013-12-31,31117000000.0,23682000000.0,7435000000.0,2452000000.0,1427000000.0,1.4100000000000001,2802000000.0,2452000000.0,1006000000.0,9213000000.0,7050000000.0,20380000000.0,61502000000.0,81882000000.0,27881000000.0,14891000000.0,21852000000.0,49733000000.0,32149000000.0,350000000.0,1068000000.0,-467000000.0,-816000000.0,-279000000.0,-1263000000.0,75.3,0
2014-03-31,31708000000.0,24100000000.0,7608000000.0,2054000000.0,1099000000.0,1.1,2414000000.0,2054000000.0,983000000.0,9383000000.0,7826000000.0,22364000000.0,62258000000.0,84622000000.0,30716000000.0,14524000000.0,21357000000.0,52073000000.0,32549000000.0,360000000.0,1408000000.0,-353000000.0,-603000000.0,-276000000.0,-573000000.0,81.99,0
2014-06-30,32574000000.0,24452000000.0,8122000000.0,2552000000.0,1408000000.0,1.42,2916000000.0,2552000000.0,979000000.0,8289000000.0,9424000000.0,22851000000.0,62615000000.0,85466000000.0,30776000000.0,14630000000.0,21755000000.0,52531000000.0,32935000000.0,364000000.0,1014000000.0,-363000000.0,-275000000.0,-366000000.0,-1849000000.0,81.75,0
2014-09-30,32759000000.0,24047000000.0,8712000000.0,2903000000.0,1602000000.0,1.63,3276000000.0,2903000000.0,969000000.0,9212000000.0,9015000000.0,22963000000.0,62463000000.0,85426000000.0,31130000000.0,14592000000.0,21692000000.0,52822000000.0,32604000000.0,373000000.0,3200000000.0,-405000000.0,-980000000.0,-362000000.0,-1388000000.0,86.25,0
2014-12-31,33433000000.0,24860000000.0,8573000000.0,2765000000.0,1510000000.0,1.55,3146000000.0,2765000000.0,972000000.0,9236000000.0,9750000000.0,23556000000.0,62826000000.0,86382000000.0,30623000000.0,16007000000.0,23305000000.0,53928000000.0,32454000000.0,381000000.0,2429000000.0,-404000000.0,-676000000.0,-358000000.0,-1483000000.0,101.09,0
2015-03-31,35756000000.0,26904000000.0,8852000000.0,2640000000.0,1413000000.0,1.46,3018000000.0,2640000000.0,954000000.0,10430000000.0,10386000000.0,26774000000.0,62945000000.0,89719000000.0,34978000000.0,15577000000.0,22863000000.0,57841000000.0,31878000000.0,378000000.0,2269000000.0,-373000000.0,-1525000000.0,-357000000.0,496000000.0,118.29,0
2015-06-30,36263000000.0,27251000000.0,9012000000.0,2895000000.0,1585000000.0,1.6400000000000001,3274000000.0,2895000000.0,952000000.0,9802000000.0,12194000000.0,27566000000.0,63857000000.0,91423000000.0,35741000000.0,15378000000.0,22662000000.0,58403000000.0,33020000000.0,379000000.0,1163000000.0,-343000000.0,-1325000000.0,-476000000.0,-617000000.0,122.0,0
