,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,5290000000.0,2673000000.0,2617000000.0,0.0,1633000000.0,957000000.0,1.025,2067000000.0,1633000000.0,935600000.0,1917000000.0,1512000000.0,655000000.0,4646000000.0,43915000000.0,48561000000.0,552000000.0,3610000000.0,9309000000.0,24807000000.0,28417000000.0,20144000000.0,434000000.0,1524000000.0,-765000000.0,-800000000.0,-323000000.0,130000000.0,71.21
2013-06-30,5470000000.0,2633000000.0,2837000000.0,0.0,1878000000.0,1106000000.0,1.19,2316000000.0,1878000000.0,930600000.0,1845000000.0,1468000000.0,654000000.0,4543000000.0,44483000000.0,49026000000.0,733000000.0,3825000000.0,9076000000.0,24677000000.0,28502000000.0,20524000000.0,438000000.0,1694000000.0,-923000000.0,-939000000.0,-323000000.0,-827000000.0,77.14
2013-09-30,5573000000.0,2650000000.0,2923000000.0,0.0,1962000000.0,1151000000.0,1.245,2409000000.0,1962000000.0,923500000.0,1366000000.0,1469000000.0,683000000.0,4064000000.0,44894000000.0,48958000000.0,691000000.0,3655000000.0,8764000000.0,24529000000.0,28184000000.0,20774000000.0,447000000.0,1663000000.0,-947000000.0,-857000000.0,-322000000.0,-1285000000.0,77.67
2013-12-31,5630000000.0,2700000000.0,2930000000.0,0.0,1973000000.0,1174000000.0,1.28,2431000000.0,1973000000.0,926500000.0,1432000000.0,1414000000.0,653000000.0,3990000000.0,45741000000.0,49731000000.0,705000000.0,3791000000.0,8872000000.0,24715000000.0,28506000000.0,21225000000.0,458000000.0,1942000000.0,-763000000.0,-809000000.0,-365000000.0,-1067000000.0,84.0
2014-03-31,5638000000.0,2782000000.0,2856000000.0,0.0,1854000000.0,1088000000.0,1.2,2318000000.0,1854000000.0,908100000.0,1857000000.0,1542000000.0,705000000.0,4679000000.0,46219000000.0,50898000000.0,632000000.0,4188000000.0,9544000000.0,25438000000.0,29626000000.0,21272000000.0,464000000.0,1767000000.0,-866000000.0,-905000000.0,-363000000.0,-437000000.0,93.83
2014-06-30,6015000000.0,2805000000.0,3210000000.0,0.0,2196000000.0,1291000000.0,1.43,2666000000.0,2196000000.0,901500000.0,1537000000.0,1666000000.0,739000000.0,4503000000.0,47059000000.0,51562000000.0,458000000.0,3777000000.0,10385000000.0,26345000000.0,30122000000.0,21440000000.0,470000000.0,1454000000.0,-1162000000.0,-1273000000.0,-413000000.0,-501000000.0,99.75
2014-09-30,6182000000.0,2819000000.0,3363000000.0,0.0,2330000000.0,1370000000.0,1.53,2811000000.0,2330000000.0,893200000.0,1887000000.0,1635000000.0,736000000.0,4780000000.0,47788000000.0,52568000000.0,460000000.0,3833000000.0,11045000000.0,27182000000.0,31015000000.0,21553000000.0,481000000.0,2137000000.0,-1139000000.0,-1147000000.0,-410000000.0,-640000000.0,108.42
2014-12-31,6153000000.0,2767000000.0,3386000000.0,0.0,2373000000.0,1431000000.0,1.62,2862000000.0,2373000000.0,897100000.0,1586000000.0,1611000000.0,712000000.0,4401000000.0,47971000000.0,52372000000.0,461000000.0,3764000000.0,10952000000.0,27419000000.0,31183000000.0,21189000000.0,489000000.0,2027000000.0,-1041000000.0,-924000000.0,-446000000.0,-1404000000.0,119.13
2015-03-31,5614000000.0,2576000000.0,3038000000.0,0.0,1977000000.0,1151000000.0,1.31,2468000000.0,1977000000.0,879300000.0,1587000000.0,1564000000.0,744000000.0,4479000000.0,48666000000.0,53145000000.0,416000000.0,3390000000.0,11884000000.0,28698000000.0,32088000000.0,21057000000.0,491000000.0,2064000000.0,-1069000000.0,-1142000000.0,-922000000.0,-921000000.0,108.31
2015-06-30,5429000000.0,2446000000.0,2983000000.0,0.0,1949000000.0,1204000000.0,1.38,2446000000.0,1949000000.0,872200000.0,2041000000.0,1513000000.0,762000000.0,4983000000.0,49194000000.0,54177000000.0,431000000.0,3413000000.0,12908000000.0,29774000000.0,33187000000.0,20990000000.0,497000000.0,1709000000.0,-967000000.0,-994000000.0,-479000000.0,-261000000.0,95.37
2015-09-30,5562000000.0,2340000000.0,3222000000.0,0.0,2208000000.0,1300000000.0,1.51,2715000000.0,2208000000.0,862900000.0,1078000000.0,1508000000.0,741000000.0,3942000000.0,49821000000.0,53763000000.0,521000000.0,3508000000.0,12798000000.0,29656000000.0,33164000000.0,20599000000.0,507000000.0,1852000000.0,-1096000000.0,-1114000000.0,-476000000.0,-1701000000.0,88.41
2015-12-31,5208000000.0,2233000000.0,2975000000.0,0.0,1918000000.0,1117000000.0,1.31,2435000000.0,1918000000.0,866200000.0,1391000000.0,1356000000.0,736000000.0,4130000000.0,50470000000.0,54600000000.0,594000000.0,3206000000.0,13607000000.0,30692000000.0,33898000000.0,20702000000.0,517000000.0,1719000000.0,-1267000000.0,-1226000000.0,-467000000.0,-180000000.0,78.2
2016-03-31,4829000000.0,2102000000.0,2727000000.0,0.0,1687000000.0,979000000.0,1.16,2189000000.0,1687000000.0,844000000.0,2673000000.0,1355000000.0,716000000.0,5083000000.0,50689000000.0,55772000000.0,402000000.0,3287000000.0,14791000000.0,32010000000.0,35297000000.0,20475000000.0,502000000.0,2173000000.0,-687000000.0,-672000000.0,-465000000.0,-219000000.0,79.55
2016-06-30,4770000000.0,2076000000.0,2694000000.0,0.0,1660000000.0,979000000.0,1.17,2164000000.0,1660000000.0,837400000.0,2160000000.0,1373000000.0,660000000.0,4566000000.0,51124000000.0,55690000000.0,409000000.0,3095000000.0,14777000000.0,32173000000.0,35268000000.0,20422000000.0,504000000.0,1352000000.0,-903000000.0,-1166000000.0,-460000000.0,-1029000000.0,87.25
2016-09-30,5174000000.0,2149000000.0,3025000000.0,0.0,1960000000.0,1131000000.0,1.3599999999999999,2472000000.0,1960000000.0,829000000.0,2239000000.0,1351000000.0,690000000.0,4602000000.0,51703000000.0,56305000000.0,407000000.0,3257000000.0,15205000000.0,32764000000.0,36021000000.0,20284000000.0,512000000.0,1942000000.0,-898000000.0,-981000000.0,-457000000.0,-882000000.0,97.53
2016-12-31,5168000000.0,2199000000.0,2969000000.0,0.0,1936000000.0,1144000000.0,1.4,2456000000.0,1936000000.0,832400000.0,1337000000.0,1258000000.0,717000000.0,3596000000.0,52122000000.0,55718000000.0,758000000.0,3640000000.0,14249000000.0,32146000000.0,35786000000.0,19932000000.0,520000000.0,2058000000.0,-888000000.0,-574000000.0,-497000000.0,-2116000000.0,103.68
2017-03-31,5132000000.0,2288000000.0,2844000000.0,0.0,1788000000.0,1072000000.0,1.32,2308000000.0,1788000000.0,811500000.0,1139000000.0,1279000000.0,760000000.0,3588000000.0,52312000000.0,55900000000.0,723000000.0,3848000000.0,14310000000.0,32329000000.0,36177000000.0,19723000000.0,520000000.0,1883000000.0,-794000000.0,-843000000.0,-492000000.0,-1268000000.0,105.92
2017-06-30,5250000000.0,2235000000.0,3015000000.0,0.0,1998000000.0,1168000000.0,1.45,2523000000.0,1998000000.0,804100000.0,1376000000.0,1357000000.0,726000000.0,3869000000.0,52609000000.0,56478000000.0,531000000.0,3406000000.0,15229000000.0,33457000000.0,36863000000.0,19615000000.0,525000000.0,1576000000.0,-725000000.0,-721000000.0,-488000000.0,-618000000.0,108.91
2017-09-30,5408000000.0,2302000000.0,3106000000.0,0.0,2073000000.0,1194000000.0,1.5,2601000000.0,2073000000.0,794500000.0,1937000000.0,1428000000.0,742000000.0,4449000000.0,52948000000.0,57397000000.0,903000000.0,3831000000.0,15930000000.0,34415000000.0,38246000000.0,19151000000.0,528000000.0,1939000000.0,-860000000.0,-696000000.0,-480000000.0,-682000000.0,115.97
2017-12-31,5450000000.0,2368000000.0,3082000000.0,0.0,2247000000.0,7278000000.0,9.29,2779000000.0,2247000000.0,798400000.0,1365000000.0,1493000000.0,749000000.0,4006000000.0,53800000000.0,57806000000.0,800000000.0,3939000000.0,16144000000.0,29011000000.0,32950000000.0,24856000000.0,532000000.0,1832000000.0,-691000000.0,-826000000.0,-522000000.0,-1578000000.0,134.1
2018-03-31,5475000000.0,2461000000.0,3014000000.0,0.0,1939000000.0,1310000000.0,1.69,2482000000.0,1939000000.0,776400000.0,1138000000.0,1571000000.0,808000000.0,3897000000.0,53892000000.0,57789000000.0,1891000000.0,4746000000.0,15697000000.0,28654000000.0,33400000000.0,24389000000.0,543000000.0,1901000000.0,-910000000.0,-919000000.0,-568000000.0,-1209000000.0,134.43
2018-06-30,5672000000.0,2514000000.0,3158000000.0,0.0,2099000000.0,1509000000.0,1.98,2645000000.0,2099000000.0,760500000.0,1694000000.0,1634000000.0,772000000.0,4494000000.0,54195000000.0,58689000000.0,1456000000.0,4372000000.0,21357000000.0,34408000000.0,38780000000.0,19909000000.0,546000000.0,2132000000.0,-673000000.0,-706000000.0,-557000000.0,-870000000.0,141.68
2018-09-30,5928000000.0,2553000000.0,3375000000.0,0.0,2269000000.0,1593000000.0,2.16,2816000000.0,2269000000.0,737400000.0,1900000000.0,1792000000.0,789000000.0,4816000000.0,54496000000.0,59312000000.0,1468000000.0,4529000000.0,20943000000.0,34138000000.0,38667000000.0,20645000000.0,547000000.0,2341000000.0,-806000000.0,-809000000.0,-591000000.0,-1326000000.0,162.83
2018-12-31,5757000000.0,2502000000.0,3255000000.0,0.0,2210000000.0,1554000000.0,2.13,2765000000.0,2210000000.0,750900000.0,1333000000.0,1755000000.0,742000000.0,4163000000.0,54984000000.0,59147000000.0,1466000000.0,4626000000.0,20925000000.0,34098000000.0,38724000000.0,20423000000.0,555000000.0,2312000000.0,-985000000.0,-977000000.0,-583000000.0,-1817000000.0,138.23
2019-03-31,5384000000.0,2312000000.0,3072000000.0,0.0,1960000000.0,1391000000.0,1.94,2509000000.0,1960000000.0,716800000.0,1119000000.0,1672000000.0,780000000.0,3953000000.0,57366000000.0,61319000000.0,1703000000.0,5262000000.0,23409000000.0,38315000000.0,43577000000.0,17742000000.0,549000000.0,1959000000.0,-752000000.0,-784000000.0,-626000000.0,-1405000000.0,167.2
2019-06-30,5596000000.0,2278000000.0,3318000000.0,0.0,2260000000.0,1570000000.0,2.23,2811000000.0,2260000000.0,705500000.0,1109000000.0,1809000000.0,775000000.0,4086000000.0,57622000000.0,61708000000.0,2297000000.0,5665000000.0,22955000000.0,37872000000.0,43537000000.0,18171000000.0,551000000.0,1941000000.0,-778000000.0,-826000000.0,-622000000.0,-1142000000.0,169.11
2019-09-30,5516000000.0,2212000000.0,3304000000.0,0.0,2234000000.0,1555000000.0,2.22,2791000000.0,2234000000.0,699300000.0,1310000000.0,1650000000.0,771000000.0,4073000000.0,57905000000.0,61978000000.0,1421000000.0,4587000000.0,24314000000.0,39375000000.0,43962000000.0,18016000000.0,557000000.0,2364000000.0,-902000000.0,-897000000.0,-677000000.0,-1235000000.0,161.98
2019-12-31,5212000000.0,2092000000.0,3120000000.0,231000000.0,2100000000.0,1403000000.0,2.03,2659000000.0,2100000000.0,703500000.0,891000000.0,1595000000.0,751000000.0,3459000000.0,58214000000.0,61673000000.0,1257000000.0,4351000000.0,23943000000.0,39194000000.0,43545000000.0,18128000000.0,559000000.0,2345000000.0,-947000000.0,-928000000.0,-673000000.0,-1864000000.0,180.79
2020-03-31,5229000000.0,2014000000.0,3215000000.0,298000000.0,2143000000.0,1474000000.0,2.15,2690000000.0,2143000000.0,684300000.0,1190000000.0,1669000000.0,692000000.0,3804000000.0,58412000000.0,62216000000.0,1511000000.0,4641000000.0,26365000000.0,41584000000.0,46225000000.0,15991000000.0,547000000.0,2155000000.0,-799000000.0,-807000000.0,-660000000.0,-997000000.0,141.04
2020-06-30,4244000000.0,1593000000.0,2651000000.0,235000000.0,1654000000.0,1132000000.0,1.67,2205000000.0,1654000000.0,677700000.0,2766000000.0,1388000000.0,668000000.0,5083000000.0,58472000000.0,63555000000.0,1990000000.0,5279000000.0,26439000000.0,41824000000.0,47103000000.0,16452000000.0,551000000.0,2237000000.0,-693000000.0,-610000000.0,-659000000.0,-110000000.0,169.07
2020-09-30,4919000000.0,1817000000.0,3102000000.0,299000000.0,2031000000.0,1363000000.0,2.02,2586000000.0,2031000000.0,675000000.0,2661000000.0,1565000000.0,649000000.0,5130000000.0,58584000000.0,63714000000.0,1980000000.0,4841000000.0,26080000000.0,41674000000.0,46515000000.0,17199000000.0,555000000.0,1601000000.0,-683000000.0,-664000000.0,-655000000.0,-1043000000.0,196.87
2020-12-31,5141000000.0,1845000000.0,3296000000.0,513000000.0,2006000000.0,1380000000.0,2.05,2563000000.0,2006000000.0,677300000.0,1859000000.0,1505000000.0,638000000.0,4214000000.0,58184000000.0,62398000000.0,1069000000.0,4173000000.0,25660000000.0,41267000000.0,45440000000.0,16958000000.0,557000000.0,2547000000.0,-603000000.0,-595000000.0,-652000000.0,-2752000000.0,208.22
2021-03-31,5001000000.0,1927000000.0,3074000000.0,320000000.0,1993000000.0,1341000000.0,2.01,2542000000.0,1993000000.0,667600000.0,1243000000.0,1610000000.0,659000000.0,3719000000.0,58074000000.0,61793000000.0,1565000000.0,4871000000.0,25117000000.0,40668000000.0,45539000000.0,16254000000.0,549000000.0,1958000000.0,-519000000.0,-505000000.0,-650000000.0,-2073000000.0,220.41
2021-06-30,5504000000.0,1997000000.0,3507000000.0,284000000.0,2473000000.0,1798000000.0,2.73,3023000000.0,2473000000.0,658500000.0,1161000000.0,1666000000.0,688000000.0,3764000000.0,58309000000.0,62073000000.0,1110000000.0,4357000000.0,27702000000.0,43413000000.0,47770000000.0,14303000000.0,550000000.0,2261000000.0,-570000000.0,-566000000.0,-700000000.0,-1734000000.0,219.93
2021-09-30,5566000000.0,2864000000.0,2702000000.0,270000000.0,2432000000.0,1673000000.0,2.5700000000000003,2985000000.0,2432000000.0,649000000.0,1272000000.0,1679000000.0,664000000.0,3810000000.0,58550000000.0,62360000000.0,2141000000.0,5111000000.0,28822000000.0,43332000000.0,48443000000.0,13917000000.0,553000000.0,2284000000.0,-736000000.0,-721000000.0,-695000000.0,-1484000000.0,196.01
2021-12-31,5733000000.0,2991000000.0,2742000000.0,0.0,2440000000.0,1711000000.0,2.66,2996000000.0,2440000000.0,640000000.0,1025000000.0,1722000000.0,621000000.0,3551000000.0,59974000000.0,64482000000.0,2496000000.0,5744000000.0,28992000000.0,43620000000.0,50321000000.0,14161000000.0,556000000.0,2529000000.0,-933000000.0,-917000000.0,-755000000.0,-1867000000.0,251.93
2022-03-31,5860000000.0,3146000000.0,2714000000.0,0.0,2377000000.0,1630000000.0,2.5700000000000003,2932000000.0,2377000000.0,632000000.0,972000000.0,1958000000.0,726000000.0,3876000000.0,60175000000.0,64051000000.0,1864000000.0,5462000000.0,31971000000.0,46692000000.0,52154000000.0,11897000000.0,555000000.0,2236000000.0,-816000000.0,-836000000.0,-743000000.0,-1453000000.0,273.21
2022-06-30,6269000000.0,3443000000.0,2826000000.0,0.0,2495000000.0,1835000000.0,2.93,3054000000.0,2495000000.0,626000000.0,856000000.0,2052000000.0,790000000.0,3976000000.0,60464000000.0,64440000000.0,2648000000.0,6002000000.0,30968000000.0,45728000000.0,51730000000.0,12710000000.0,559000000.0,1931000000.0,-709000000.0,-704000000.0,-813000000.0,-1343000000.0,213.28
2022-09-30,6566000000.0,3614000000.0,2952000000.0,0.0,2633000000.0,1895000000.0,3.05,3196000000.0,2633000000.0,620000000.0,1326000000.0,2052000000.0,794000000.0,4405000000.0,60938000000.0,65343000000.0,2004000000.0,5712000000.0,33047000000.0,47888000000.0,53600000000.0,11743000000.0,563000000.0,2903000000.0,-993000000.0,-1019000000.0,-806000000.0,-1414000000.0,194.82
