,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1100000000.0,715000000.0,385000000.0,160000000.0,149000000.0,21000000.0,0.23,421000000.0,149000000.0,93310000.0,147000000.0,725000000.0,103000000.0,1311000000.0,9610000000.0,10921000000.0,567000000.0,1369000000.0,6597000000.0,7957000000.0,9326000000.0,1595000000.0,272000000.0,409000000.0,-175000000.0,-175000000.0,0.0,-191000000.0,54.97
2013-06-30,1206000000.0,735000000.0,471000000.0,152000000.0,250000000.0,83000000.0,0.88,525000000.0,250000000.0,93895000.0,133000000.0,751000000.0,111000000.0,1363000000.0,9963000000.0,11326000000.0,624000000.0,1592000000.0,6732000000.0,8125000000.0,9717000000.0,1609000000.0,275000000.0,469000000.0,-626000000.0,-626000000.0,0.0,148000000.0,49.91
2013-09-30,1311000000.0,747000000.0,564000000.0,167000000.0,337000000.0,143000000.0,1.35,620000000.0,337000000.0,93244000.0,125000000.0,807000000.0,91000000.0,1414000000.0,10149000000.0,11563000000.0,630000000.0,1418000000.0,6952000000.0,8416000000.0,9834000000.0,1729000000.0,283000000.0,237000000.0,-398000000.0,-407000000.0,0.0,159000000.0,58.29
2013-12-31,1338000000.0,771000000.0,567000000.0,163000000.0,342000000.0,140000000.0,1.5,631000000.0,342000000.0,93436000.0,175000000.0,804000000.0,70000000.0,1362000000.0,9869000000.0,11231000000.0,604000000.0,1286000000.0,6569000000.0,8097000000.0,9383000000.0,1848000000.0,289000000.0,436000000.0,31000000.0,31000000.0,0.0,-411000000.0,77.95
2014-03-31,1178000000.0,730000000.0,448000000.0,168000000.0,218000000.0,60000000.0,0.63,500000000.0,218000000.0,95225000.0,227000000.0,752000000.0,102000000.0,1400000000.0,9847000000.0,11247000000.0,265000000.0,1101000000.0,6774000000.0,8322000000.0,9423000000.0,1824000000.0,282000000.0,508000000.0,-230000000.0,-231000000.0,0.0,-218000000.0,94.94
2014-06-30,1399000000.0,810000000.0,589000000.0,187000000.0,325000000.0,94000000.0,0.97,629000000.0,325000000.0,97002000.0,170000000.0,844000000.0,119000000.0,1396000000.0,11071000000.0,12467000000.0,621000000.0,1746000000.0,7394000000.0,8914000000.0,10660000000.0,1807000000.0,304000000.0,546000000.0,-584000000.0,-1339000000.0,0.0,730000000.0,104.73
2014-09-30,1544000000.0,856000000.0,688000000.0,194000000.0,422000000.0,192000000.0,1.9500000000000002,732000000.0,422000000.0,98485000.0,168000000.0,941000000.0,112000000.0,1378000000.0,11105000000.0,12483000000.0,618000000.0,1695000000.0,7477000000.0,8972000000.0,10667000000.0,1816000000.0,310000000.0,412000000.0,-340000000.0,-336000000.0,0.0,-71000000.0,111.1
2014-12-31,1564000000.0,857000000.0,707000000.0,209000000.0,426000000.0,194000000.0,1.96,741000000.0,426000000.0,97489000.0,158000000.0,940000000.0,78000000.0,1298000000.0,10831000000.0,12129000000.0,618000000.0,1478000000.0,7344000000.0,8853000000.0,10331000000.0,1798000000.0,315000000.0,335000000.0,-90000000.0,-94000000.0,0.0,-245000000.0,102.01
2015-03-31,1315000000.0,791000000.0,524000000.0,181000000.0,300000000.0,115000000.0,1.19,607000000.0,300000000.0,97007000.0,257000000.0,848000000.0,81000000.0,1452000000.0,10830000000.0,12282000000.0,593000000.0,1555000000.0,7482000000.0,9232000000.0,10787000000.0,1495000000.0,307000000.0,675000000.0,-225000000.0,-225000000.0,0.0,-335000000.0,91.16
2015-06-30,1429000000.0,811000000.0,618000000.0,175000000.0,375000000.0,86000000.0,0.89,684000000.0,375000000.0,96647000.0,200000000.0,894000000.0,81000000.0,1436000000.0,11169000000.0,12605000000.0,590000000.0,1582000000.0,7820000000.0,9571000000.0,11153000000.0,1452000000.0,309000000.0,575000000.0,-593000000.0,-651000000.0,0.0,17000000.0,87.62
