,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,Shares,Cash & Equivalents,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,5276000000.0,458000000.0,4818000000.0,2816000000.0,1945000000.0,1358000000.0,0.73,1858000000.0,6932000000.0,233612000000.0,121835000000.0,355447000000.0,0.0,275138000000.0,25239000000.0,39462000000.0,314600000000.0,40847000000.0,131000000.0,1668000000.0,-1524000000.0,-367000000.0,-1464000000.0,33.93
2013-06-30,5314000000.0,422000000.0,4892000000.0,2864000000.0,1973000000.0,1405000000.0,0.76,1843000000.0,6618000000.0,235047000000.0,118368000000.0,353415000000.0,0.0,277747000000.0,19724000000.0,34618000000.0,312365000000.0,41050000000.0,129000000.0,4848000000.0,-5819000000.0,-363000000.0,657000000.0,36.15
2013-09-30,5245000000.0,410000000.0,4835000000.0,2808000000.0,1972000000.0,1400000000.0,0.76,1832000000.0,11615000000.0,242594000000.0,118087000000.0,360681000000.0,0.0,287844000000.0,18750000000.0,31285000000.0,319129000000.0,41552000000.0,129000000.0,2141000000.0,-5320000000.0,-424000000.0,8176000000.0,36.58
2013-12-31,5224000000.0,391000000.0,4833000000.0,2903000000.0,1874000000.0,1389000000.0,0.76,1839000000.0,8477000000.0,242730000000.0,121291000000.0,364021000000.0,0.0,289731000000.0,20049000000.0,32483000000.0,322214000000.0,41807000000.0,131000000.0,2789000000.0,-8361000000.0,-422000000.0,2434000000.0,40.4
2014-03-31,5130000000.0,372000000.0,4758000000.0,2801000000.0,1908000000.0,1331000000.0,0.73,1818000000.0,7408000000.0,243437000000.0,127852000000.0,371289000000.0,0.0,291393000000.0,23774000000.0,37153000000.0,328546000000.0,42743000000.0,123000000.0,2772000000.0,-8645000000.0,-421000000.0,4804000000.0,42.86
2014-06-30,5491000000.0,358000000.0,5133000000.0,3029000000.0,2056000000.0,1427000000.0,0.79,1811000000.0,12636000000.0,255396000000.0,133669000000.0,389065000000.0,0.0,305363000000.0,25891000000.0,40316000000.0,345679000000.0,43386000000.0,123000000.0,1112000000.0,-5867000000.0,-420000000.0,9983000000.0,43.32
2014-09-30,5299000000.0,365000000.0,4934000000.0,2874000000.0,2009000000.0,1405000000.0,0.78,1798000000.0,6183000000.0,251648000000.0,139636000000.0,391284000000.0,0.0,303142000000.0,30768000000.0,44313000000.0,347455000000.0,43829000000.0,127000000.0,582000000.0,-8860000000.0,-444000000.0,1825000000.0,41.83
2014-12-31,5472000000.0,358000000.0,5114000000.0,3041000000.0,2022000000.0,1420000000.0,0.79,1803000000.0,10654000000.0,259258000000.0,143271000000.0,402529000000.0,0.0,312626000000.0,32260000000.0,45735000000.0,358361000000.0,44168000000.0,128000000.0,866000000.0,-6440000000.0,-441000000.0,10045000000.0,44.95
2015-03-31,5215000000.0,363000000.0,4852000000.0,2886000000.0,1923000000.0,1365000000.0,0.77,1781000000.0,14072000000.0,263362000000.0,146871000000.0,410233000000.0,0.0,314827000000.0,35104000000.0,50441000000.0,365268000000.0,44965000000.0,120000000.0,1751000000.0,-2501000000.0,-439000000.0,4168000000.0,43.67
2015-06-30,5340000000.0,352000000.0,4988000000.0,2920000000.0,2025000000.0,1417000000.0,0.8,1771000000.0,17925000000.0,271049000000.0,148026000000.0,419075000000.0,0.0,324632000000.0,34141000000.0,49212000000.0,373844000000.0,45231000000.0,120000000.0,1646000000.0,-5623000000.0,-438000000.0,7830000000.0,43.4
2015-09-30,5443000000.0,349000000.0,5094000000.0,3015000000.0,2037000000.0,1422000000.0,0.81,1758000000.0,10450000000.0,265748000000.0,150195000000.0,415943000000.0,0.0,322179000000.0,32504000000.0,47997000000.0,370176000000.0,45767000000.0,118000000.0,2854000000.0,-4987000000.0,-452000000.0,-5342000000.0,41.01
2015-12-31,5496000000.0,337000000.0,5159000000.0,3068000000.0,2045000000.0,1404000000.0,0.8,1764000000.0,11147000000.0,271317000000.0,150536000000.0,421853000000.0,0.0,328277000000.0,32078000000.0,46759000000.0,375036000000.0,46817000000.0,123000000.0,2531000000.0,-8039000000.0,-448000000.0,6205000000.0,42.67
2016-03-31,5370000000.0,386000000.0,4984000000.0,3034000000.0,1905000000.0,1329000000.0,0.77,1737000000.0,10981000000.0,275655000000.0,152983000000.0,428638000000.0,0.0,330125000000.0,34872000000.0,51120000000.0,381245000000.0,47393000000.0,119000000.0,1261000000.0,-4889000000.0,-447000000.0,3462000000.0,40.59
2016-06-30,5804000000.0,407000000.0,5397000000.0,3275000000.0,2078000000.0,1435000000.0,0.8300000000000001,1725000000.0,14038000000.0,283064000000.0,155399000000.0,438463000000.0,0.0,336023000000.0,36941000000.0,54411000000.0,390434000000.0,48029000000.0,117000000.0,1423000000.0,-5205000000.0,-444000000.0,6839000000.0,40.33
2016-09-30,5765000000.0,427000000.0,5338000000.0,3211000000.0,2082000000.0,1434000000.0,0.84,1710000000.0,23664000000.0,296731000000.0,157403000000.0,454134000000.0001,0.0,350290000000.0,37978000000.0,55445000000.0,405735000000.0,48399000000.0,117000000.0,554000000.0,-5147000000.0,-440000000.0,14219000000.0,42.89
2016-12-31,5485000000.0,248000000.0,5237000000.0,3152000000.0,2040000000.0,1391000000.0,0.8200000000000001,1718000000.0,15705000000.0,289925000000.0,156039000000.0,445964000000.0,0.0,348553000000.0,33323000000.0,49478000000.0,398031000000.0,47933000000.0,117000000.0,2098000000.0,-2717000000.0,-479000000.0,-7340000000.0,51.37
2017-03-31,5652000000.0,413000000.0,5239000000.0,3210000000.0,1985000000.0,1387000000.0,0.8200000000000001,1694000000.0,20319000000.0,292818000000.0,156704000000.0,449522000000.0,0.0,349056000000.0,35948000000.0,52033000000.0,401089000000.0,48433000000.0,117000000.0,3190000000.0,-1721000000.0,-478000000.0,3145000000.0,51.5
2017-06-30,5867000000.0,470000000.0,5397000000.0,3291000000.0,2063000000.0,1430000000.0,0.85,1684000000.0,28964000000.0,306052000000.0,157792000000.0,463844000000.0001,0.0,361674000000.0,37814000000.0,53221000000.0,414895000000.0,48949000000.0,116000000.0,1589000000.0,-5093000000.0,-476000000.0,12149000000.0,51.92
2017-09-30,6044000000.0,528000000.0,5516000000.0,3314000000.0,2158000000.0,1485000000.0,0.89,1672000000.0,20540000000.0,299108000000.0,160119000000.0,459227000000.0001,0.0,358445000000.0,34515000000.0,51431000000.0,409876000000.0,49351000000.0,117000000.0,1862000000.0,-2506000000.0,-472000000.0,-7780000000.0,53.59
2017-12-31,6100000000.0,555000000.0,5545000000.0,4190000000.0,1311000000.0,1611000000.0,0.97,1677000000.0,19505000000.0,299566000000.0,162474000000.0,462040000000.0001,0.0,363866000000.0,32259000000.0,48508000000.0,412374000000.0,49666000000.0,118000000.0,-169000000.0,-2806000000.0,-502000000.0,1940000000.0,53.58
2018-03-31,6063000000.0,623000000.0,5440000000.0,3357000000.0,2044000000.0,1597000000.0,0.97,1652000000.0,19246000000.0,298016000000.0,162103000000.0,460119000000.0001,0.0,362229000000.0,33201000000.0,48078000000.0,410307000000.0,49812000000.0,113000000.0,1434000000.0,82000000.0,-499000000.0,-1775000000.0,50.5
