,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,33474000000.0,30685000000.0,2789000000.0,1298000000.0,1061000000.0,654000000.0,1.18,1491000000.0,1061000000.0,550000000.0,1857000000.0,7748000000.0,6937000000.0,17206000000.0,28295000000.0,45501000000.0,406000000.0,12705000000.0,6463000000.0,14378000000.0,27083000000.0,18418000000.0,430000000.0,1549000000.0,-577000000.0,-860000000.0,-111000000.0,-522000000.0,41.58
2013-06-30,34034000000.0,31523000000.0,2511000000.0,1301000000.0,805000000.0,466000000.0,0.86,1210000000.0,805000000.0,543000000.0,2398000000.0,7542000000.0,6446000000.0,16768000000.0,27409000000.0,44177000000.0,303000000.0,12035000000.0,6261000000.0,14117000000.0,26152000000.0,18025000000.0,405000000.0,1265000000.0,-634000000.0,-823000000.0,-109000000.0,109000000.0,34.77
2013-09-30,36137000000.0,33931000000.0,2206000000.0,1226000000.0,532000000.0,312000000.0,0.58,980000000.0,532000000.0,540000000.0,1908000000.0,9234000000.0,7063000000.0,18593000000.0,27700000000.0,46293000000.0,303000000.0,13668000000.0,6261000000.0,14238000000.0,27906000000.0,18387000000.0,448000000.0,221000000.0,-479000000.0,-590000000.0,-122000000.0,-145000000.0,34.15
2013-12-31,34429000000.0,31177000000.0,3252000000.0,1256000000.0,1559000000.0,1288000000.0,2.39,1996000000.0,1559000000.0,542000000.0,4292000000.0,8823000000.0,5758000000.0,19277000000.0,27983000000.0,47260000000.0,303000000.0,13123000000.0,6261000000.0,14191000000.0,27314000000.0,19946000000.0,437000000.0,2529000000.0,-431000000.0,-539000000.0,-120000000.0,395000000.0,50.4
2014-03-31,33663000000.0,30630000000.0,3033000000.0,1261000000.0,1351000000.0,828000000.0,1.55,1772000000.0,1351000000.0,531000000.0,3647000000.0,7887000000.0,7106000000.0,19030000000.0,28069000000.0,47099000000.0,704000000.0,12926000000.0,5860000000.0,13765000000.0,26691000000.0,20408000000.0,421000000.0,244000000.0,-388000000.0,-558000000.0,-133000000.0,-312000000.0,53.1
2014-06-30,34914000000.0,32167000000.0,2747000000.0,1248000000.0,1085000000.0,588000000.0,1.11,1499000000.0,1085000000.0,529000000.0,3480000000.0,8045000000.0,6526000000.0,18450000000.0,28563000000.0,47013000000.0,601000000.0,12523000000.0,5784000000.0,13770000000.0,26293000000.0,20720000000.0,414000000.0,1134000000.0,-566000000.0,-808000000.0,-133000000.0,-515000000.0,50.1
2014-09-30,34408000000.0,31023000000.0,3385000000.0,1285000000.0,1670000000.0,1059000000.0,2.01,2100000000.0,1670000000.0,526000000.0,4191000000.0,8254000000.0,6860000000.0,19666000000.0,28789000000.0,48455000000.0,600000000.0,13460000000.0,5783000000.0,13933000000.0,27393000000.0,21062000000.0,430000000.0,1866000000.0,-499000000.0,-620000000.0,-145000000.0,-489000000.0,46.27
2014-12-31,27859000000.0,24321000000.0,3538000000.0,1317000000.0,1796000000.0,1155000000.0,2.22,2221000000.0,1796000000.0,526000000.0,3689000000.0,5976000000.0,6623000000.0,16614000000.0,28936000000.0,45550000000.0,606000000.0,9980000000.0,5780000000.0,14326000000.0,24306000000.0,21244000000.0,425000000.0,997000000.0,-700000000.0,-858000000.0,-143000000.0,-614000000.0,49.5
2015-03-31,21330000000.0,18163000000.0,3167000000.0,1231000000.0,1495000000.0,964000000.0,1.87,1936000000.0,1495000000.0,513000000.0,4870000000.0,4977000000.0,6666000000.0,16788000000.0,28953000000.0,45741000000.0,200000000.0,8634000000.0,7224000000.0,15765000000.0,24399000000.0,21342000000.0,441000000.0,1433000000.0,-458000000.0,-713000000.0,-206000000.0,526000000.0,63.62
2015-06-30,25118000000.0,21394000000.0,3724000000.0,1221000000.0,2078000000.0,1351000000.0,2.67,2503000000.0,2078000000.0,505000000.0,5764000000.0,5812000000.0,6618000000.0,18492000000.0,29107000000.0,47599000000.0,150000000.0,9865000000.0,7199000000.0,15728000000.0,25593000000.0,22006000000.0,425000000.0,2329000000.0,-370000000.0,-501000000.0,-203000000.0,-958000000.0,62.6
