,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,376697000.0,143632000.0,233065000.0,56322000.0,145528000.0,80511000.0,0.48,178637000.0,145528000.0,168079000.0,272499000.0,205997000.0,552543000.0,1963804000.0,2516347000.0,183979000.0,650422000.0,1266467000.0,1513401000.0,2163823000.0,352524000.0,33109000.0,191257000.0,-28065000.0,-27608000.0,0.0,14296000.0,61.62
2013-06-30,390356000.0,152429000.0,237927000.0,58198000.0,146857000.0,84205000.0,0.5,181544000.0,146857000.0,168147000.0,176841000.0,240562000.0,493609000.0,1945742000.0,2439351000.0,137870000.0,585136000.0,1266910000.0,1488710000.0,2073846000.0,365505000.0,34687000.0,55434000.0,-35440000.0,-35390000.0,0.0,-114540000.0,59.7
2013-09-30,411927000.0,156306000.0,255621000.0,56783000.0,166835000.0,96441000.0,0.5700000000000001,200612000.0,166835000.0,168044000.0,184717000.0,209958000.0,461330000.0,1968542000.0,2429872000.0,39459000.0,456638000.0,1271170000.0,1490232000.0,1946870000.0,483002000.0,33777000.0,139761000.0,-44410000.0,-44359000.0,0.0,-88061000.0,64.96
2013-12-31,416723100.0,170156000.0,246567000.0,57679000.0,155047100.0,87223000.0,0.52,190765100.0,155047100.0,168031000.0,169712000.0,225893000.0,474845000.0,2029606000.0,2504451000.0,4448000.0,431179000.0,1271439000.0,1525683000.0,1956862000.0,547589000.0,35718000.0,120468000.0,-38061000.0,-38269000.0,0.0,-96167000.0,65.72
2014-03-31,409643000.0,169673000.0,239970000.0,57134000.0,148843000.0,115558000.0,0.6900000000000001,184603000.0,148843000.0,166982000.0,431294000.0,180950000.0,679204000.0,1960800000.0,2640004000.0,4317000.0,515640000.0,1270992000.0,1524838000.0,2040478000.0,599526000.0,35760000.0,232828000.0,-36144000.0,109865000.0,0.0,-81625000.0,59.96
2014-06-30,423554000.0,172470000.0,251084000.0,57074000.0,159066000.0,88099000.0,0.53,194671000.0,159066000.0,166344000.0,423285000.0,206473000.0,704563000.0,1970714000.0,2675277000.0,139781000.0,608743000.0,1135645000.0,1390249000.0,1998992000.0,676285000.0,35605000.0,54007000.0,-39620000.0,-39381000.0,0.0,-22807000.0,60.02
2014-09-30,448665000.0,180873000.0,267792000.0,56164000.0,175490000.0,99015000.0,0.6000000000000001,212295000.0,175490000.0,166188000.0,436220000.0,218823000.0,705652000.0,1972048000.0,2677700000.0,140455000.0,561340000.0,1136205000.0,1390376000.0,1951716000.0,725984000.0,36805000.0,91800000.0,-27228000.0,-31009000.0,0.0,-47202000.0,60.89
2014-12-31,149238000.0,-7016000.0,156254000.0,16928000.0,148901000.0,97328000.0,0.59,186831000.0,148901000.0,165824000.0,43160000.0,286180000.0,384483000.0,1960847000.0,2345330000.0,336058000.0,771270000.0,1100874000.0,1363017000.0,2134287000.0,211043000.0,37930000.0,110765000.0,-43808000.0,-74975000.0,0.0,-427466000.0,64.05
2015-03-31,384293000.0,133784000.0,250509000.0,49714000.0,173952000.0,98686000.0,0.62,213730000.0,173952000.0,158088000.0,156702000.0,239430000.0,453993000.0,1950506000.0,2404499000.0,205878000.0,709770000.0,1100358000.0,1363007000.0,2072777000.0,331722000.0,39778000.0,270990000.0,-24760000.0,-25225000.0,0.0,-132057000.0,71.4
2015-06-30,428599000.0,154639000.0,273960000.0,82336000.0,146043000.0,163320000.0,0.99,212922000.0,146043000.0,164142000.0,149216000.0,332561000.0,609987000.0,5165676000.0,5775663000.0,1025797000.0,1710053000.0,2293864000.0,2821288000.0,4531341000.0,1244322000.0,66879000.0,84511000.0,-35332000.0,-2840033000.0,0.0,2735421000.0,72.76
2015-09-30,470408000.0,162874000.0,307534000.0,70642000.0,197148000.0,131814000.0,0.78,250328000.0,197148000.0,168739000.0,172455000.0,311209000.0,617762000.0,5001335000.0,5619097000.0,905473000.0,1540758000.0,2292892000.0,2764703000.0,4305461000.0,1313636000.0,53180000.0,164543000.0,-45673000.0,-29944000.0,0.0,-100129000.0,73.91
2015-12-31,560562000.0,213695000.0,346867000.0,83782000.0,195668000.0,113757000.0,0.67,264131000.0,195668000.0,169392000.0,141900000.0,299600000.0,604600000.0,4989100000.0,5593700000.0,874800000.0,1479300000.0,2270900000.0,2742400000.0,4221700000.0,1372000000.0,68463000.0,143756000.0,-60335000.0,-111098000.0,0.0,-62335000.0,76.88
2016-03-31,492700000.0,173300000.0,319400000.0,71000000.0,192600000.0,92600000.0,0.55,262400000.0,192600000.0,168454000.0,135290000.0,305873000.0,586783000.0,4872364000.0,5459147000.0,709143000.0,1416879000.0,2271879000.0,2751803000.0,4168682000.0,1290465000.0,69800000.0,303900000.0,-30800000.0,-31300000.0,0.0,-277800000.0,79.92
2016-06-30,498300000.0,178400000.0,319900000.0,75600000.0,191200000.0,261800000.0,1.56,245800000.0,191200000.0,168296000.0,199774000.0,247074000.0,496917000.0,4228146000.0,4725063000.0,2256000.0,615166000.0,2273032000.0,2660033000.0,3275199000.0,1449864000.0,54600000.0,81200000.0,-31400000.0,681900000.0,0.0,-698700000.0,81.08
2016-09-30,498100000.0,169700000.0,328400000.0,77800000.0,198400000.0,127600000.0,0.76,252000000.0,198400000.0,168874000.0,168244000.0,241175000.0,464301000.0,4220750000.0,4685051000.0,6899000.0,556490000.0,2279443000.0,2653131000.0,3209621000.0,1475430000.0,53600000.0,99300000.0,-36400000.0,-71300000.0,0.0,-51400000.0,81.28
2016-12-31,506100000.0,193000000.0,313100000.0,77200000.0,185400100.0,109200000.0,0.65,237000100.0,185400000.0,168248000.0,138500000.0,313200000.0,500900000.0,4130300000.0,4631200000.0,106800000.0,621600000.0,2280200000.0,2677200000.0,3298800000.0,1332400000.0,51600000.0,93100000.0,-57900000.0,-86100000.0,0.0,-36300000.0,81.17
2017-03-31,502600000.0,182900000.0,319700000.0,75900000.0,187700000.0,108800000.0,0.65,244900000.0,187700000.0,166443000.0,158600000.0,302000000.0,513800000.0,4234900000.0,4748700000.0,6600000.0,672400000.0,2281000000.0,2690700000.0,3363100000.0,1385600000.0,57200000.0,317900000.0,-31100000.0,-107400000.0,0.0,-192300000.0,81.14
2017-06-30,523200000.0,193700000.0,329500000.0,78800000.0,195000000.0,121000000.0,0.73,251700000.0,195000000.0,164922000.0,144300000.0,318500000.0,522800000.0,4375900000.0,4898700000.0,126800000.0,737200000.0,2276600000.0,2695600000.0,3432800000.0,1465900000.0,56700000.0,111900000.0,-41400000.0,-87300000.0,0.0,-40500000.0,84.37
2017-09-30,549100000.0,198500000.0,350600000.0,80900000.0,208400000.0,120700000.0,0.73,270600000.0,208400000.0,164578000.0,145700000.0,320100000.0,544700000.0,5083500000.0,5628200000.0,602900000.0,1203100000.0,2278800000.0,2752500000.0,3955600000.0,1672600000.0,62200000.0,162300000.0,-41300000.0,-629200000.0,0.0,467100000.0,83.19
2017-12-31,570299900.0,208700000.0,361599900.0,87200000.0,210099900.0,204600000.0,1.24,275599900.0,210099900.0,165168000.0,142300000.0,374300000.0,597600000.0,5422700000.0,6020300000.0,724400000.0,1337600000.0,2284400000.0,2757300000.0,4094900000.0,1925400000.0,65500000.0,151400000.0,-69700000.0,-281600000.0,0.0,128200000.0,96.0
2018-03-31,581200000.0,221200000.0,360000000.0,91800000.0,194500000.0,133000000.0,0.81,269200000.0,194500000.0,165043000.0,153600000.0,432200000.0,708600000.0,5538300000.0,6246900000.0,740900000.0,1558100000.0,2041100000.0,2504500000.0,4062600000.0,2184300000.0,74700000.0,327000000.0,-43200000.0,-68500000.0,0.0,-254200000.0,104.0
2018-06-30,601300000.0,222400000.0,378900000.0,93000000.0,212300000.0,153500000.0,0.93,286900000.0,212300000.0,165016000.0,135800000.0,370200000.0,625100000.0,5414500000.0,6039600000.0,736900000.0,1466300000.0,2044200000.0,2499700000.0,3966000000.0,2073600000.0,74600000.0,207200000.0,-56100000.0,-101500000.0,0.0,-122900000.0,107.64
2018-09-30,598700000.0,219200000.0,379500000.0,95700000.0,211100000.0,166000000.0,1.01,285000100.0,211100000.0,164829000.0,151600000.0,336100000.0,593700000.0,5257400000.0,5851100000.0,542300000.0,1219200000.0,2044900000.0,2490700000.0,3709900000.0,2141200000.0,73900000.0,226800000.0,-55200000.0,66200000.0,0.0,-271400000.0,120.55
