,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1631500000.0,938000000.0,693500000.0,351400000.0,213799900.0,106900000.0,0.27,342699900.0,213799900.0,393200000.0,294421000.0,1514480000.0,1623246000.0,3950394000.0,7934639000.0,11885030000.0,590223000.0,2282370000.0,6449998000.0,6715470000.0,8997840000.0,2887192000.0,128900000.0,87600000.0,-53100000.0,-142300000.0,0.0,6600000.0,28.96
2013-06-30,1701700000.0,959300000.0,742400000.0,315400000.0,308700000.0,177700000.0,0.47000000000000003,426800000.0,308700000.0,381200000.0,277379000.0,1651389000.0,1637373000.0,4212299000.0,7999412000.0,12211710000.0,408088000.0,2326332000.0,6662269000.0,6940063000.0,9266395000.0,2945316000.0,118100000.0,186400000.0,-72600000.0,-88900000.0,0.0,-114300000.0,31.03
2013-09-30,1767400000.0,958900000.0,808500000.0,349800000.0,339800000.0,158900000.0,0.42,466700000.0,339800000.0,382100000.0,364920000.0,1717281000.0,1645806000.0,4343167000.0,8558406000.0,12901570000.0,526396000.0,2561423000.0,6804502000.0,7107477000.0,9668900000.0,3232674000.0,126900000.0,414700000.0,-112800000.0,-132000000.0,0.0,-208300000.0,38.17
2013-12-31,1808500000.0,1012600000.0,795900400.0,391899900.0,273200300.0,180200000.0,0.48,415300300.0,273200100.0,383300000.0,291300000.0,1820000000.0,1656900000.0,4471200000.0,10823600000.0,15294800000.0,443400000.0,2964000000.0,8855600000.0,9370899000.0,12334900000.0,2959900000.0,142100000.0,417900000.0,-70800000.0,-1505600000.0,0.0,1008900000.0,43.4
2014-03-31,1715600000.0,977800000.0,737800000.0,377700000.0,239000000.0,115900000.0,0.31,374200000.0,239000000.0,372300000.0,243000000.0,1678600000.0,1737900000.0,4342200000.0,11012800000.0,15355000000.0,423800000.0,2649300000.0,9045400000.0,9514000000.0,12163300000.0,3191700000.0,135200000.0,268100000.0,-72300000.0,-201200000.0,0.0,-114600000.0,48.83
2014-06-30,1837300000.0,1028500000.0,808800000.0,404100000.0,226100100.0,125200000.0,0.33,355300100.0,226100100.0,373800000.0,193900000.0,1761600000.0,1791100000.0,4477100000.0,11125700000.0,15602800000.0,306000000.0,2601300000.0,9220200000.0,9648800000.0,12250100000.0,3352700000.0,129200000.0,179400000.0,-76000000.0,-118100000.0,0.0,-112900000.0,51.56
2014-09-30,2084000000.0,1071600000.0,1012400000.0,418300000.0,495000100.0,499100000.0,1.33,628700100.0,495000100.0,374100000.0,199600000.0,1733300000.0,1707500000.0,5817800000.0,9356300000.0,15174100000.0,2357300000.0,4473900000.0,6997800000.0,7293900000.0,11767800000.0,3406300000.0,133700000.0,440700000.0,-63200000.0,-397600000.0,0.0,-26200000.0,45.49
2014-12-31,2082700000.0,1113700000.0,969000200.0,425599900.0,392500600.0,189200000.0,0.51,561000600.0,392500400.0,373700000.0,225500000.0,2268500000.0,1651400000.0,6441200000.0,9379301000.0,15820500000.0,2803600000.0,5304000000.0,7036600000.0,7240500000.0,12544500000.0,3276000000.0,168500000.0,126600000.0,-113800000.0,-83400000.0,0.0,-13700000.0,56.37
2015-03-31,1871700000.0,1041600000.0,830100000.0,483200000.0,159300000.0,56600000.0,0.14,334300000.0,159300000.0,418000000.0,277200000.0,2264600000.0,1908300000.0,7426400000.0,14697400000.0,22123800000.0,2780600000.0,5288000000.0,7128800000.0,7742600000.0,13030600000.0,9093200000.0,175000000.0,267000000.0,-48100000.0,-87500000.0,0.0,-109000000.0,59.35
2015-06-30,2371700000.0,1363600000.0,1008100000.0,564200000.0,276599900.0,167800000.0,0.34,535299900.0,276599900.0,490100000.0,439700000.0,2861200000.0,1934300000.0,7891400000.0,14903200000.0,22794600000.0,2599700000.0,5369400000.0,7272300000.0,7855900000.0,13225300000.0,9569300000.0,258700000.0,114700000.0,-73900000.0,-180300000.0,0.0,222400000.0,67.86
