,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,615510000.0,432622000.0,182888000.0,64300000.0,103667000.0,69265000.0,0.73,114837000.0,103667000.0,95025000.0,225338000.0,432797000.0,428584000.0,1168986000.0,1337189000.0,2506175000.0,43000.0,560981000.0,417527000.0,613926000.0,1174907000.0,1331268000.0,11170000.0,32040000.0,-5730000.0,-120801000.0,-2386000.0,100167000.0,51.06
2013-06-30,638002000.0,445121000.0,192881000.0,63874000.0,112554000.0,74338000.0,0.78,126403000.0,112554000.0,95762000.0,214505000.0,488449000.0,405938000.0,1189985000.0,1326405000.0,2516390000.0,43000.0,524272000.0,396915000.0,586412000.0,1110684000.0,1405706000.0,13849000.0,13056000.0,-3046000.0,-3046000.0,-2410000.0,-19096000.0,53.43
2013-09-30,631398000.0,443265000.0,188133000.0,63402000.0,109871000.0,73943000.0,0.77,121987000.0,109871000.0,95848000.0,281007000.0,570276000.0,400295000.0,1344434000.0,1472546000.0,2816980000.0,85000.0,541758000.0,539606000.0,758173000.0,1299931000.0,1517049000.0,12116000.0,39900000.0,-8651000.0,-115638000.0,-4004000.0,138003000.0,62.87
2013-12-31,681482200.0,481357000.0,200125200.0,71142000.0,111218100.0,74689000.0,0.77,125276100.0,111218000.0,95463000.0,285760000.0,554503000.0,403229000.0,1333047000.0,1488950000.0,2821997000.0,421000.0,579400000.0,450288000.0,655430000.0,1234830000.0,1587167000.0,14058000.0,150657000.0,-17811000.0,-19207000.0,-3844000.0,-126060000.0,74.27
2014-03-31,695249000.0,485680000.0,209569000.0,70081000.0,121846000.0,79734000.0,0.84,135424000.0,121846000.0,95529000.0,295103000.0,636654000.0,420058000.0,1434178000.0,1482341000.0,2916519000.0,386000.0,580905000.0,450247000.0,655226000.0,1236131000.0,1680388000.0,13578000.0,26215000.0,-4928000.0,-4928000.0,-3828000.0,-8954000.0,77.5
2014-06-30,731068000.0,506410000.0,224658000.0,72982000.0,132323000.0,88352000.0,0.92,146607000.0,132323000.0,96048000.0,225907000.0,717050000.0,481507000.0,1526851000.0,1637017000.0,3163868000.0,681000.0,668416000.0,500219000.0,729760000.0,1398176000.0,1765692000.0,14284000.0,111444000.0,-13212000.0,-212629000.0,-3863000.0,33539000.0,82.59
2014-09-30,797271000.0,549813000.0,247458000.0,88359000.0,135977000.0,89797000.0,0.9400000000000001,153092000.0,135977000.0,95935000.0,212541000.0,715108000.0,489053000.0,1533808000.0,1694579000.0,3228387000.0,955000.0,674748000.0,521087000.0,764030000.0,1438778000.0,1789609000.0,17115000.0,92505000.0,-12497000.0,-112741000.0,-5780000.0,6976000.0,81.04
2014-12-31,820866100.0,566568900.0,254297200.0,93117000.0,136963100.0,93797000.0,0.96,153247100.0,136963100.0,95781000.0,425849000.0,631226000.0,510949000.0,1637864000.0,1665977000.0,3303841000.0,792000.0,738802000.0,520403000.0,756741000.0,1495543000.0,1808298000.0,16284000.0,242221000.0,-16604000.0,-17380000.0,-5775000.0,-6055000.0,86.89
2015-03-31,818594000.0,563239000.0,255355000.0,84771000.0,148420000.0,96164000.0,1.0,163989000.0,148420000.0,96243000.0,249135000.0,665669000.0,515945000.0,1503933000.0,1663574000.0,3167507000.0,579000.0,695769000.0,420406000.0,654384000.0,1350153000.0,1817354000.0,15569000.0,43661000.0,-8320000.0,-84033000.0,-5780000.0,-119781000.0,95.01
2015-06-30,847028000.0,579264000.0,267764000.0,88992000.0,155860000.0,101504000.0,1.05,171903000.0,155860000.0,96338000.0,264844000.0,680269000.0,535002000.0,1579966000.0,1718157000.0,3298123000.0,478000.0,699527000.0,400348000.0,642264000.0,1341791000.0,1956332000.0,16043000.0,67265000.0,-12362000.0,-36757000.0,-5800000.0,-23856000.0,94.24
