,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,430338000.0,174568000.0,255770000.0,118660000.0,109405000.0,121059000.0,1.4100000000000001,127667000.0,109405000.0,86049000.0,1589854000.0,377412000.0,235883000.0,2287681000.0,919636000.0,3207317000.0,0.0,476866000.0,1100000000.0,1253951000.0,1730817000.0,1476500000.0,18262000.0,127798000.0,-30637000.0,-90453000.0,0.0,-34581000.0,93.91
2013-06-30,451115000.0,188329000.0,262786000.0,123062000.0,112692000.0,89314000.0,1.04,132114000.0,112692000.0,85482000.0,1649722000.0,365222000.0,242641000.0,2344278000.0,941250900.0,3285529000.0,0.0,474953000.0,1135000000.0,1290464000.0,1765417000.0,1520112000.0,19422000.0,109022000.0,-30639000.0,-107510000.0,0.0,-18495000.0,100.05
2013-09-30,457317000.0,191568000.0,265749000.0,120563000.0,119069000.0,98048000.0,1.15,139640000.0,119069000.0,85185000.0,1699107000.0,373844000.0,256980000.0,2429082000.0,996237000.0,3425319000.0,0.0,492904000.0,1160000000.0,1313781000.0,1806685000.0,1618634000.0,20571000.0,104765000.0,-31540000.0,-131403000.0,0.0,-8981000.0,106.21
2013-12-31,565448000.0,228991000.0,336457000.0,130680000.0,176177000.0,141582000.0,1.67,197617000.0,176177000.0,85426000.0,1803670000.0,430985000.0,242800000.0,2556255000.0,1026374000.0,3582629000.0,0.0,487532000.0,1190000000.0,1331924000.0,1819456000.0,1763173000.0,21440000.0,143291000.0,-25634000.0,-135363000.0,0.0,-2531000.0,100.0
2014-03-31,430508000.0,187719000.0,242789000.0,126635000.0,88761000.0,70302000.0,0.8300000000000001,109103000.0,88761000.0,84977000.0,1853195000.0,401406000.0,266629000.0,2607709000.0,1042026000.0,3649735000.0,0.0,584448000.0,1100000000.0,1245915000.0,1830363000.0,1819372000.0,20342000.0,115755000.0,-21395000.0,-119949000.0,0.0,-40299000.0,108.41
2014-06-30,481801000.0,201853000.0,279948000.0,131930000.0,118395000.0,96529000.0,1.1400000000000001,139177000.0,118395000.0,84462000.0,1917560000.0,401919000.0,272764000.0,2680606000.0,1046924000.0,3727530000.0,0.0,594590000.0,1160000000.0,1289455000.0,1884045000.0,1843485000.0,20782000.0,106332000.0,-22756000.0,-53812000.0,0.0,-25374000.0,104.44
2014-09-30,493165000.0,202222000.0,290943000.0,122226000.0,138713000.0,113497000.0,1.3599999999999999,168139000.0,138713000.0,83663000.0,1946357000.0,393169000.0,269095000.0,2699410000.0,1052266000.0,3751676000.0,0.0,574479000.0,1205000000.0,1335377000.0,1909856000.0,1841820000.0,29426000.0,127839000.0,-26286000.0,-148663000.0,0.0,-39111000.0,99.12
2014-12-31,583869900.0,233119000.0,350750900.0,131916000.0,172039100.0,151292000.0,1.82,195720100.0,172039100.0,84358000.0,2055388000.0,433616000.0,246430000.0,2817044000.0,1057646000.0,3874690000.0,0.0,580486000.0,1237463000.0,1399538000.0,1980024000.0,1894666000.0,23681000.0,161722000.0,-19122000.0,-79606000.0,0.0,-2437000.0,112.72
2015-03-31,460404000.0,189246000.0,271158000.0,119751000.0,119982000.0,96061000.0,1.16,142531000.0,119982000.0,83025000.0,2109045000.0,394370000.0,257530000.0,2875973000.0,996753000.0,3872726000.0,0.0,538471000.0,1310000000.0,1472015000.0,2010486000.0,1862240000.0,22549000.0,154590000.0,-21410000.0,-56446000.0,0.0,-60274000.0,124.32
2015-06-30,494740000.0,208707000.0,286033000.0,122660000.0,130318000.0,105657000.0,1.28,152907000.0,130318000.0,82564000.0,2208893000.0,406583000.0,272932000.0,3006957000.0,1021887000.0,4028844000.0,0.0,546694000.0,1385000000.0,1549552000.0,2096246000.0,1932598000.0,22589000.0,112959000.0,-23883000.0,-208062000.0,0.0,11722000.0,128.38
2015-09-30,500578000.0,206804000.0,293774000.0,124655000.0,135843000.0,116281000.0,1.42,157600000.0,135843000.0,82036000.0,2310734000.0,416311000.0,281786000.0,3093847000.0,1027397000.0,4121244000.0,0.0,535954000.0,1455000000.0,1616734000.0,2152688000.0,1968556000.0,21757000.0,139093000.0,-21803000.0,-30001000.0,0.0,-9366000.0,118.21
2015-12-31,586610000.0,237915000.0,348695100.0,128681000.0,181308200.0,151054000.0,1.85,204400200.0,181308200.0,82336000.0,2399263000.0,468315000.0,263415000.0,3213533000.0,1055144000.0,4268677000.0,0.0,564076000.0,1493027000.0,1645750000.0,2209826000.0,2058851000.0,23092000.0,166606000.0,-27762000.0,-105230000.0,0.0,-24631000.0,134.58
