,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-02-28,18647000000.0,13040000000.0,5607000000.0,4497000000.0,1215000000.0,756000000.0,0.8,1627000000.0,1300000000.0,945400000.0,2431000000.0,2481000000.0,7253000000.0,12432000000.0,23132000000.0,35564000000.0,0.0,9025000000.0,5058000000.0,7566000000.0,16591000000.0,18973000000.0,327000000.0,1198000000.0,-245000000.0,-363000000.0,-260000000.0,-233000000.0,40.94
2013-05-31,18313000000.0,13091000000.0,5222000000.0,4362000000.0,991000000.0,624000000.0,0.66,1440000000.0,1122000000.0,947700000.0,2994000000.0,2418000000.0,6881000000.0,12571000000.0,23270000000.0,35841000000.0,0.0,9690000000.0,4501000000.0,7171000000.0,16861000000.0,18980000000.0,318000000.0,1379000000.0,-293000000.0,-333000000.0,-260000000.0,-483000000.0,47.76
2013-08-31,17941000000.0,12750000000.0,5191000000.0,4286000000.0,1181000000.0,755000000.0,0.6900000000000001,1782000000.0,1457000000.0,946000000.0,2106000000.0,2632000000.0,6852000000.0,11874000000.0,23607000000.0,35481000000.0,0.0,8883000000.0,4477000000.0,7144000000.0,16027000000.0,19454000000.0,325000000.0,1123000000.0,-223000000.0,-491000000.0,-260000000.0,-1520000000.0,48.07
2013-11-30,18329000000.0,13177000000.0,5152000000.0,4379000000.0,924000000.0,695000000.0,0.73,1407000000.0,1075000000.0,949300000.0,969000000.0,2727000000.0,7729000000.0,11722000000.0,24759000000.0,36481000000.0,0.0,8821000000.0,4501000000.0,7604000000.0,16425000000.0,20056000000.0,332000000.0,133000000.0,-364000000.0,-925000000.0,-298000000.0,-345000000.0,59.2
2014-02-28,19605000000.0,13955000000.0,5650000000.0,4569000000.0,1217000000.0,716000000.0,0.79,1684000000.0,1353000000.0,951900000.0,1777000000.0,2774000000.0,7213000000.0,12036000000.0,25045000000.0,37081000000.0,0.0,8499000000.0,4489000000.0,7749000000.0,16248000000.0,20833000000.0,331000000.0,1104000000.0,-227000000.0,-243000000.0,-299000000.0,-53000000.0,67.95
2014-05-31,19401000000.0,13961000000.0,5440000000.0,4551000000.0,1024000000.0,714000000.0,0.76,1497000000.0,1159000000.0,955300000.0,2126000000.0,3029000000.0,6439000000.0,11928000000.0,25463000000.0,37391000000.0,0.0,8409000000.0,3747000000.0,7497000000.0,15906000000.0,21485000000.0,338000000.0,1272000000.0,-86000000.0,-377000000.0,-301000000.0,-546000000.0,71.91
2014-08-31,19057000000.0,13730000000.0,5327000000.0,4493000000.0,1029000000.0,-193000000.0,-0.25,1539000000.0,1224000000.0,953100000.0,2646000000.0,3218000000.0,6076000000.0,12242000000.0,25008000000.0,37250000000.0,0.0,8895000000.0,3716000000.0,7738000000.0,16633000000.0,20617000000.0,315000000.0,1384000000.0,-362000000.0,-186000000.0,-301000000.0,-678000000.0,60.52
2014-11-30,19554000000.0,14258000000.0,5296000000.0,4456000000.0,1054000000.0,850000000.0,0.86,1587000000.0,1268000000.0,945800000.0,12861000000.0,3579000000.0,6518000000.0,23280000000.0,25332000000.0,48612000000.0,0.0,9877000000.0,13756000000.0,17968000000.0,27845000000.0,20767000000.0,319000000.0,1031000000.0,-44000000.0,-55000000.0,-322000000.0,9249000000.0,68.61
2015-02-28,26573000000.0,19691000000.0,6882000000.0,5606000000.0,1377000000.0,2042000000.0,1.96,1985000000.0,1478000000.0,1043600000.0,3005000000.0,7017000000.0,9379000000.0,20715000000.0,50642000000.0,71357000000.0,0.0,16690000000.0,16001000000.0,23641000000.0,40331000000.0,31026000000.0,507000000.0,1306000000.0,-37000000.0,-4653000000.0,-320000000.0,-6420000000.0,83.08
2015-05-31,28795000000.0,21314000000.0,7481000000.0,6080000000.0,1401000000.0,1302000000.0,1.19,1839000000.0,1401000000.0,1091400000.0,4449000000.0,6899000000.0,8764000000.0,21029000000.0,49615000000.0,70644000000.0,0.0,16157000000.0,15055000000.0,22558000000.0,38715000000.0,31929000000.0,438000000.0,1822000000.0,58000000.0,824000000.0,-371000000.0,-1207000000.0,85.84
