,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1156000000.0,342000000.0,814000000.0,365000000.0,416000000.0,231000000.0,0.64,684000000.0,416000000.0,363000000.0,2360000000.0,1148000000.0,0.0,4013000000.0,10408000000.0,14421000000.0,22000000.0,1101000000.0,6407000000.0,7078000000.0,8179000000.0,6242000000.0,268000000.0,131000000.0,-26000000.0,-150000000.0,0.0,1182000000.0,40.24
2013-06-30,1467000000.0,437000000.0,1030000000.0,394000000.0,549000000.0,297000000.0,0.8300000000000001,943000000.0,549000000.0,359000000.0,375000000.0,1332000000.0,0.0,2265000000.0,12422000000.0,14687000000.0,23000000.0,1002000000.0,6455000000.0,7412000000.0,8414000000.0,6273000000.0,394000000.0,339000000.0,-28000000.0,-1814000000.0,0.0,-502000000.0,39.47
2013-09-30,1375000000.0,435000000.0,940000000.0,390000000.0,488000000.0,255000000.0,0.72,880000000.0,488000000.0,483000000.0,439000000.0,1344000000.0,0.0,2364000000.0,12503000000.0,14867000000.0,23000000.0,1135000000.0,6485000000.0,7507000000.0,8642000000.0,6225000000.0,392000000.0,460000000.0,-22000000.0,23000000.0,0.0,-426000000.0,43.14
2013-12-31,1537000000.0,475000000.0,1062000000.0,449000000.0,522000000.0,292000000.0,0.8200000000000001,934000000.0,522000000.0,484000000.0,408000000.0,1371000000.0,0.0,2410000000.0,12569000000.0,14979000000.0,17000000.0,1294000000.0,6482000000.0,7488000000.0,8782000000.0,6197000000.0,412000000.0,355000000.0,-39000000.0,-46000000.0,0.0,-339000000.0,46.2
2014-03-31,1411000000.0,482000000.0,929000000.0,409000000.0,434000000.0,184000000.0,0.66,869000000.0,434000000.0,468000000.0,757000000.0,1341000000.0,0.0,2740000000.0,12571000000.0,15311000000.0,18000000.0,1253000000.0,6900000000.0,7877000000.0,9130000000.0,6181000000.0,435000000.0,241000000.0,-28000000.0,-28000000.0,0.0,140000000.0,42.26
2014-06-30,1610000000.0,515000000.0,1095000000.0,406000000.0,640000000.0,299000000.0,1.1,1068000000.0,640000000.0,457000000.0,372000000.0,1525000000.0,0.0,2571000000.0,13534000000.0,16105000000.0,1029000000.0,2360000000.0,6045000000.0,7711000000.0,10071000000.0,6034000000.0,428000000.0,232000000.0,-30000000.0,-275000000.0,-2000000.0,-341000000.0,37.96
2014-09-30,1568000000.0,529000000.0,1039000000.0,432000000.0,511000000.0,222000000.0,0.41000000000000003,974000000.0,511000000.0,449000000.0,376000000.0,1464000000.0,0.0,2584000000.0,13789000000.0,16373000000.0,995000000.0,2548000000.0,6153000000.0,7940000000.0,10488000000.0,5885000000.0,463000000.0,420000000.0,-27000000.0,-226000000.0,0.0,-168000000.0,37.8
2014-12-31,1676000000.0,598000000.0,1078000000.0,445000000.0,476000000.0,434000000.0,0.38,1036000000.0,476000000.0,454000000.0,367000000.0,1433000000.0,0.0,2491000000.0,13479000000.0,15970000000.0,1107000000.0,2604000000.0,6002000000.0,7762000000.0,10366000000.0,5604000000.0,560000000.0,425000000.0,-35000000.0,-39000000.0,0.0,-365000000.0,34.45
2015-03-31,1537000000.0,565000000.0,972000000.0,400000000.0,482000000.0,197000000.0,0.38,970000000.0,482000000.0,439000000.0,321000000.0,1431000000.0,0.0,2469000000.0,13313000000.0,15782000000.0,453000000.0,1765000000.0,7036000000.0,8726000000.0,10491000000.0,5291000000.0,488000000.0,63000000.0,-34000000.0,-78000000.0,0.0,12000000.0,30.76
2015-06-30,1654000000.0,564000000.0,1090000000.0,430000000.0,557000000.0,286000000.0,0.44,1058000000.0,557000000.0,432000000.0,232000000.0,1505000000.0,0.0,2468000000.0,13261000000.0,15729000000.0,349000000.0,1712000000.0,6856000000.0,8531000000.0,10243000000.0,5486000000.0,501000000.0,331000000.0,-18000000.0,52000000.0,-36000000.0,-499000000.0,33.26
