,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3764000000.0,2703000000.0,1061000000.0,185000000.0,417000000.0,391000000.0,1.6400000000000001,726000000.0,417000000.0,239000000.0,4060000000.0,1700000000.0,1197000000.0,7340000000.0,6587000000.0,13927000000.0,230000000.0,3226000000.0,1783000000.0,2278000000.0,5504000000.0,8423000000.0,309000000.0,727000000.0,-188000000.0,-164000000.0,0.0,-319000000.0,50.29
2013-06-30,3728000000.0,2678000000.0,1050000000.0,180000000.0,-221000000.0,-265000000.0,1.76,81000000.0,-221000000.0,241000000.0,4309000000.0,1793000000.0,1188000000.0,7598000000.0,6438000000.0,14036000000.0,230000000.0,3973000000.0,1725000000.0,2170000000.0,6143000000.0,7893000000.0,302000000.0,684000000.0,-136000000.0,-136000000.0,-60000000.0,-299000000.0,62.09
2013-09-30,3804000000.0,2705000000.0,1099000000.0,132000000.0,542000000.0,495000000.0,2.1,854000000.0,542000000.0,236000000.0,4869000000.0,1791000000.0,1244000000.0,8261000000.0,6545000000.0,14806000000.0,730000000.0,4427000000.0,1668000000.0,2126000000.0,6553000000.0,8253000000.0,312000000.0,680000000.0,-136000000.0,-360000000.0,-59000000.0,240000000.0,63.4
2013-12-31,3972000000.0,2816000000.0,1156000000.0,226000000.0,478000000.0,430000000.0,1.82,795000000.0,478000000.0,236000000.0,4655000000.0,1959000000.0,1293000000.0,8288000000.0,6994000000.0,15282000000.0,730000000.0,4620000000.0,1610000000.0,2083000000.0,6703000000.0,8579000000.0,317000000.0,726000000.0,-170000000.0,-765000000.0,-59000000.0,-175000000.0,83.9
2014-03-31,3703000000.0,2627000000.0,1076000000.0,201000000.0,419000000.0,375000000.0,1.6,726000000.0,419000000.0,235000000.0,4865000000.0,1802000000.0,1277000000.0,8306000000.0,7026000000.0,15332000000.0,125000000.0,3747000000.0,2344000000.0,2817000000.0,6564000000.0,8768000000.0,307000000.0,698000000.0,-161000000.0,-631000000.0,-71000000.0,-153000000.0,91.82
2014-06-30,3651000000.0,2622000000.0,1029000000.0,254000000.0,352000000.0,317000000.0,1.35,660000000.0,352000000.0,235000000.0,5088000000.0,1989000000.0,1226000000.0,8720000000.0,6779000000.0,15499000000.0,125000000.0,3845000000.0,2313000000.0,2812000000.0,6657000000.0,8842000000.0,308000000.0,712000000.0,-161000000.0,-180000000.0,-70000000.0,-297000000.0,92.3
2014-09-30,3943000000.0,2794000000.0,1149000000.0,220000000.0,469000000.0,423000000.0,1.81,758000000.0,469000000.0,234000000.0,5381000000.0,1915000000.0,1272000000.0,8990000000.0,6662000000.0,15652000000.0,125000000.0,3918000000.0,2281000000.0,2771000000.0,6689000000.0,8963000000.0,289000000.0,827000000.0,6000000.0,-126000000.0,-94000000.0,-346000000.0,97.32
2014-12-31,3888000000.0,2778000000.0,1110000000.0,164000000.0,466000000.0,438000000.0,1.97,756000000.0,466000000.0,233000000.0,5143000000.0,1880000000.0,1282000000.0,8660000000.0,6479000000.0,15139000000.0,125000000.0,3289000000.0,2250000000.0,2768000000.0,6057000000.0,9082000000.0,290000000.0,243000000.0,-305000000.0,-128000000.0,-93000000.0,-372000000.0,110.7
2015-03-31,3550000000.0,2518000000.0,1032000000.0,199000000.0,421000000.0,384000000.0,1.6600000000000001,706000000.0,421000000.0,231000000.0,5040000000.0,1696000000.0,1322000000.0,8429000000.0,6747000000.0,15176000000.0,141000000.0,3218000000.0,2203000000.0,2732000000.0,5950000000.0,9226000000.0,285000000.0,684000000.0,-150000000.0,-458000000.0,-93000000.0,-316000000.0,91.01
2015-06-30,3191000000.0,2261000000.0,930000000.0,205000000.0,255000000.0,220000000.0,0.9500000000000001,505000000.0,255000000.0,232000000.0,5286000000.0,1532000000.0,1368000000.0,8513000000.0,6657000000.0,15170000000.0,407000000.0,3238000000.0,2149000000.0,2713000000.0,5951000000.0,9219000000.0,250000000.0,488000000.0,-163000000.0,-241000000.0,-116000000.0,-35000000.0,78.42
