,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1275200000.0,541100000.0,734100000.0,317600000.0,321000000.0,176600000.0,0.77,419200000.0,321000000.0,228900000.0,24700000.0,389000000.0,266800000.0,1313800000.0,12981500000.0,14295300000.0,730200000.0,1278100000.0,4441000000.0,8783201000.0,10061300000.0,4234000000.0,98200000.0,330300000.0,-133600000.0,-145300000.0,-77800000.0,-195900000.0,42.89
2013-06-30,1012300000.0,391300000.0,621000000.0,294800000.0,229500000.0,119000000.0,0.52,329000000.0,229500000.0,228400000.0,21000000.0,327300000.0,317900000.0,1271100000.0,13045900000.0,14317000000.0,750500000.0,1280700000.0,4383200000.0,8810501000.0,10091200000.0,4225800000.0,99500000.0,351200000.0,-173700000.0,-191300000.0,-77800000.0,-163600000.0,40.99
2013-09-30,1053200000.0,400700000.0,652499900.0,297600000.0,257999900.0,137500000.0,0.61,357899900.0,257999900.0,226800000.0,18500000.0,299000000.0,367600000.0,1238200000.0,13134600000.0,14372800000.0,732800000.0,1291200000.0,4370900000.0,8853101000.0,10144300000.0,4228500000.0,99900000.0,368800000.0,-190400000.0,-208200000.0,-86700000.0,-163100000.0,40.38
2013-12-31,1178300000.0,493999900.0,684300200.0,361700000.0,271599900.0,144300000.0,0.64,369999800.0,271600000.0,227600000.0,26000000.0,406000000.0,329400000.0,1551100000.0,13218300000.0,14769400000.0,879600000.0,1496400000.0,4363200000.0,9009602000.0,10506000000.0,4263400000.0,98400000.0,181900000.0,-225000000.0,-201000000.0,-86600000.0,26600000.0,41.34
2014-03-31,1695000000.0,910100000.0,784900000.0,306000000.0,381800000.0,207600000.0,0.92,485500100.0,381800000.0,225800000.0,27600000.0,605800000.0,234900000.0,1545000000.0,13255800000.0,14800800000.0,766000000.0,1424600000.0,4348800000.0,9023800000.0,10448400000.0,4352400000.0,103700000.0,385100000.0,-129200000.0,-139100000.0,-88100000.0,-244400000.0,46.55
2014-06-30,1043700000.0,418400000.0,625299900.0,286300000.0,240699900.0,133000000.0,0.59,343499900.0,240699900.0,225500000.0,33400000.0,404900000.0,304300000.0,1285500000.0,13334300000.0,14619800000.0,455200000.0,980800000.0,4587500000.0,9241500000.0,10222300000.0,4397500000.0,102800000.0,336200000.0,-176300000.0,-173800000.0,-87900000.0,-156600000.0,46.92
2014-09-30,1033300000.0,407400000.0,625900000.0,280000000.0,246100100.0,126300000.0,0.56,352500100.0,246100100.0,225500000.0,88700000.0,339000000.0,379300000.0,1274500000.0,13450400000.0,14724900000.0,523500000.0,1065600000.0,4569600000.0,9230601000.0,10296200000.0,4428700000.0,106400000.0,313300000.0,-207500000.0,-216000000.0,-88000000.0,-42000000.0,43.0
2014-12-31,1225100000.0,523499900.0,701600200.0,361900000.0,243500200.0,121400000.0,0.54,347600300.0,243500300.0,225600000.0,61900000.0,643400000.0,400600000.0,1292700000.0,13612300000.0,14905000000.0,1041700000.0,1668700000.0,4170700000.0,8786200000.0,10454900000.0,4450100000.0,104100000.0,164300000.0,-248200000.0,-227900000.0,-88000000.0,36800000.0,52.74
2015-03-31,1387900000.0,613900000.0,774000000.0,312600000.0,358800000.0,195800000.0,0.87,466100000.0,358800000.0,225500000.0,65200000.0,437300000.0,289700000.0,1326400000.0,13809200000.0,15135600000.0,989800000.0,1560300000.0,4169200000.0,9034300000.0,10594600000.0,4541000000.0,107300000.0,330000000.0,-153200000.0,-156300000.0,-95300000.0,-170400000.0,49.5
2015-06-30,991200000.0,353000000.0,638200000.0,368900000.0,165800000.0,80900000.0,0.36,273600000.0,165800000.0,227500000.0,214400000.0,667500000.0,562500000.0,2276800000.0,26337700000.0,28614500000.0,1434700000.0,2940300000.0,8547600000.0,17136000000.0,20076300000.0,8538200000.0,107800000.0,386500000.0,-214800000.0,-1522900000.0,-95200000.0,1285600000.0,44.97
