,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,629724000.0,252823000.0,376901000.0,27179000.0,99054000.0,55058000.0,0.21,290542000.0,99054000.0,260036000.0,495202000.0,490670000.0,1262748000.0,19526220000.0,20788970000.0,0.0,518170000.0,9853928000.0,9887654000.0,10405830000.0,10383150000.0,191488000.0,199808000.0,-1555971000.0,-1968703000.0,-216148000.0,1004416000.0,67.91
2013-06-30,678533000.0,277958000.0,400575000.0,23902000.0,150475000.0,-8508000.0,-0.03,353374000.0,150475000.0,273091000.0,725284000.0,598717000.0,1636357000.0,20560040000.0,22196390000.0,0.0,539361000.0,9560066000.0,9592876000.0,10132230000.0,12064160000.0,202899000.0,206929000.0,-722915000.0,-733866000.0,-216870000.0,769451000.0,67.03
2013-09-30,783711000.0,341921000.0,441790000.0,28718000.0,148454000.0,20691000.0,0.07,391620900.0,148454000.0,286020000.0,245728000.0,585070000.0,1138175000.0,21911630000.0,23049800000.0,0.0,660441000.0,10443240000.0,10474950000.0,11135390000.0,11914420000.0,243167000.0,219170000.0,-690337000.0,-499985000.0,-235779000.0,-80555000.0,62.38
2013-12-31,788640000.0,336220900.0,452419100.0,28519000.0,166183300.0,11473000.0,0.04,411146400.0,166183000.0,276929000.0,231601000.0,553310000.0,1117057000.0,21966900000.0,23083960000.0,0.0,640573000.0,10652010000.0,10687050000.0,11327630000.0,11756330000.0,244963000.0,362590000.0,-530101000.0,-329039000.0,-237478000.0,-25642000.0,53.57
2014-03-31,801807000.0,341431000.0,460376000.0,32865000.0,193241000.0,50022000.0,0.17,428496900.0,193241000.0,289606000.0,253725000.0,534684000.0,1139810000.0,22071230000.0,23211040000.0,0.0,612671000.0,10941470000.0,10975650000.0,11588320000.0,11622730000.0,235256000.0,258661000.0,-135164000.0,-351391000.0,-247154000.0,119597000.0,59.6
2014-06-30,826446000.0,343754000.0,482692000.0,51660000.0,209543000.0,71829000.0,0.24,425483000.0,209543000.0,296256000.0,272493000.0,574727000.0,1214406000.0,22359480000.0,23573890000.0,0.0,678400000.0,10345200000.0,10380600000.0,11059000000.0,12514890000.0,215940000.0,336873000.0,-361972000.0,-447031000.0,-248102000.0,132924000.0,62.67
2014-09-30,847523000.0,355157000.0,492366000.0,30803000.0,236777000.0,136255000.0,0.44,440447100.0,236777000.0,311117000.0,1116845000.0,668988000.0,2104054000.0,22437670000.0,24541720000.0,0.0,677042000.0,10282840000.0,10359260000.0,11036300000.0,13505420000.0,203670000.0,258635000.0,-278599000.0,-308474000.0,-262724000.0,839969000.0,62.37
2014-12-31,867769900.0,363016000.0,504753900.0,27615000.0,233753700.0,188639000.0,0.58,430727700.0,233753700.0,306272000.0,553423000.0,745832000.0,1679424000.0,23283500000.0,24962920000.0,0.0,626825000.0,10776640000.0,10863050000.0,11489870000.0,13473050000.0,196974000.0,284501000.0,-854461000.0,-1019310000.0,-277089000.0,210682000.0,75.67
2015-03-31,894177000.0,376461000.0,517716000.0,35138000.0,245195000.0,190799000.0,0.5700000000000001,435457000.0,245195000.0,336754000.0,287450000.0,949031000.0,1981748000.0,24647650000.0,26629390000.0,0.0,604149000.0,11014790000.0,11107300000.0,11711450000.0,14917950000.0,190262000.0,226182000.0,-1413109000.0,-1809768000.0,-288921000.0,1312823000.0,77.36
2015-06-30,957169000.0,398354000.0,558815000.0,38474000.0,288465000.0,312573000.0,0.89,499162000.0,288465000.0,350399000.0,290648000.0,948352000.0,1999543000.0,25407940000.0,27407480000.0,0.0,650437000.0,11552370000.0,11711770000.0,12362200000.0,15045280000.0,210697000.0,393164000.0,-399250000.0,-412674000.0,-305696000.0,31894000.0,65.63
2015-09-30,978997000.0,408703000.0,570294000.0,36950000.0,318212000.0,182043000.0,0.52,527413900.0,318212000.0,351765000.0,366800000.0,1048909000.0,2168621000.0,25287740000.0,27456370000.0,0.0,686651000.0,11467770000.0,11632540000.0,12319190000.0,15137170000.0,209202000.0,416978000.0,-297176000.0,-283200000.0,-307001000.0,-54772000.0,67.72
2015-12-31,1029483000.0,438739000.0,590744000.0,36854000.0,254883700.0,132929000.0,0.38,479971700.0,254883900.0,348240000.0,422690000.0,1101868000.0,2344050000.0,26679790000.0,29023850000.0,0.0,697191000.0,12967690000.0,13150770000.0,13847960000.0,15175880000.0,225088000.0,346275000.0,-851901000.0,-996433000.0,-308515000.0,707373000.0,68.03
2016-03-31,1047050000.0,449636000.0,597414100.0,45691000.0,314819100.0,148969000.0,0.42,544863100.0,314819100.0,355076000.0,418125000.0,1118153000.0,2261569000.0,26826720000.0,29088290000.0,0.0,665645000.0,13063200000.0,13422850000.0,14088500000.0,14999790000.0,230044000.0,380609000.0,-273246000.0,-241964000.0,-322122000.0,-143927000.0,69.34
2016-06-30,1076657000.0,458832000.0,617825000.0,39914000.0,343024000.0,195474000.0,0.55,571718000.0,343024000.0,356646000.0,525025000.0,1137661000.0,2310363000.0,26654140000.0,28964500000.0,0.0,728080000.0,12973730000.0,13367850000.0,14095930000.0,14868570000.0,228694000.0,475048000.0,-221307000.0,-119471000.0,-323744000.0,-236166000.0,76.17
2016-09-30,1079133000.0,473680000.0,605453100.0,36828000.0,330722100.0,334910000.0,0.93,551091100.0,330722100.0,358932000.0,511754000.0,1268737000.0,2410511000.0,27445830000.0,29856340000.0,0.0,767683000.0,13430890000.0,13824420000.0,14592100000.0,15264240000.0,220369000.0,424511000.0,-882113000.0,-929701000.0,-324570000.0,468460000.0,74.77
2016-12-31,1078320000.0,505050000.0,573270000.0,32808000.0,294006100.0,333043900.0,0.92,525285100.0,294006100.0,358275000.0,607220000.0,1168876000.0,2392161000.0,26473020000.0,28865180000.0,0.0,827034000.0,12358250000.0,12756680000.0,13583710000.0,15281470000.0,231279000.0,358896000.0,959083200.0,1107693000.0,-328489000.0,-1339184000.0,66.93
2017-03-31,1062298000.0,510169000.0,552129000.0,31101000.0,281077000.0,312639000.0,0.86,512722000.0,281077000.0,362534000.0,423137000.0,1056323000.0,2047344000.0,25719930000.0,27767280000.0,0.0,817411000.0,11454180000.0,11839600000.0,12657020000.0,15110260000.0,231645000.0,385526000.0,873269000.0,920174000.0,-329794000.0,-1492626000.0,70.82
2017-06-30,1058602000.0,501855000.0,556747100.0,32632000.0,292929000.0,188429000.0,0.51,522245000.0,292929000.0,366524000.0,487641000.0,1003399000.0,2005708000.0,25970080000.0,27975790000.0,0.0,893441000.0,11379950000.0,11768820000.0,12662260000.0,15313520000.0,229316000.0,458583000.0,-148799000.0,-163534000.0,-330561000.0,-239351000.0,74.85
2017-09-30,1091483000.0,523997000.0,567486000.0,29913000.0,207840000.0,74043000.0,0.2,442416000.0,207840000.0,369089000.0,295311000.0,1019248000.0,1806003000.0,26374380000.0,28180380000.0,0.0,1027375000.0,11521590000.0,11908340000.0,12935720000.0,15244660000.0,234576000.0,318355000.0,-417831000.0,-356222000.0,-332266000.0,-167130000.0,70.28
2017-12-31,1104258000.0,610870100.0,493388100.0,28362000.0,166400300.0,-111516000.0,-0.30000000000000004,409461200.0,166400100.0,367237000.0,309303000.0,950159000.0,1686961000.0,26257480000.0,27944450000.0,0.0,911863000.0,11731940000.0,12107130000.0,13018990000.0,14925450000.0,243061000.0,271713000.0,588384100.0,-245837000.0,-332996000.0,-14420000.0,63.77
2018-03-31,1096965000.0,556465000.0,540499900.0,33705000.0,274882000.0,437671000.0,1.18,507972000.0,274882000.0,371426000.0,264119000.0,1032670000.0,1664611000.0,26082050000.0,27746660000.0,0.0,948618000.0,11349840000.0,11738710000.0,12687330000.0,15059330000.0,233090000.0,368644000.0,417318000.0,421077000.0,-335508000.0,-835349000.0,54.43
2018-06-30,1125912000.0,568751000.0,557161000.0,32831000.0,277997000.0,154432000.0,0.42,518730000.0,277997000.0,371640000.0,272383000.0,1089287000.0,1742765000.0,25876220000.0,27618980000.0,0.0,984779000.0,11435560000.0,11833720000.0,12818500000.0,14800490000.0,240733000.0,469780000.0,-240006000.0,-290826000.0,-335351000.0,-164941000.0,62.69
2018-09-30,1236379000.0,657157000.0,579222000.0,28746000.0,218701100.0,64384000.0,0.17,466597100.0,218701100.0,373023000.0,281285000.0,1038252000.0,1660361000.0,28588760000.0,30249120000.0,0.0,1074994000.0,13504060000.0,13904920000.0,14979920000.0,15269200000.0,247896000.0,372724000.0,-2421126000.0,-2263544000.0,-335415000.0,1899849000.0,64.32
2018-12-31,1241243000.0,650644100.0,590598900.0,31101000.0,306162000.0,101763000.0,0.27,554509900.0,306161900.0,373620000.0,316129000.0,1053939000.0,1700407000.0,28641660000.0,30342070000.0,0.0,1034283000.0,13226480000.0,13650520000.0,14755470000.0,15586600000.0,248348000.0,372796000.0,-201565000.0,-253178000.0,-342589000.0,-81191000.0,69.41
2019-03-31,1272245000.0,689497000.0,582748000.0,35282000.0,294778000.0,280470000.0,0.72,544702000.0,294778000.0,391474000.0,407439000.0,1084403000.0,1842927000.0,28291980000.0,30637340000.0,0.0,1000825000.0,12711500000.0,13162040000.0,14589500000.0,16047830000.0,249924000.0,343895000.0,252796000.0,197268000.0,-342803000.0,-452205000.0,77.6
