,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-01-31,127559000000.0,96006000000.0,31553000000.0,23006000000.0,8547000000.0,5606000000.0,1.6800000000000002,10721000000.0,8547000000.0,3374000000.0,7781000000.0,6768000000.0,43803000000.0,59940000000.0,143165000000.0,203105000000.0,12392000000.0,71818000000.0,41417000000.0,49549000000.0,121367000000.0,81738000000.0,2174000000.0,9684000000.0,-3788000000.0,-3285000000.0,-1609000000.0,-7252000000.0,69.95
2013-04-30,114070000000.0,85991000000.0,28079000000.0,21641000000.0,6438000000.0,3784000000.0,1.15,8625000000.0,6438000000.0,3301000000.0,8855000000.0,6191000000.0,43138000000.0,60176000000.0,142011000000.0,202187000000.0,12222000000.0,73552000000.0,44551000000.0,52794000000.0,126346000000.0,75841000000.0,2187000000.0,4894000000.0,-2933000000.0,-2982000000.0,-1549000000.0,-755000000.0,77.72
2013-07-31,116830000000.0,87420000000.0,29410000000.0,22633000000.0,6777000000.0,4069000000.0,1.24,8992000000.0,6777000000.0,3278000000.0,9016000000.0,5996000000.0,42793000000.0,60002000000.0,140967000000.0,200969000000.0,13331000000.0,72214000000.0,43585000000.0,52069000000.0,124283000000.0,76686000000.0,2215000000.0,6357000000.0,-3021000000.0,-3055000000.0,-1901000000.0,-3121000000.0,77.94
2013-10-31,115688000000.0,86687000000.0,29001000000.0,22691000000.0,6310000000.0,3738000000.0,1.15,8508000000.0,6310000000.0,3257000000.0,8736000000.0,6206000000.0,49673000000.0,67142000000.0,142734000000.0,209876000000.0,16964000000.0,77021000000.0,44543000000.0,54333000000.0,131354000000.0,78522000000.0,2198000000.0,2069000000.0,-3031000000.0,-3104000000.0,-1540000000.0,840000000.0,76.75
2014-01-31,129706000000.0,97971000000.0,31735000000.0,24388000000.0,7347000000.0,4431000000.0,1.37,9617000000.0,7347000000.0,3269000000.0,7281000000.0,6677000000.0,44858000000.0,61185000000.0,143566000000.0,204751000000.0,11773000000.0,69345000000.0,44559000000.0,54067000000.0,123412000000.0,81339000000.0,2270000000.0,9937000000.0,-3403000000.0,-3385000000.0,-1575000000.0,-7753000000.0,74.68
2014-04-30,114960000000.0,86714000000.0,28246000000.0,22053000000.0,6193000000.0,3593000000.0,1.11,8443000000.0,6193000000.0,3233000000.0,6012000000.0,6096000000.0,45315000000.0,59687000000.0,142830000000.0,202517000000.0,6783000000.0,67921000000.0,48233000000.0,56397000000.0,124318000000.0,78199000000.0,2250000000.0,5939000000.0,-2109000000.0,-2121000000.0,-1575000000.0,-5177000000.0,79.71
2014-07-31,120125000000.0,90010000000.0,30115000000.0,23375000000.0,6740000000.0,4093000000.0,1.27,9017000000.0,6740000000.0,3230000000.0,6184000000.0,6146000000.0,45451000000.0,59632000000.0,144130000000.0,203762000000.0,8155000000.0,67132000000.0,45496000000.0,53807000000.0,120939000000.0,82823000000.0,2277000000.0,5961000000.0,-2914000000.0,-2219000000.0,-1858000000.0,-3578000000.0,73.58
2014-10-31,119001000000.0,89247000000.0,29754000000.0,23489000000.0,6265000000.0,3711000000.0,1.15,8619000000.0,6265000000.0,3229000000.0,6718000000.0,6091000000.0,51501000000.0,65841000000.0,141827000000.0,207668000000.0,10873000000.0,71540000000.0,44286000000.0,52075000000.0,123615000000.0,84053000000.0,2354000000.0,3570000000.0,-2761000000.0,-2817000000.0,-1607000000.0,-103000000.0,76.27
2015-01-31,131565000000.0,99115000000.0,32450000000.0,24501000000.0,7949000000.0,4966000000.0,1.54,10241000000.0,7949000000.0,3230000000.0,9135000000.0,6778000000.0,45141000000.0,63278000000.0,140212000000.0,203490000000.0,6383000000.0,65253000000.0,43495000000.0,52300000000.0,117553000000.0,85937000000.0,2292000000.0,13094000000.0,-3820000000.0,-3968000000.0,-1745000000.0,-6213000000.0,84.98
2015-04-30,114826000000.0,86483000000.0,28343000000.0,22663000000.0,5680000000.0,3341000000.0,1.03,7999000000.0,5680000000.0,3231000000.0,7759000000.0,5813000000.0,46310000000.0,62133000000.0,138614000000.0,200747000000.0,6840000000.0,69624000000.0,42964000000.0,51133000000.0,120757000000.0,79990000000.0,2319000000.0,4446000000.0,-2135000000.0,-2113000000.0,-1648000000.0,-3695000000.0,78.05
