,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,3336000000.0,2209000000.0,1127000000.0,390000000.0,402000000.0,168000000.0,0.36,749000000.0,402000000.0,465700000.0,307000000.0,1779000000.0,177000000.0,2497000000.0,20658000000.0,23155000000.0,964000000.0,3188000000.0,9045000000.0,13251000000.0,16439000000.0,6716000000.0,347000000.0,577000000.0,-266000000.0,-421000000.0,-170000000.0,-41000000.0,39.21
2013-06-30,3526000000.0,2311000000.0,1215000000.0,353000000.0,510000000.0,244000000.0,0.52,861000000.0,510000000.0,467900000.0,154000000.0,1853000000.0,171000000.0,2404000000.0,20608000000.0,23012000000.0,776000000.0,3022000000.0,8994000000.0,13172000000.0,16194000000.0,6818000000.0,351000000.0,545000000.0,-235000000.0,-272000000.0,-171000000.0,-424000000.0,40.33
2013-09-30,3621000000.0,2325000000.0,1296000000.0,349000000.0,577000000.0,291000000.0,0.62,944000000.0,577000000.0,469300000.0,157000000.0,1860000000.0,178000000.0,2417000000.0,21196000000.0,23613000000.0,568000000.0,2862000000.0,9491000000.0,13736000000.0,16598000000.0,7015000000.0,367000000.0,736000000.0,-323000000.0,-739000000.0,-171000000.0,6000000.0,41.24
2013-12-31,3500000000.0,2267000000.0,1233000000.0,376000000.0,-410000000.0,-605000000.0,-1.29,444000000.0,-410000000.0,467700000.0,235000000.0,1810000000.0,178000000.0,2499000000.0,20104000000.0,22603000000.0,726000000.0,3014000000.0,9500000000.0,13587000000.0,16601000000.0,6002000000.0,854000000.0,597000000.0,-447000000.0,-468000000.0,-171000000.0,-228000000.0,44.87
2014-03-31,3396000000.0,2232000000.0,1164000000.0,375000000.0,469000000.0,228000000.0,0.49,808000000.0,469000000.0,465200000.0,339000000.0,1751000000.0,174000000.0,2535000000.0,19907000000.0,22442000000.0,1216000000.0,3357000000.0,8978000000.0,13046000000.0,16403000000.0,6039000000.0,339000000.0,584000000.0,-266000000.0,-122000000.0,-174000000.0,-179000000.0,42.07
2014-06-30,3561000000.0,2301000000.0,1260000000.0,353000000.0,532000000.0,210000000.0,0.45,894000000.0,532000000.0,465900000.0,137000000.0,1797000000.0,166000000.0,2355000000.0,19824000000.0,22179000000.0,786000000.0,2980000000.0,9011000000.0,13052000000.0,16032000000.0,6147000000.0,362000000.0,555000000.0,-208000000.0,-172000000.0,-175000000.0,-587000000.0,44.73
2014-09-30,3602000000.0,2299000000.0,1303000000.0,377000000.0,546000000.0,270000000.0,0.59,903000000.0,546000000.0,460800000.0,183000000.0,1713000000.0,106000000.0,4116000000.0,18095000000.0,22211000000.0,1141000000.0,3789000000.0,9023000000.0,12759000000.0,16548000000.0,5663000000.0,357000000.0,672000000.0,-307000000.0,-282000000.0,-172000000.0,-341000000.0,47.53
2014-12-31,3437000000.0,2170000000.0,1267000000.0,376000000.0,752000000.0,590000000.0,1.29,1088000000.0,752000000.0,462600000.0,1307000000.0,1937000000.0,106000000.0,3526000000.0,17771000000.0,21297000000.0,1090000000.0,3485000000.0,8345000000.0,11923000000.0,15408000000.0,5889000000.0,336000000.0,520000000.0,-370000000.0,1571000000.0,-172000000.0,-965000000.0,51.32
2015-03-31,3040000000.0,1946000000.0,1094000000.0,348000000.0,440000000.0,-129000000.0,-0.28,754000000.0,440000000.0,458500000.0,277000000.0,2008000000.0,109000000.0,2617000000.0,18074000000.0,20691000000.0,168000000.0,2273000000.0,9039000000.0,12843000000.0,15116000000.0,5575000000.0,314000000.0,499000000.0,-233000000.0,-628000000.0,-176000000.0,-898000000.0,54.23
2015-06-30,3315000000.0,2163000000.0,1152000000.0,322000000.0,502000000.0,274000000.0,0.6000000000000001,846000000.0,502000000.0,455500000.0,273000000.0,1953000000.0,102000000.0,2553000000.0,18025000000.0,20578000000.0,196000000.0,2477000000.0,8910000000.0,12694000000.0,15171000000.0,5407000000.0,344000000.0,816000000.0,-296000000.0,-251000000.0,-175000000.0,-571000000.0,46.35
2015-09-30,3360000000.0,2095000000.0,1265000000.0,330000000.0,601000000.0,335000000.0,0.75,955000000.0,601000000.0,449600000.0,113000000.0,2002000000.0,92000000.0,2399000000.0,18003000000.0,20402000000.0,215000000.0,2442000000.0,8835000000.0,12703000000.0,15145000000.0,5257000000.0,354000000.0,657000000.0,-335000000.0,-302000000.0,-172000000.0,-514000000.0,49.81
2015-12-31,3246000000.0,2027000000.0,1219000000.0,343000000.0,502000000.0,273000000.0,0.61,825000000.0,502000000.0,452700000.0,39000000.0,2094000000.0,92000000.0,2345000000.0,18022000000.0,20367000000.0,253000000.0,2510000000.0,8676000000.0,12490000000.0,15000000000.0,5367000000.0,323000000.0,556000000.0,-369000000.0,-427000000.0,-172000000.0,-202000000.0,53.37
