,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2015-06-30,2538900000.0,2012600000.0,526299900.0,246800000.0,266799800.0,156400000.0,1.1,421799800.0,266799800.0,141100000.0,50500000.0,1025900000.0,996200000.0,2304800000.0,8530900000.0,10835700000.0,129000000.0,1316300000.0,2514500000.0,4962700000.0,6279000000.0,4556700000.0,155000000.0,265800000.0,-109300000.0,-108900000.0,-46000000.0,-151800000.0,54.87
2015-09-30,3616100000.0,2930700000.0,685400400.0,390400000.0,189900600.0,115800000.0,0.44,471200600.0,189899900.0,170600000.0,215100000.0,1575400000.0,1761000000.0,4176000000.0,21196400000.0,25372400000.0,63700000.0,2178800000.0,5558200000.0,11409700000.0,13588500000.0,11783900000.0,281300000.0,387000000.0,-220600000.0,48900000.0,-130500000.0,-246300000.0,46.35
2015-12-31,3470900000.0,2816200000.0,654700000.0,388500000.0,103399900.0,-453500000.0,-1.76,397699900.0,103399900.0,257600000.0,244200000.0,1491000000.0,2027400000.0,4008300000.0,20822900000.0,24831200000.0,184800000.0,2249100000.0,5631700000.0,11459700000.0,13708800000.0,11122400000.0,294300000.0,523000000.0,-195400000.0,-503400000.0,-99200000.0,-9800000.0,41.1
2016-03-31,3492700000.0,2835400000.0,657300000.0,395500000.0,150700000.0,56900000.0,0.22,920200000.0,150700000.0,254000000.0,374900000.0,1662800000.0,2058900000.0,4449200000.0,20819200000.0,25268400000.0,518900000.0,2557100000.0,5858300000.0,11636500000.0,14193600000.0,11074800000.0,769500000.0,252200000.0,-213500000.0,-312700000.0,-109200000.0,196100000.0,35.17
2016-06-30,3596500000.0,2869200000.0,727300000.0,394800000.0,289399900.0,92300000.0,0.36,672700000.0,289399900.0,252700000.0,266000000.0,1596600000.0,1691100000.0,3885200000.0,19561200000.0,23446400000.0,345200000.0,2307100000.0,5513900000.0,11116500000.0,13423600000.0,10022800000.0,383300000.0,531600000.0,-194900000.0,-363500000.0,-99700000.0,-277500000.0,38.87
2016-09-30,3611700000.0,2892400000.0,719299600.0,412400100.0,-113200700.0,-92000000.0,-0.37,-418400800.0,-113200900.0,254000000.0,366400000.0,1592200000.0,1638200000.0,3912600000.0,19125600000.0,23038200000.0,292900000.0,2183000000.0,5496300000.0,11025200000.0,13208200000.0,9830000000.0,-305200000.0,381600000.0,-161700000.0,-171800000.0,-106100000.0,-139800000.0,48.48
2016-12-31,3447200000.0,2855900000.0,591300000.0,388900000.0,121400100.0,80900000.0,0.32,396600200.0,121400100.0,251200000.0,500600000.0,1517500000.0,1656300000.0,4035200000.0,18835900000.0,22871100000.0,283400000.0,2232500000.0,5483800000.0,11008600000.0,13241100000.0,9630000000.0,275200000.0,517400000.0,-171400000.0,-160500000.0,-121400000.0,-190600000.0,50.77
2017-03-31,3656300000.0,2980900000.0,675400100.0,398700000.0,187000200.0,103100000.0,0.4,450900200.0,187000200.0,251200000.0,391200000.0,1563500000.0,1587900000.0,4992500000.0,17957600000.0,22950100000.0,214200000.0,2321100000.0,5459500000.0,10872400000.0,13193500000.0,9756600000.0,263900000.0,299700000.0,-164300000.0,-196500000.0,-101800000.0,-219100000.0,52.03
2017-06-30,3695600000.0,3000100000.0,695500000.0,402700000.0,233400100.0,328100000.0,1.29,508600200.0,233400100.0,252100000.0,231100000.0,1902400000.0,1767100000.0,4358300000.0,20511700000.0,24870000000.0,710500000.0,3058900000.0,5812300000.0,11614500000.0,14673400000.0,10196600000.0,275200000.0,589100000.0,-160300000.0,-571000000.0,-124300000.0,-181900000.0,56.66
2017-09-30,4060600000.0,3304601000.0,755999300.0,496499800.0,241399700.0,196100000.0,0.76,539199600.0,241399700.0,252200000.0,304000000.0,1886800000.0,1797300000.0,4490900000.0,20598100000.0,25089000000.0,608700000.0,3009800000.0,5946100000.0,11693100000.0,14702900000.0,10386100000.0,297800000.0,57600000.0,-230000000.0,59300000.0,-102700000.0,-63800000.0,56.73
2017-12-31,3894000000.0,3120500000.0,773500000.0,453300000.0,95200000.0,1135100000.0,4.38,401400000.0,95200000.0,255000000.0,312300000.0,1804300000.0,1869200000.0,4465200000.0,20671700000.0,25136900000.0,1244600000.0,3487300000.0,5365800000.0,10256000000.0,13743300000.0,11393600000.0,306200000.0,245400000.0,-202000000.0,-190600000.0,-111100000.0,-45500000.0,63.21
