,Revenue,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1051000000.0,1051000000.0,568000000.0,281000000.0,219000000.0,3.3642,323000000.0,281000000.0,65307500.0,531000000.0,1051000000.0,1582000000.0,14220000000.0,15802000000.0,15000000.0,470000000.0,2387000000.0,13439000000.0,13909000000.0,1893000000.0,42000000.0,39000000.0,-19000000.0,-21000000.0,-48000000.0,18000000.0,104.61
2013-06-30,890000000.0,890000000.0,529000000.0,167000000.0,105000000.0,1.5894,203000000.0,167000000.0,66062500.0,503000000.0,1044000000.0,1547000000.0,14391000000.0,15938000000.0,17000000.0,431000000.0,2326000000.0,13507000000.0,13938000000.0,2000000000.0,36000000.0,98000000.0,-24000000.0,-54000000.0,-55000000.0,-68000000.0,108.03
2013-09-30,795000000.0,795000000.0,541000000.0,70000000.0,-27000000.0,-0.39740000000000003,107000000.0,70000000.0,66817500.0,623000000.0,985000000.0,1608000000.0,13715000000.0,15323000000.0,17000000.0,506000000.0,2315000000.0,12770000000.0,13276000000.0,2047000000.0,37000000.0,229000000.0,-26000000.0,-30000000.0,-50000000.0,-82000000.0,114.78
2013-12-31,919000000.0,919000000.0,569000000.0,145000000.0,68000000.0,1.0066,185000000.0,145000000.0,66000000.0,796000000.0,1041000000.0,1837000000.0,12963000000.0,14800000000.0,15000000.0,601000000.0,2311000000.0,11956000000.0,12557000000.0,2243000000.0,40000000.0,195000000.0,-31000000.0,-15000000.0,-50000000.0,-5000000.0,118.7
2014-03-31,1097000000.0,1097000000.0,570000000.0,326000000.0,246000000.0,3.6291,364000000.0,326000000.0,67572500.0,734000000.0,1185000000.0,1919000000.0,13909000000.0,15828000000.0,15000000.0,386000000.0,2307000000.0,12970000000.0,13356000000.0,2472000000.0,38000000.0,5000000.0,-21000000.0,-21000000.0,-52000000.0,-49000000.0,116.9
2014-06-30,935000000.0,935000000.0,575000000.0,148000000.0,47000000.0,0.6887,187000000.0,148000000.0,67572500.0,708000000.0,1175000000.0,1883000000.0,14668000000.0,16551000000.0,15000000.0,433000000.0,2302000000.0,13656000000.0,14089000000.0,2462000000.0,39000000.0,147000000.0,-31000000.0,-61000000.0,-66000000.0,-106000000.0,114.7
2014-09-30,812000000.0,812000000.0,569000000.0,34000000.0,-7000000.0,-0.106,73000000.0,34000000.0,67195000.0,656000000.0,1021000000.0,1677000000.0,13531000000.0,15208000000.0,165000000.0,646000000.0,2148000000.0,12289000000.0,12935000000.0,2273000000.0,39000000.0,129000000.0,-25000000.0,-35000000.0,-55000000.0,-128000000.0,109.67
2014-12-31,958000000.0,958000000.0,600000000.0,139000000.0,76000000.0,1.1391,169000000.0,139000000.0,67000000.0,635000000.0,1044000000.0,1679000000.0,13742000000.0,15421000000.0,167000000.0,786000000.0,2130000000.0,12628000000.0,13414000000.0,2007000000.0,30000000.0,196000000.0,-36000000.0,-159000000.0,-37000000.0,-40000000.0,118.7
2015-03-31,1087000000.0,1087000000.0,567000000.0,293000000.0,210000000.0,3.0993,329000000.0,293000000.0,68000000.0,503000000.0,1150000000.0,1653000000.0,14452000000.0,16105000000.0,168000000.0,576000000.0,2137000000.0,13208000000.0,13784000000.0,2321000000.0,36000000.0,-64000000.0,-17000000.0,-8000000.0,-54000000.0,-39000000.0,127.63
2015-06-30,922000000.0,922000000.0,561000000.0,105000000.0,70000000.0,1.0331,144000000.0,105000000.0,68000000.0,483000000.0,1226000000.0,1709000000.0,16610000000.0,18319000000.0,468000000.0,911000000.0,2052000000.0,14919000000.0,15830000000.0,2489000000.0,39000000.0,71000000.0,-30000000.0,-240000000.0,-55000000.0,143000000.0,124.24
