,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1378654000.0,844777000.0,533877100.0,94909000.0,333648100.0,202963000.0,2.02,430786100.0,333648100.0,100237000.0,2153353000.0,243578000.0,67909000.0,2504504000.0,5031422000.0,7535926000.0,1050000.0,1234466000.0,5857253000.0,6026784000.0,7261250000.0,274676000.0,97138000.0,420870000.0,-58797000.0,14829000.0,-101709000.0,-102328000.0,125.16
2013-06-30,1332273000.0,837829000.0,494444000.0,132381000.0,274023900.0,129785000.0,1.29,370727900.0,274023900.0,100484000.0,2174615000.0,207031000.0,70153000.0,2490335000.0,5283004000.0,7773339000.0,1050000.0,1368044000.0,6072411000.0,6227731000.0,7595775000.0,177564000.0,96704000.0,489936000.0,-130925000.0,-139935000.0,-336539000.0,-381353000.0,127.97
2013-09-30,1390112000.0,863139000.0,526973100.0,105026000.0,313978000.0,182020000.0,1.81,412509000.0,313978000.0,100685000.0,2435811000.0,216247000.0,73038000.0,2765556000.0,5304072000.0,8069628000.0,223452000.0,1627162000.0,6048228000.0,6201127000.0,7828289000.0,241339000.0,98531000.0,370528000.0,-135106000.0,-365472000.0,-193450000.0,6895000.0,158.01
2013-12-31,1519897000.0,933077100.0,586820100.0,116472000.0,368441000.0,213884000.0,2.12,468572000.0,368440800.0,100540000.0,2609440000.0,241932000.0,74739000.0,2968814000.0,5408216000.0,8377030000.0,1050000.0,1455534000.0,6633337000.0,6789145000.0,8244679000.0,132351000.0,100131000.0,395308000.0,-169354000.0,-187002000.0,-403288000.0,185643000.0,194.21
2014-03-31,1513613000.0,938567000.0,575046100.0,111277000.0,376831100.0,226896000.0,2.25,459938000.0,376831100.0,100822000.0,3492497000.0,230690000.0,71865000.0,3839184000.0,5274037000.0,9113221000.0,1050000.0,1255325000.0,7376577000.0,7537154000.0,8792479000.0,320742000.0,83107000.0,209222000.0,-175055000.0,17938000.0,-126406000.0,612797000.0,222.15
2014-06-30,1412063000.0,859459000.0,552604000.0,128520000.0,341342000.0,203906000.0,2.02,425054000.0,341342000.0,100915000.0,3277259000.0,218905000.0,70132000.0,3618180000.0,5453163000.0,9071342000.0,1050000.0,1285165000.0,7341742000.0,7498012000.0,8783177000.0,288165000.0,83712000.0,368871000.0,-240528000.0,-272126000.0,-307925000.0,-337254000.0,207.56
2014-09-30,1370010000.0,818521000.0,551489000.0,126834000.0,332575100.0,191406000.0,1.9,420218100.0,332575100.0,100959000.0,3141610000.0,206466000.0,69975000.0,3470319000.0,5711380000.0,9181699000.0,1050000.0,1344312000.0,7372787000.0,7543972000.0,8888284000.0,293415000.0,87643000.0,396035000.0,-287157000.0,-311302000.0,-256042000.0,-226623000.0,187.08
2014-12-31,1137975000.0,699763900.0,438211200.0,125833000.0,215530800.0,109346000.0,1.08,311836700.0,215530600.0,100927000.0,2422304000.0,237957000.0,72223000.0,2782331000.0,6280530000.0,9062861000.0,0.0,1308318000.0,7361249000.0,7543452000.0,8851770000.0,211091000.0,96306000.0,124189000.0,-485804000.0,-548862000.0,-252555000.0,-284545000.0,148.76
2015-03-31,1092238000.0,677439000.0,414799100.0,122200000.0,185059100.0,-44601000.0,-0.44,274440100.0,185059100.0,101135000.0,1968922000.0,290757000.0,69911000.0,2382852000.0,6768828000.0,9151680000.0,150937000.0,1247552000.0,7850413000.0,8051280000.0,9298832000.0,-147152000.0,89381000.0,-15013000.0,-518631000.0,-521597000.0,-346812000.0,-3434000.0,125.88
2015-06-30,1040458000.0,654068100.0,386390000.0,113707000.0,169120900.0,56460000.0,0.56,255766900.0,169120900.0,101157000.0,1702968000.0,267960000.0,66576000.0,2087703000.0,7195339000.0,9283042000.0,80099000.0,1227090000.0,7985463000.0,8166612000.0,9393702000.0,-110660000.0,86646000.0,201343000.0,-445107000.0,-442902000.0,-50113000.0,87570000.0,98.67
2015-09-30,996285000.0,622884000.0,373401000.0,116639000.0,152774000.0,96210000.0,0.73,234752000.0,152774000.0,101161000.0,2025240000.0,204650000.0,66583000.0,2348198000.0,7632987000.0,9981185000.0,0.0,1113453000.0,8748449000.0,8928515000.0,10041970000.0,-60782000.0,81978000.0,159178000.0,-458019000.0,-461426000.0,-50579000.0,713934000.0,53.12
2015-12-31,946902100.0,575982900.0,370919200.0,112247000.0,151860400.0,87221000.0,0.86,236269300.0,151860200.0,101163000.0,2195386000.0,187887000.0,74493000.0,2505778000.0,7953381000.0,10459160000.0,0.0,1110171000.0,9149665000.0,9327144000.0,10437310000.0,21845000.0,84409000.0,227305000.0,-499483000.0,-465633000.0,-51603000.0,418188000.0,69.19
2016-03-31,997678000.0,607968000.0,389710000.0,117445000.0,158298000.0,75221000.0,0.74,242377000.0,158298000.0,101392000.0,2285793000.0,188476000.0,72604000.0,2605493000.0,8041067000.0,10646560000.0,0.0,970616000.0,9408555000.0,9595009000.0,10565630000.0,80935000.0,84079000.0,115373000.0,-272013000.0,-272721000.0,-50571000.0,184822000.0,93.43
2016-06-30,1058364000.0,651813000.0,406551000.0,119505000.0,147538900.0,70391000.0,0.6900000000000001,233062900.0,147538900.0,101438000.0,2112793000.0,173550000.0,74790000.0,2414543000.0,8195808000.0,10610350000.0,0.0,991937000.0,9457016000.0,9616719000.0,10608660000.0,1695000.0,85524000.0,254573000.0,-274353000.0,-333050000.0,-162218000.0,-125659000.0,90.64
2016-09-30,1109822000.0,695294000.0,414528000.0,144206000.0,76931000.0,-17437000.0,-0.17,189631000.0,76931000.0,101439000.0,1736804000.0,177591000.0,88728000.0,2057197000.0,8868746000.0,10925940000.0,0.0,1430270000.0,9440856000.0,9560106000.0,10990380000.0,-64432000.0,112700000.0,310897000.0,-404414000.0,-409457000.0,-50891000.0,-293603000.0,97.42
