,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1951000000.0,1533000000.0,418000000.0,169000000.0,256000000.0,144000000.0,0.26,368000000.0,256000000.0,545234000.0,635000000.0,693000000.0,596000000.0,2202000000.0,10308000000.0,12510000000.0,184000000.0,1072000000.0,3951000000.0,7162000000.0,8234000000.0,4276000000.0,112000000.0,-61000000.0,-42000000.0,-42000000.0,-93000000.0,-156000000.0,31.38
2013-06-30,1874000000.0,1453000000.0,421000000.0,127000000.0,293000000.0,196000000.0,0.35000000000000003,404000000.0,293000000.0,552855000.0,908000000.0,632000000.0,561000000.0,2341000000.0,11567000000.0,13908000000.0,163000000.0,1079000000.0,4462000000.0,6923000000.0,8002000000.0,5906000000.0,111000000.0,374000000.0,-61000000.0,-29000000.0,-109000000.0,1378000000.0,28.49
2013-09-30,1857000000.0,1479000000.0,378000000.0,130000000.0,243000000.0,157000000.0,0.27,363000000.0,243000000.0,582828000.0,898000000.0,617000000.0,533000000.0,2275000000.0,13334000000.0,15609000000.0,0.0,987000000.0,6084000000.0,8505000000.0,9492000000.0,6117000000.0,120000000.0,343000000.0,-61000000.0,-1647000000.0,-128000000.0,339000000.0,28.63
2013-12-31,1572000000.0,1251000000.0,321000000.0,103000000.0,-158000000.0,43000000.0,0.07,-29000000.0,-158000000.0,566329000.0,830000000.0,619000000.0,542000000.0,2326000000.0,12251000000.0,14577000000.0,0.0,1128000000.0,5402000000.0,6617000000.0,7745000000.0,6832000000.0,129000000.0,348000000.0,-109000000.0,-111000000.0,-128000000.0,-799000000.0,31.57
2014-03-31,1736000000.0,1361000000.0,375000000.0,116000000.0,308000000.0,183000000.0,0.31,434000000.0,308000000.0,584915000.0,780000000.0,594000000.0,626000000.0,2315000000.0,12190000000.0,14505000000.0,0.0,1072000000.0,5407000000.0,6548000000.0,7620000000.0,6885000000.0,126000000.0,109000000.0,-46000000.0,-46000000.0,-129000000.0,-118000000.0,29.35
2014-06-30,1964000000.0,1499000000.0,465000000.0,115000000.0,400000000.0,280000000.0,0.48,526000000.0,400000000.0,586061000.0,845000000.0,627000000.0,596000000.0,3290000000.0,12416000000.0,15706000000.0,0.0,1069000000.0,5402000000.0,7494000000.0,8563000000.0,7143000000.0,126000000.0,322000000.0,-113000000.0,-93000000.0,-128000000.0,-101000000.0,33.09
2014-09-30,1915000000.0,1504000000.0,411000000.0,101000000.0,318000000.0,1153000000.0,2.17,441000000.0,318000000.0,531913000.0,1620000000.0,606000000.0,578000000.0,3012000000.0,10428000000.0,13440000000.0,0.0,957000000.0,5402000000.0,6627000000.0,7584000000.0,5856000000.0,123000000.0,353000000.0,-88000000.0,624000000.0,-154000000.0,-265000000.0,31.86
2014-12-31,-126000000.0,-181000000.0,55000000.0,71000000.0,-39000000.0,166000000.0,0.32,86000000.0,-39000000.0,556705000.0,1580000000.0,550000000.0,595000000.0,2805000000.0,10460000000.0,13265000000.0,0.0,918000000.0,5402000000.0,7043000000.0,7961000000.0,5304000000.0,125000000.0,325000000.0,-120000000.0,-124000000.0,-152000000.0,-241000000.0,35.89
2015-03-31,1727000000.0,1385000000.0,342000000.0,102000000.0,200000000.0,90000000.0,0.17,323000000.0,200000000.0,523426000.0,1158000000.0,562000000.0,645000000.0,2652000000.0,10357000000.0,13009000000.0,0.0,852000000.0,5402000000.0,7130000000.0,7982000000.0,5027000000.0,123000000.0,87000000.0,-119000000.0,-119000000.0,-152000000.0,-390000000.0,33.15
2015-06-30,1345000000.0,1057000000.0,288000000.0,87000000.0,200000000.0,133000000.0,0.26,318000000.0,200000000.0,516626000.0,1121000000.0,549000000.0,603000000.0,2517000000.0,10366000000.0,12883000000.0,0.0,919000000.0,5402000000.0,7039000000.0,7958000000.0,4925000000.0,118000000.0,367000000.0,-110000000.0,-92000000.0,-149000000.0,-312000000.0,31.5
