,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2782849000.0,1372829000.0,1410020000.0,642658000.0,454624000.0,236570000.0,0.48,733493000.0,454624000.0,489781000.0,112960000.0,789209000.0,447709000.0,2704671000.0,28883000000.0,31587680000.0,431929000.0,2526517000.0,10642010000.0,19906050000.0,22432560000.0,9155113000.0,278869000.0,642328000.0,-752251000.0,-713264000.0,-124426000.0,101573000.0,29.7
2013-06-30,2578913000.0,1207690000.0,1371223000.0,664608000.0,402236100.0,196857000.0,0.4,677196000.0,402236100.0,497747000.0,58821000.0,719069000.0,494890000.0,2818200000.0,29448060000.0,32266260000.0,636042000.0,2696810000.0,10816480000.0,20269210000.0,22966020000.0,9300245000.0,274960000.0,431897000.0,-844527000.0,-798713000.0,-125966000.0,312677000.0,28.34
2013-09-30,2822338000.0,1180331000.0,1642007000.0,680592000.0,665112800.0,364752000.0,0.73,923380800.0,665112800.0,498149000.0,101834000.0,786874000.0,604628000.0,3120741000.0,30005910000.0,33126650000.0,582538000.0,2839061000.0,10914270000.0,20740300000.0,23579370000.0,9547286000.0,258268000.0,928683000.0,-857420000.0,-798817000.0,-131756000.0,-86853000.0,27.61
2013-12-31,2730822000.0,1373896000.0,1356926000.0,706174100.0,325582000.0,150055000.0,0.30000000000000004,607664000.0,325581800.0,496073000.0,107144000.0,744160000.0,576538000.0,3218040000.0,30689450000.0,33907490000.0,1039763000.0,3654498000.0,10910750000.0,20687040000.0,24341540000.0,9565950000.0,282082000.0,581128000.0,-904009000.0,-902590000.0,-131894000.0,326772000.0,27.94
2014-03-31,3202604000.0,1700278000.0,1502326000.0,684845000.0,493991900.0,261221000.0,0.52,771753900.0,493991900.0,499523000.0,132313000.0,885098000.0,436237000.0,3129346000.0,31069410000.0,34198750000.0,1047133000.0,3467748000.0,11205320000.0,20983580000.0,24451330000.0,9747424000.0,277762000.0,592649000.0,-822628000.0,-800770000.0,-132033000.0,233290000.0,30.36
2014-06-30,2685096000.0,1259865000.0,1425231000.0,701882000.0,397208000.0,195164000.0,0.39,686940100.0,397208000.0,503272000.0,99540000.0,742730000.0,501270000.0,3123820000.0,31593820000.0,34717640000.0,785322000.0,3059929000.0,11752780000.0,21736940000.0,24796870000.0,9920772000.0,289732000.0,446862000.0,-753120000.0,-730455000.0,-142328000.0,250820000.0,32.23
2014-09-30,2869807000.0,1187211000.0,1682596000.0,686349000.0,665679900.0,368582000.0,0.73,955840900.0,665679900.0,506082000.0,137868000.0,760213000.0,634262000.0,3196594000.0,32166850000.0,35363440000.0,954506000.0,3470869000.0,11501720000.0,21737910000.0,25208780000.0,10154660000.0,290161000.0,964830000.0,-725591000.0,-703531000.0,-143225000.0,-222971000.0,30.4
2014-12-31,2928628000.0,1469619000.0,1459009000.0,727138900.0,391249300.0,196339000.0,0.39,679108300.0,391249000.0,503847000.0,79608000.0,826506000.0,597183000.0,3364380000.0,33593500000.0,36957880000.0,1277226000.0,4064583000.0,11499630000.0,22678820000.0,26743400000.0,10214480000.0,287859000.0,655145000.0,-898452000.0,-882495000.0,-143825000.0,169090000.0,35.92
2015-03-31,2962219000.0,1432552000.0,1529667000.0,722456100.0,350845000.0,152066000.0,0.30000000000000004,655314000.0,350845000.0,506983000.0,133044000.0,826797000.0,505213000.0,3057446000.0,33821210000.0,36878650000.0,1226399000.0,3774528000.0,11499470000.0,22889250000.0,26663780000.0,10214870000.0,304469000.0,985394000.0,-770609000.0,-738389000.0,-144025000.0,-193569000.0,34.81
2015-06-30,2515134000.0,1039536000.0,1475598000.0,724010000.0,422845000.0,196931000.0,0.39,721481900.0,422845000.0,507707000.0,135597000.0,676223000.0,532703000.0,3048922000.0,34219880000.0,37268810000.0,1158356000.0,3537251000.0,11896130000.0,23462490000.0,26999740000.0,10269070000.0,298637000.0,523651000.0,-707350000.0,-692634000.0,-153997000.0,171536000.0,32.18
2015-09-30,2901312000.0,1089000000.0,1812312000.0,689065000.0,785812000.0,426463000.0,0.84,1102542000.0,785812000.0,508031000.0,404409000.0,741230000.0,644963000.0,3344422000.0,34685270000.0,38029700000.0,521474000.0,3085020000.0,12690750000.0,24399850000.0,27484870000.0,10544830000.0,316730000.0,980877000.0,-708410000.0,-708225000.0,-154195000.0,-3840000.0,35.41
2015-12-31,2645335000.0,1142912000.0,1502423000.0,706469000.0,440497800.0,208540000.0,0.41000000000000003,764661800.0,440498000.0,508000000.0,84940000.0,724606000.0,608584000.0,2770226000.0,36051250000.0,38821480000.0,1503021000.0,4058297000.0,12398880000.0,24162260000.0,28220560000.0,10600920000.0,324164000.0,548078000.0,-1496631000.0,-1483752000.0,-154783000.0,615873000.0,35.91
2016-03-31,2772273000.0,1182214000.0,1590059000.0,722733000.0,489869900.0,241312000.0,0.47000000000000003,838073900.0,489869900.0,508667000.0,101491000.0,729386000.0,520054000.0,2732617000.0,36337230000.0,39069840000.0,839516000.0,3188568000.0,13148390000.0,25209640000.0,28398210000.0,10671630000.0,348204000.0,802550000.0,-700319000.0,-694107000.0,-162410000.0,-91892000.0,41.82
2016-06-30,2499849000.0,954371000.0,1545478000.0,735447000.0,431581100.0,196795000.0,0.39,789367100.0,431581100.0,508930000.0,76711000.0,689564000.0,526785000.0,2704099000.0,36786060000.0,39490160000.0,1157151000.0,3506381000.0,13104770000.0,25280650000.0,28787030000.0,10703130000.0,357786000.0,622476000.0,-712810000.0,-749213000.0,-172703000.0,101957000.0,44.78
2016-09-30,3040147000.0,1113477000.0,1926670000.0,707199000.0,827054200.0,457795000.0,0.9,1189301000.0,827054200.0,508941000.0,353385000.0,754248000.0,614908000.0,3076163000.0,37248590000.0,40324750000.0,1075567000.0,3453972000.0,13402580000.0,25882840000.0,29336810000.0,10987940000.0,362247000.0,1000315000.0,-773354000.0,-762937000.0,-172704000.0,39296000.0,41.14
2016-12-31,2794731000.0,1236938000.0,1557793000.0,666621000.0,491494900.0,227098000.0,0.45,859257800.0,491494900.0,509000000.0,85000000.0,776000000.0,604000000.0,2842000000.0,38313000000.0,41155000000.0,647000000.0,3247000000.0,14195000000.0,26887000000.0,30134000000.0,11021000000.0,367763000.0,626659000.0,-1008517000.0,-1054743000.0,-173183000.0,159639000.0,40.7
2017-03-31,2946000000.0,1299000000.0,1647000000.0,722000000.0,492000000.0,239000000.0,0.47000000000000003,892000000.0,492000000.0,508000000.0,73985000.0,781248000.0,519081000.0,2633154000.0,38652180000.0,41285340000.0,1360448000.0,3707976000.0,13696460000.0,26507250000.0,30215230000.0,11070110000.0,400000000.0,718000000.0,-749000000.0,-748000000.0,-173000000.0,19000000.0,44.45
2017-06-30,2645000000.0,1041000000.0,1604000000.0,707000000.0,466000000.0,227000000.0,0.45,862000000.0,466000000.0,509000000.0,61382000.0,759378000.0,542044000.0,2756550000.0,39104440000.0,41860990000.0,1289345000.0,3690704000.0,14091830000.0,27047130000.0,30737830000.0,11123160000.0,396000000.0,574000000.0,-725000000.0,-726000000.0,-182000000.0,140000000.0,45.88
2017-09-30,3017000000.0,1078000000.0,1939000000.0,670000000.0,824000000.0,492000000.0,0.97,1229000000.0,824000000.0,509000000.0,167841000.0,807621000.0,616675000.0,2898874000.0,39569920000.0,42468790000.0,819415000.0,3340406000.0,14572970000.0,27689010000.0,31029420000.0,11439380000.0,405000000.0,1075000000.0,-782000000.0,-765000000.0,-183000000.0,-204000000.0,47.32
2017-12-31,2796000000.0,1196000000.0,1600000000.0,716000000.0,441000000.0,190000000.0,0.37,849000000.0,441000000.0,509000000.0,83000000.0,797000000.0,610000000.0,2973000000.0,40057000000.0,43030000000.0,1271000000.0,4088000000.0,14520000000.0,27487000000.0,31575000000.0,11455000000.0,408000000.0,759000000.0,-988000000.0,-1057000000.0,-183000000.0,213000000.0,48.11
2018-03-31,2951000000.0,1315000000.0,1636000000.0,702000000.0,480000000.0,291000000.0,0.5700000000000001,898000000.0,480000000.0,509000000.0,116000000.0,868000000.0,492000000.0,2782000000.0,40377000000.0,43159000000.0,1482000000.0,4122000000.0,14522000000.0,27476000000.0,31598000000.0,11561000000.0,418000000.0,887000000.0,-860000000.0,-872000000.0,-175000000.0,18000000.0,45.48
2018-06-30,2658000000.0,1047000000.0,1611000000.0,715000000.0,450000000.0,265000000.0,0.52,863000000.0,450000000.0,510000000.0,332000000.0,808000000.0,511000000.0,3056000000.0,41184000000.0,44240000000.0,1538000000.0,4178000000.0,15311000000.0,28412000000.0,32590000000.0,11650000000.0,413000000.0,550000000.0,-994000000.0,-993000000.0,-184000000.0,659000000.0,45.68
2018-09-30,3048000000.0,1107000000.0,1941000000.0,728000000.0,696000000.0,491000000.0,0.96,1170000000.0,696000000.0,510000000.0,213000000.0,856000000.0,528000000.0,3003000000.0,41832000000.0,44835000000.0,993000000.0,3838000000.0,15508000000.0,28832000000.0,32670000000.0,12165000000.0,474000000.0,1056000000.0,-827000000.0,-841000000.0,-185000000.0,-334000000.0,47.21
2018-12-31,2880000000.0,1263000000.0,1617000000.0,763000000.0,339000000.0,214000000.0,0.42,815000000.0,339000000.0,511000000.0,147000000.0,860000000.0,548000000.0,3094000000.0,42893000000.0,45987000000.0,1444000000.0,4460000000.0,15803000000.0,29305000000.0,33765000000.0,12222000000.0,476000000.0,629000000.0,-1276000000.0,-1280000000.0,-186000000.0,585000000.0,49.27
2019-03-31,3141000000.0,1403000000.0,1738000000.0,747000000.0,486000000.0,315000000.0,0.61,955000000.0,486000000.0,515000000.0,94000000.0,974000000.0,445000000.0,2909000000.0,43322000000.0,47850000000.0,1254000000.0,4424000000.0,16118000000.0,31097000000.0,35521000000.0,12329000000.0,469000000.0,793000000.0,-844000000.0,-852000000.0,-187000000.0,6000000.0,56.21
2019-06-30,2577000000.0,935000000.0,1642000000.0,728000000.0,410000000.0,238000000.0,0.46,880000000.0,410000000.0,516000000.0,353000000.0,737000000.0,483000000.0,2939000000.0,43882000000.0,48584000000.0,2150000000.0,5060000000.0,15996000000.0,31158000000.0,36218000000.0,12366000000.0,470000000.0,541000000.0,-845000000.0,-856000000.0,-200000000.0,574000000.0,59.49
2019-09-30,3013000000.0,1016000000.0,1997000000.0,717000000.0,758000000.0,527000000.0,1.02,1240000000.0,758000000.0,519000000.0,864000000.0,821000000.0,544000000.0,3600000000.0,44922000000.0,50240000000.0,1786000000.0,5021000000.0,16819000000.0,32078000000.0,37099000000.0,13141000000.0,482000000.0,1223000000.0,-1329000000.0,-1421000000.0,-200000000.0,709000000.0,64.89
