,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,108357000000.0,84622000000.0,23735000000.0,3118000000.0,16038000000.0,9500000000.0,2.12,20172000000.0,16062000000.0,4485000000.0,6590000000.0,0.0,16231000000.0,62594000000.0,277045000000.0,339639000000.0,0.0,70084000000.0,7475000000.0,96478000000.0,166562000000.0,173077000000.0,4110000000.0,13592000000.0,-7494000000.0,-10054000000.0,-2666000000.0,-6694000000.0,90.11
2013-06-30,106666000000.0,85686000000.0,20980000000.0,3268000000.0,12768000000.0,6860000000.0,1.55,17258000000.0,12853000000.0,4433000000.0,5012000000.0,0.0,17197000000.0,62844000000.0,278771000000.0,341615000000.0,0.0,72688000000.0,7496000000.0,97339000000.0,170027000000.0,171588000000.0,4405000000.0,7683000000.0,-8651000000.0,-8493000000.0,-2874000000.0,-715000000.0,90.35
2013-09-30,112372000000.0,90208000000.0,22164000000.0,3150000000.0,14189000000.0,7870000000.0,1.79,18528000000.0,14241000000.0,4395000000.0,5749000000.0,0.0,16867000000.0,61303000000.0,286261000000.0,347564000000.0,0.0,72749000000.0,7404000000.0,99337000000.0,172086000000.0,175478000000.0,4287000000.0,13431000000.0,-9098000000.0,-8942000000.0,-2810000000.0,-3889000000.0,86.04
2013-12-31,110860000000.0,87984000000.0,22876000000.0,3341000000.0,14716000000.0,8350000000.0,1.9100000000000001,18944000000.0,14564000000.0,4419000000.0,4913000000.0,0.0,16135000000.0,59308000000.0,287500000000.0,346808000000.0,0.0,71724000000.0,6891000000.0,94589000000.0,166313000000.0,180495000000.0,4380000000.0,10208000000.0,-8426000000.0,-6712000000.0,-2829000000.0,-4178000000.0,101.2
2014-03-31,106325000000.0,83391000000.0,22934000000.0,3132000000.0,15227000000.0,9100000000.0,2.1,19485000000.0,15293000000.0,4328000000.0,5805000000.0,0.0,18568000000.0,61864000000.0,291169000000.0,353033000000.0,0.0,70108000000.0,12144000000.0,100034000000.0,170142000000.0,182891000000.0,4192000000.0,15103000000.0,-7328000000.0,-6306000000.0,-2790000000.0,-7816000000.0,97.68
2014-06-30,111208000000.0,89043000000.0,22165000000.0,3169000000.0,14151000000.0,8780000000.0,2.05,18500000000.0,14215000000.0,4297000000.0,6281000000.0,0.0,18177000000.0,64013000000.0,294573000000.0,358586000000.0,0.0,69529000000.0,11817000000.0,100926000000.0,170455000000.0,188131000000.0,4285000000.0,10202000000.0,-8542000000.0,-4177000000.0,-3039000000.0,-5596000000.0,100.68
2014-09-30,107130000000.0,85782000000.0,21348000000.0,3169000000.0,13410000000.0,8070000000.0,1.8900000000000001,17860000000.0,13498000000.0,4267000000.0,5014000000.0,0.0,17761000000.0,58595000000.0,294169000000.0,352764000000.0,0.0,65984000000.0,11591000000.0,99285000000.0,165269000000.0,187495000000.0,4362000000.0,12396000000.0,-8198000000.0,-7645000000.0,-2987000000.0,-5673000000.0,94.05
2014-12-31,87276000000.0,70243000000.0,17033000000.0,3128000000.0,8842000000.0,6570000000.0,1.56,13368000000.0,8910000000.0,4282000000.0,4658000000.0,0.0,16678000000.0,52910000000.0,296583000000.0,349493000000.0,0.0,64633000000.0,11653000000.0,103796000000.0,168429000000.0,181064000000.0,4458000000.0,7415000000.0,-8884000000.0,-8847000000.0,-3000000000.0,1197000000.0,92.45
2015-03-31,67618000000.0,53571000000.0,14047000000.0,2713000000.0,6635000000.0,4940000000.0,1.17,11023000000.0,6723000000.0,4211000000.0,5227000000.0,0.0,16102000000.0,50658000000.0,292303000000.0,342961000000.0,0.0,55933000000.0,19494000000.0,109582000000.0,165515000000.0,177446000000.0,4300000000.0,7998000000.0,-6844000000.0,-6352000000.0,-2950000000.0,-854000000.0,85.0
2015-06-30,74113000000.0,59422000000.0,14691000000.0,2831000000.0,6954000000.0,4190000000.0,1.0,11490000000.0,7039000000.0,4200000000.0,4378000000.0,0.0,16663000000.0,51647000000.0,296613000000.0,348260000000.0,0.0,58372000000.0,19431000000.0,110890000000.0,169262000000.0,178998000000.0,4451000000.0,8792000000.0,-7109000000.0,-6491000000.0,-3114000000.0,-3194000000.0,83.2
2015-09-30,67344000000.0,53684000000.0,13660000000.0,2967000000.0,5749000000.0,4240000000.0,1.01,10369000000.0,5827000000.0,4190000000.0,4296000000.0,0.0,16584000000.0,47234000000.0,293428000000.0,340662000000.0,0.0,54828000000.0,19839000000.0,108995000000.0,163823000000.0,176839000000.0,4542000000.0,9174000000.0,-6401000000.0,-5657000000.0,-3099000000.0,-3402000000.0,74.35
2015-12-31,40173000000.0,29222000000.0,10951000000.0,2990000000.0,2628000000.0,2780000000.0,0.67,7443000000.0,2688000000.0,4196000000.0,3705000000.0,0.0,16245000000.0,42623000000.0,294135000000.0,336758000000.0,0.0,53976000000.0,19925000000.0,105972000000.0,159948000000.0,176810000000.0,4755000000.0,4380000000.0,-6136000000.0,-5324000000.0,-3097000000.0,413000000.0,77.95
2016-03-31,48707000000.0,39187000000.0,9520000000.0,2593000000.0,1730000000.0,1810000000.0,0.43,6572000000.0,1807000000.0,4178000000.0,4846000000.0,0.0,16223000000.0,44251000000.0,298538000000.0,342789000000.0,0.0,48726000000.0,29568000000.0,115565000000.0,164291000000.0,178498000000.0,4765000000.0,4812000000.0,-4601000000.0,-4349000000.0,-3096000000.0,524000000.0,83.59
2016-06-30,57694000000.0,47311000000.0,10383000000.0,2646000000.0,2396000000.0,1700000000.0,0.41000000000000003,7292000000.0,2471000000.0,4178000000.0,4358000000.0,0.0,15875000000.0,45828000000.0,296645000000.0,342473000000.0,0.0,51504000000.0,29499000000.0,114094000000.0,165598000000.0,176875000000.0,4821000000.0,4519000000.0,-4271000000.0,-3147000000.0,-3176000000.0,-1775000000.0,93.74
2016-09-30,58677000000.0,47677000000.0,11000000000.0,2736000000.0,3226000000.0,2650000000.0,0.63,7937000000.0,3332000000.0,4178000000.0,5093000000.0,0.0,15342000000.0,42945000000.0,296441000000.0,339386000000.0,0.0,50021000000.0,28916000000.0,112355000000.0,162376000000.0,177010000000.0,4605000000.0,5355000000.0,-3404000000.0,-3235000000.0,-3170000000.0,-1296000000.0,87.28
2016-12-31,43036000000.0,29464000000.0,13572000000.0,2468000000.0,617000000.0,1680000000.0,0.41000000000000003,8929000000.0,812000000.0,4177000000.0,3657000000.0,0.0,15080000000.0,41416000000.0,288898000000.0,330314000000.0,0.0,47638000000.0,28932000000.0,108846000000.0,156484000000.0,173830000000.0,8117000000.0,7396000000.0,-3887000000.0,-1672000000.0,-3173000000.0,-6746000000.0,90.26
2017-03-31,58671000000.0,44921000000.0,13750000000.0,2505000000.0,5918000000.0,4010000000.0,0.9500000000000001,10583000000.0,6064000000.0,4223000000.0,4897000000.0,0.0,14873000000.0,43131000000.0,301078000000.0,344209000000.0,0.0,53374000000.0,25124000000.0,107064000000.0,160438000000.0,183771000000.0,4519000000.0,8173000000.0,-2890000000.0,-3761000000.0,-3178000000.0,-3246000000.0,82.01
2017-06-30,58077000000.0,45622000000.0,12455000000.0,2556000000.0,4156000000.0,3350000000.0,0.78,8966000000.0,4314000000.0,4271000000.0,4042000000.0,0.0,15305000000.0,42180000000.0,300832000000.0,343012000000.0,0.0,50949000000.0,24750000000.0,106225000000.0,157174000000.0,185838000000.0,4652000000.0,6947000000.0,-3098000000.0,-2878000000.0,-3336000000.0,-5059000000.0,80.73
