,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,2535000000.0,1276000000.0,1259000000.0,763000000.0,487000000.0,337000000.0,0.74,617000000.0,487000000.0,455000000.0,762000000.0,368000000.0,288000000.0,1898000000.0,7047000000.0,8945000000.0,21000000.0,2089000000.0,2924000000.0,4498000000.0,6587000000.0,2358000000.0,130000000.0,401000000.0,-237000000.0,-153000000.0,-151000000.0,-259000000.0,51.72
2013-06-30,2904000000.0,1574000000.0,1330000000.0,923000000.0,390000000.0,281000000.0,0.62,560000000.0,390000000.0,454000000.0,500000000.0,352000000.0,319000000.0,1605000000.0,7159000000.0,8764000000.0,68000000.0,1990000000.0,2918000000.0,4489000000.0,6479000000.0,2285000000.0,170000000.0,328000000.0,-235000000.0,-257000000.0,-150000000.0,-328000000.0,49.85
2013-09-30,3466000000.0,1869000000.0,1597000000.0,948000000.0,350000000.0,152000000.0,0.34,523000000.0,350000000.0,451000000.0,753000000.0,348000000.0,300000000.0,1830000000.0,6900000000.0,8730000000.0,15000000.0,1989000000.0,2917000000.0,4481000000.0,6470000000.0,2260000000.0,173000000.0,824000000.0,-227000000.0,-177000000.0,-150000000.0,-388000000.0,51.32
2013-12-31,4179000000.0,2283000000.0,1896000000.0,1277000000.0,571000000.0,321000000.0,0.72,819000000.0,571000000.0,448000000.0,573000000.0,319000000.0,294000000.0,1691000000.0,7004000000.0,8695000000.0,71000000.0,2265000000.0,2918000000.0,4201000000.0,6466000000.0,2229000000.0,248000000.0,586000000.0,-350000000.0,-299000000.0,-164000000.0,-476000000.0,54.36
2014-03-31,2724000000.0,1358000000.0,1366000000.0,764000000.0,571000000.0,399000000.0,0.89,711000000.0,571000000.0,447000000.0,734000000.0,354000000.0,258000000.0,1809000000.0,6896000000.0,8705000000.0,70000000.0,2150000000.0,2949000000.0,4220000000.0,6370000000.0,2335000000.0,140000000.0,570000000.0,-172000000.0,-168000000.0,-164000000.0,-237000000.0,54.2
2014-06-30,3204000000.0,1710000000.0,1494000000.0,972000000.0,479000000.0,334000000.0,0.75,659000000.0,479000000.0,446000000.0,831000000.0,352000000.0,282000000.0,1882000000.0,6928000000.0,8810000000.0,70000000.0,2153000000.0,3095000000.0,4331000000.0,6484000000.0,2326000000.0,180000000.0,514000000.0,-236000000.0,-446000000.0,-163000000.0,-196000000.0,58.38
2014-09-30,3354000000.0,1820000000.0,1534000000.0,965000000.0,550000000.0,404000000.0,0.91,731000000.0,550000000.0,443000000.0,1011000000.0,373000000.0,266000000.0,2070000000.0,7107000000.0,9177000000.0,72000000.0,2112000000.0,3315000000.0,4497000000.0,6609000000.0,2568000000.0,181000000.0,528000000.0,-247000000.0,-306000000.0,-163000000.0,-153000000.0,51.75
2014-12-31,3997000000.0,2215000000.0,1782000000.0,1297000000.0,-43000000.0,-86000000.0,-0.2,-216000000.0,-43000000.0,441000000.0,578000000.0,325000000.0,301000000.0,1553000000.0,6781000000.0,8334000000.0,267000000.0,2409000000.0,3077000000.0,4321000000.0,6730000000.0,1604000000.0,-173000000.0,-395000000.0,147000000.0,496000000.0,-179000000.0,-153000000.0,52.37
2015-03-31,2622000000.0,1304000000.0,1318000000.0,788000000.0,506000000.0,362000000.0,0.8300000000000001,645000000.0,506000000.0,438000000.0,675000000.0,373000000.0,276000000.0,1783000000.0,6522000000.0,8305000000.0,266000000.0,2290000000.0,3121000000.0,4252000000.0,6542000000.0,1763000000.0,139000000.0,516000000.0,-227000000.0,-196000000.0,-178000000.0,-246000000.0,56.59
2015-06-30,3105000000.0,1646000000.0,1459000000.0,955000000.0,371000000.0,235000000.0,0.54,558000000.0,371000000.0,437000000.0,636000000.0,350000000.0,279000000.0,1729000000.0,6565000000.0,8294000000.0,568000000.0,2689000000.0,2831000000.0,3980000000.0,6669000000.0,1625000000.0,187000000.0,431000000.0,-177000000.0,-156000000.0,-177000000.0,-330000000.0,64.76
