,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1138900000.0,292900000.0,846000000.0,460800000.0,298200100.0,218600000.0,1.3,383300100.0,298200100.0,168700000.0,1201200000.0,912500000.0,1039100000.0,3464000000.0,5280600000.0,8744600000.0,0.0,763300000.0,1702800000.0,2268900000.0,3032200000.0,5712400000.0,85100000.0,180500000.0,-75400000.0,53000000.0,-30900000.0,-452500000.0,73.03
2013-06-30,1169500000.0,323600000.0,845900000.0,458000000.0,210400000.0,152100000.0,0.9,301800000.0,210400000.0,168800000.0,1235800000.0,942500000.0,1052900000.0,3591700000.0,5505700000.0,9097400000.0,0.0,804300000.0,1688100000.0,2403500000.0,3207800000.0,5889600000.0,91400000.0,189700000.0,-81200000.0,-174600000.0,-33600000.0,47100000.0,72.76
2013-09-30,1074300000.0,328800000.0,745500100.0,438000000.0,211700100.0,154400000.0,0.91,303600100.0,211700100.0,170000000.0,1505800000.0,898900000.0,1081900000.0,3837200000.0,5520200000.0,9357400000.0,0.0,804200000.0,1686000000.0,2414200000.0,3218400000.0,6139000000.0,91900000.0,292700000.0,-86700000.0,-150700000.0,-33900000.0,60300000.0,79.75
2013-12-31,1240700000.0,321399900.0,919299900.0,392500100.0,348299600.0,255300000.0,1.38,438399600.0,348299700.0,169600000.0,1807600000.0,936600000.0,1074500000.0,4197700000.0,5382899000.0,9580600000.0,0.0,1031600000.0,1672300000.0,2248900000.0,3280500000.0,6300100000.0,90100000.0,300200000.0,-49600000.0,-10200000.0,-34000000.0,-122200000.0,90.48
2014-03-31,1161500000.0,303700000.0,857800000.0,444500000.0,300100000.0,221500000.0,1.31,401100000.0,300100000.0,169100000.0,1588100000.0,939100000.0,1125900000.0,4046700000.0,5333400000.0,9380100000.0,0.0,918700000.0,1680100000.0,2223700000.0,3142400000.0,6237700000.0,101000000.0,188800000.0,-80800000.0,-98400000.0,-34000000.0,-290700000.0,91.83
2014-06-30,1182900000.0,331600000.0,851300000.0,436100000.0,260900000.0,176500000.0,1.05,352200000.0,260900000.0,168400000.0,1698000000.0,950200000.0,1147200000.0,4229800000.0,5408500000.0,9638300000.0,0.0,952900000.0,1687400000.0,2233100000.0,3186000000.0,6452300000.0,91300000.0,254100000.0,-94600000.0,-170300000.0,-36900000.0,-400000.0,100.83
2014-09-30,1106000000.0,295900000.0,810100000.0,422800000.0,255200100.0,173100000.0,0.98,346100100.0,255200100.0,169000000.0,1747100000.0,947600000.0,1177500000.0,4332700000.0,5338200000.0,9670900000.0,250000000.0,1093000000.0,1426400000.0,2036500000.0,3129500000.0,6541400000.0,90900000.0,255700000.0,-83200000.0,-229400000.0,-37100000.0,-15900000.0,97.62
2014-12-31,1222900000.0,311600000.0,911299900.0,447299900.0,221099700.0,149200000.0,0.92,313699700.0,221099700.0,169000000.0,1695800000.0,912100000.0,1193300000.0,4313300000.0,5344700000.0,9658000000.0,0.0,1024000000.0,1425500000.0,2082300000.0,3106300000.0,6551700000.0,92600000.0,361900000.0,-83700000.0,28700000.0,-37500000.0,-263100000.0,110.12
2015-03-31,1134400000.0,284900000.0,849500000.0,424100000.0,269900100.0,171400000.0,1.04,358900100.0,269900100.0,170000000.0,9281900000.0,869800000.0,1217000000.0,11917200000.0,5272900000.0,17190100000.0,0.0,908700000.0,9061200000.0,9698400000.0,10607100000.0,6583000000.0,89000000.0,91500000.0,-96800000.0,67900000.0,-37300000.0,7568600000.0,114.1
2015-06-30,1167600000.0,294300000.0,873300000.0,444200000.0,-132100000.0,-173600000.0,-0.91,-32500000.0,-132100000.0,173000000.0,1883600000.0,1490300000.0,2441400000.0,6751500000.0,20452500000.0,27204000000.0,300000000.0,2163100000.0,11749800000.0,14915000000.0,17078100000.0,10125900000.0,99600000.0,197200000.0,-47900000.0,-7788600000.0,-37400000.0,220700000.0,106.05
2015-09-30,1762200000.0,552100000.0,1210100000.0,692300000.0,116000000.0,22200000.0,0.11,355500000.0,116000000.0,203500000.0,1810200000.0,1385100000.0,2357800000.0,6394700000.0,20294400000.0,26689100000.0,225000000.0,1786500000.0,11689600000.0,14909300000.0,16695800000.0,9993300000.0,239500000.0,98600000.0,-102000000.0,94100000.0,-37600000.0,-144200000.0,91.19
2015-12-31,1933599000.0,669300000.0,1264299000.0,723600000.0,213499400.0,127000000.0,0.15,497799400.0,213499700.0,187400000.0,1623900000.0,1446500000.0,2254100000.0,5853700000.0,21306900000.0,27160600000.0,0.0,1617900000.0,11497400000.0,15653300000.0,17271200000.0,9889400000.0,284300000.0,462500000.0,-117500000.0,68700000.0,-44800000.0,-538400000.0,99.6
2016-03-31,1904000000.0,640600000.0,1263400000.0,716900000.0,245500000.0,108800000.0,0.53,492400000.0,245500000.0,200100000.0,1010200000.0,1568200000.0,2082900000.0,5082000000.0,21215300000.0,26297300000.0,0.0,1514600000.0,11117400000.0,15121700000.0,16636300000.0,9661000000.0,246900000.0,272800000.0,-112700000.0,95800000.0,-44600000.0,-832900000.0,103.52
2016-06-30,1934000000.0,640100000.0,1293900000.0,732000000.0,201600000.0,-31300000.0,-0.16,481900000.0,201600000.0,199400000.0,976300000.0,1593300000.0,1962100000.0,5050600000.0,20920700000.0,25971300000.0,500000000.0,2101200000.0,10533500000.0,14320800000.0,16422000000.0,9549300000.0,280300000.0,379600000.0,-118300000.0,-266200000.0,-47800000.0,-120400000.0,116.87
2016-09-30,1832800000.0,479300000.0,1353500000.0,727700000.0,195500100.0,158800000.0,0.79,483600100.0,195500100.0,200100000.0,488700000.0,1603600000.0,2070000000.0,4698100000.0,22338400000.0,27036500000.0,575800000.0,2312100000.0,11006200000.0,14978200000.0,17290300000.0,9746200000.0,288100000.0,352600000.0,-150400000.0,-1374300000.0,-47900000.0,519200000.0,126.23
2016-12-31,1997600000.0,621800000.0,1375800000.0,768000100.0,178499500.0,69600000.0,0.33,433599500.0,178500000.0,200000000.0,634100000.0,1604400000.0,1959400000.0,4663600000.0,22020800000.0,26684400000.0,575600000.0,2381500000.0,10665800000.0,14633000000.0,17014500000.0,9669900000.0,255100000.0,627200000.0,-148800000.0,-146800000.0,-48100000.0,-309100000.0,100.19
2017-03-31,1972400000.0,512900000.0,1459500000.0,758200000.0,348100100.0,299400000.0,1.49,615700100.0,348100100.0,201100000.0,1039500000.0,1600100000.0,1977000000.0,5079900000.0,21907900000.0,26987800000.0,975000000.0,2656100000.0,10537800000.0,14397500000.0,17053600000.0,9934200000.0,267600000.0,275400000.0,-129500000.0,-133100000.0,-48100000.0,256100000.0,118.55
2017-06-30,1949500000.0,527700000.0,1421800000.0,752200000.0,280100100.0,184200000.0,0.91,571000100.0,280100100.0,201800000.0,450000000.0,1423000000.0,2023900000.0,4424100000.0,22035100000.0,26459200000.0,1329300000.0,2996400000.0,9354400000.0,13183300000.0,16179700000.0,10279500000.0,290900000.0,440500000.0,-116900000.0,-129000000.0,-48400000.0,-913000000.0,124.66
2017-09-30,1813100000.0,500900000.0,1312200000.0,711700000.0,211200100.0,98800000.0,0.49,510400100.0,211200100.0,202300000.0,480800000.0,1318500000.0,2084200000.0,4433300000.0,21984200000.0,26417500000.0,1225000000.0,3010200000.0,9199700000.0,12957100000.0,15967300000.0,10450200000.0,299200000.0,463500000.0,-119100000.0,-120500000.0,-48500000.0,-320700000.0,113.68
