,Revenue,COGS,Gross Profit,SG&A,Operating Income,Net Income,EPS,EBITDA,EBIT,Shares,Cash & Equivalents,Receivables,Inventory,Current Assets,Long Term Assets,Total Assets,Current Debt,Current Liabilities,Long Term Debt,Long Term Liabilities,Total Liabilities,Shareholders Equity,Depreciation,Operating Cash Flow,Capital Expenditure,Investing cash flow,Dividends,Financing cash flow,Price
2013-03-31,1090000000.0,402000000.0,688000000.0,357000000.0,192000000.0,140000000.0,0.28,265000000.0,214000000.0,500000000.0,468000000.0,1083000000.0,1120000000.0,2942000000.0,3200000000.0,6142000000.0,6000000.0,1287000000.0,3640000000.0,4131000000.0,5418000000.0,724000000.0,51000000.0,281000000.0,-22000000.0,-22000000.0,0.0,-108000000.0,33.4
2013-06-30,1114000000.0,416000000.0,698000000.0,399000000.0,187000000.0,128000000.0,0.26,270000000.0,219000000.0,500000000.0,369000000.0,1137000000.0,1257000000.0,3082000000.0,3179000000.0,6261000000.0,12000000.0,1321000000.0,3640000000.0,4117000000.0,5438000000.0,823000000.0,51000000.0,-12000000.0,-52000000.0,-52000000.0,-33000000.0,-32000000.0,30.89
2013-09-30,1103000000.0,385000000.0,718000000.0,399000000.0,185000000.0,131000000.0,0.26,263000000.0,214000000.0,500000000.0,389000000.0,1110000000.0,1290000000.0,3083000000.0,3176000000.0,6259000000.0,10000000.0,1308000000.0,3642000000.0,4085000000.0,5393000000.0,866000000.0,49000000.0,114000000.0,-54000000.0,-54000000.0,-32000000.0,-32000000.0,31.12
2013-12-31,1254000000.0,466000000.0,788000000.0,458000000.0,126000000.0,105000000.0,0.21,214000000.0,156000000.0,500002000.0,610000000.0,1138000000.0,1293000000.0,3357000000.0,3201000000.0,6558000000.0,15000000.0,1415000000.0,3642000000.0,4181000000.0,5596000000.0,962000000.0,58000000.0,298000000.0,-47000000.0,-51000000.0,-33000000.0,-28000000.0,32.69
2014-03-31,1097000000.0,379000000.0,718000000.0,356000000.0,227000000.0,155000000.0,0.31,306000000.0,256000000.0,500231000.0,506000000.0,1100000000.0,1316000000.0,3222000000.0,3181000000.0,6403000000.0,16000000.0,1127000000.0,3642000000.0,4177000000.0,5304000000.0,1099000000.0,50000000.0,-23000000.0,-45000000.0,-45000000.0,-36000000.0,-35000000.0,28.94
2014-06-30,1158000000.0,413000000.0,745000000.0,396000000.0,200000000.0,136000000.0,0.27,280000000.0,229000000.0,500975000.0,578000000.0,1098000000.0,1336000000.0,3327000000.0,3195000000.0,6522000000.0,12000000.0,1061000000.0,3642000000.0,4178000000.0,5239000000.0,1283000000.0,51000000.0,159000000.0,-35000000.0,-50000000.0,-37000000.0,-39000000.0,32.27
2014-09-30,1210000000.0,434000000.0,776000000.0,394000000.0,238000000.0,166000000.0,0.33,317000000.0,267000000.0,501453000.0,598000000.0,1057000000.0,1388000000.0,3353000000.0,3174000000.0,6527000000.0,10000000.0,998000000.0,3642000000.0,4140000000.0,5138000000.0,1389000000.0,50000000.0,103000000.0,-41000000.0,-42000000.0,-36000000.0,-38000000.0,36.95
2014-12-31,1320000000.0,491000000.0,829000000.0,497000000.0,155000000.0,126000000.0,0.25,238000000.0,185000000.0,501055000.0,882000000.0,980000000.0,1289000000.0,3465000000.0,3123000000.0,6588000000.0,7000000.0,1086000000.0,3624000000.0,4165000000.0,5251000000.0,1337000000.0,53000000.0,387000000.0,-50000000.0,-50000000.0,-37000000.0,-42000000.0,43.03
2015-03-31,1102000000.0,394000000.0,708000000.0,354000000.0,230000000.0,165000000.0,0.33,306000000.0,258000000.0,501100000.0,559000000.0,905000000.0,1346000000.0,3110000000.0,3320000000.0,6430000000.0,402000000.0,1370000000.0,3243000000.0,3755000000.0,5125000000.0,1305000000.0,48000000.0,60000000.0,-44000000.0,-274000000.0,-42000000.0,-94000000.0,46.29
2015-06-30,1175000000.0,427000000.0,748000000.0,379000000.0,-27000000.0,-37000000.0,-0.07,52000000.0,2000000.0,500200000.0,544000000.0,993000000.0,1417000000.0,3316000000.0,3282000000.0,6598000000.0,404000000.0,1572000000.0,3243000000.0,3824000000.0,5396000000.0,1202000000.0,50000000.0,122000000.0,-45000000.0,-44000000.0,-43000000.0,-91000000.0,48.22
2015-09-30,1214000000.0,421000000.0,793000000.0,374000000.0,273000000.0,189000000.0,0.38,348000000.0,302000000.0,499200000.0,592000000.0,1038000000.0,1403000000.0,3450000000.0,3236000000.0,6686000000.0,408000000.0,1658000000.0,3226000000.0,3774000000.0,5432000000.0,1254000000.0,46000000.0,204000000.0,-52000000.0,-60000000.0,-42000000.0,-86000000.0,41.18
2015-12-31,1274000000.0,496000000.0,778000000.0,425000000.0,69000000.0,22000000.0,0.04,162000000.0,107000000.0,499707000.0,1154000000.0,937000000.0,1467000000.0,3830000000.0,4083000000.0,7913000000.0,405000000.0,1781000000.0,4463000000.0,5041000000.0,6822000000.0,1091000000.0,55000000.0,278000000.0,-81000000.0,-737000000.0,-41000000.0,1026000000.0,47.92
2016-03-31,1162000000.0,389000000.0,773000000.0,315000000.0,332000000.0,204000000.0,0.41000000000000003,432000000.0,375000000.0,497400000.0,675000000.0,908000000.0,1461000000.0,3307000000.0,4146000000.0,7453000000.0,4000000.0,1163000000.0,4464000000.0,5103000000.0,6266000000.0,1187000000.0,57000000.0,51000000.0,30000000.0,18000000.0,-47000000.0,-543000000.0,44.33
2016-06-30,1208000000.0,399000000.0,809000000.0,343000000.0,332000000.0,224000000.0,0.45,433000000.0,373000000.0,496300000.0,658000000.0,888000000.0,1525000000.0,3328000000.0,4190000000.0,7518000000.0,4000000.0,1039000000.0,4465000000.0,5108000000.0,6147000000.0,1371000000.0,60000000.0,137000000.0,-41000000.0,-49000000.0,-47000000.0,-108000000.0,47.46
2016-09-30,1241000000.0,410000000.0,831000000.0,345000000.0,333000000.0,239000000.0,0.48,434000000.0,374000000.0,495200000.0,651000000.0,915000000.0,1563000000.0,3364000000.0,4351000000.0,7715000000.0,0.0,1039000000.0,4467000000.0,5078000000.0,6117000000.0,1598000000.0,60000000.0,239000000.0,-56000000.0,-124000000.0,-47000000.0,-124000000.0,52.01
2016-12-31,1277000000.0,468000000.0,809000000.0,361000000.0,231000000.0,154000000.0,0.31,335000000.0,272000000.0,495715000.0,727000000.0,913000000.0,1502000000.0,3390000000.0,4259000000.0,7649000000.0,0.0,1117000000.0,4468000000.0,5033000000.0,6150000000.0,1499000000.0,63000000.0,286000000.0,-59000000.0,-59000000.0,-47000000.0,-128000000.0,53.53
2017-03-31,1231000000.0,443000000.0,788000000.0,309000000.0,337000000.0,238000000.0,0.48,440000000.0,378000000.0,492400000.0,629000000.0,954000000.0,1535000000.0,3383000000.0,4266000000.0,7649000000.0,750000000.0,1730000000.0,3718000000.0,4284000000.0,6014000000.0,1635000000.0,62000000.0,119000000.0,-42000000.0,-48000000.0,-52000000.0,-176000000.0,53.37
